Contributor,July 2015
intel.com,10515
gmail.com,8674
redhat.com,3251
linaro.org,3175
linux-foundation.org,1914
chromium.org,1854
ibm.com,1783
kernel.org,1641
ti.com,1584
arm.com,1417
google.com,1378
linutronix.de,1276
codeaurora.org,1225
freescale.com,1103
amd.com,1088
samsung.com,1036
pengutronix.de,881
davemloft.net,760
nvidia.com,681
ffwll.ch,612
ingics.com,607
zeniv.linux.org.uk,572
suse.cz,554
renesas.com,550
suse.com,543
lixom.net,528
metafoo.de,521
glider.be,518
mellanox.com,495
oracle.com,482
suse.de,471
hovoldconsulting.com,460
infradead.org,440
cumulusnetworks.com,407
riseup.net,375
alum.mit.edu,336
qca.qualcomm.com,330
gondor.apana.org.au,330
ericsson.com,330
atmel.com,330
primarydata.com,319
marvell.com,310
w1.fi,309
free-electrons.com,309
visteon.com,308
socionext.com,308
vmware.com,293
xilinx.com,280
arm.linux.org.uk,275
st.com,263
mediatek.com,261
sntech.de,254
gmx.de,254
unisys.com,242
xmission.com,231
synopsys.com,223
suug.ch,220
imgtec.com,212
sonymobile.com,210
linuxhacker.ru,210
lip6.fr,209
atomide.com,209
chris-wilson.co.uk,204
cogentembedded.com,198
purestorage.com,187
anholt.net,185
huawei.com,184
rock-chips.com,183
qti.qualcomm.com,183
qlogic.com,176
osg.samsung.com,176
iogearbox.net,176
hurleysoftware.com,176
chelsio.com,166
linuxfoundation.org,165
cisco.com,165
freedesktop.org,156
strlen.de,154
solarflare.com,154
opensource.wolfsonmicro.com,154
cavium.com,154
igalia.com,149
fb.com,143
ellerman.id.au,143
debethencourt.com,143
users.sourceforge.net,138
uclinux.org,137
canonical.com,134
free.fr,133
opensource.altera.com,132
microchip.com,132
emc.com,132
hp.com,130
opensource.se,121
ieee.org,121
goodmis.org,121
coreboot.org,116
realtek.com,113
whitecape.org,110
strongswan.org,110
leaflabs.com,110
holtmann.org,105
broadcom.com,103
ijw.co.nz,100
xs4all.nl,99
tieto.com,99
ssi.bg,99
netfilter.org,99
ideasonboard.com,99
avagotech.com,99
skynet.be,89
mentor.com,89
