Contributor,April 2015
intel.com,9806
gmail.com,4852
redhat.com,3653
chromium.org,3478
linux-foundation.org,2596
linaro.org,2051
google.com,1719
kernel.org,1697
suse.de,1283
zeniv.linux.org.uk,1034
mellanox.com,979
cisco.com,966
samsung.com,914
nvidia.com,878
linux-mips.org,858
davemloft.net,825
linutronix.de,803
mev.co.uk,748
holtmann.org,730
oracle.com,719
ibm.com,702
free-electrons.com,607
iki.fi,585
huawei.com,577
imgtec.com,556
perches.com,518
pengutronix.de,517
lixom.net,517
gondor.apana.org.au,517
codeaurora.org,488
amd.com,462
ti.com,449
nod.at,440
chris-wilson.co.uk,428
ffwll.ch,420
tieto.com,419
rainbow-software.org,407
arm.com,392
cn.fujitsu.com,371
freescale.com,363
6wind.com,347
metafoo.de,331
roeck-us.net,287
xs4all.nl,277
freedesktop.org,276
trash.net,264
ideasonboard.com,264
goodmis.org,264
emulex.com,264
broadcom.com,261
whitecape.org,259
cogentembedded.com,254
axtens.net,253
fb.com,242
ellerman.id.au,242
alum.mit.edu,233
suse.cz,231
qca.qualcomm.com,231
opensource.wolfsonmicro.com,231
ens.fr,231
vmware.com,223
atmel.com,222
renesas.com,220
linux-iscsi.org,220
csie.org,220
arm.linux.org.uk,220
skynet.be,212
c-s.fr,209
samba.org,198
qlogic.com,198
microsoft.com,187
arndb.de,187
synopsys.com,180
rock-chips.com,178
rasmusvillemoes.dk,177
infradead.org,170
xmission.com,166
runbox.com,165
glider.be,165
openwrt.org,154
anholt.net,150
plumgrid.com,143
osadl.org,143
lip6.fr,143
linuxfoundation.org,143
hovoldconsulting.com,140
collabora.co.uk,139
southpole.se,132
codethink.co.uk,132
users.sourceforge.net,128
xilinx.com,125
realtek.com,122
pmcs.com,121
lst.de,121
hp.com,115
trendmicro.com.cn,111
the-dreams.de,111
canonical.com,111
strlen.de,110
sntech.de,110
linux-m68k.org,110
lemote.com,110
lab.ntt.co.jp,110
collabora.com,102
w1.fi,99
primarydata.com,99
parallels.com,99
osandov.com,99
ezchip.com,99
cloudius-systems.com,99
chelsio.com,99
osg.samsung.com,88
net.t-labs.tu-berlin.de,88
lunn.ch,88
cavium.com,88
socionext.com,85
gentoo.org,85
opensource.altera.com,81
notabs.org,80
suse.com,78
stgolabs.net,77
sakamocchi.jp,77
overkiz.com,77
netapp.com,77
mit.edu,77
gmx.de,77
analog.com,77
altera.com,77
ah.jp.nec.com,77
sonymobile.com,69
free.fr,68
ingics.com,67
rustcorp.com.au,66
martin.sperl.org,66
lakedaemon.net,66
essensium.com,66
ericsson.com,66
dev.mellanox.co.il,66
collogia.de,66
ni.com,63
wizery.com,62
virtuousgeek.org,58
spectrumdigital.se,58
lge.com,56
ispras.ru,56
yandex-team.ru,55
suug.ch,55
networkplumber.org,55
hitachi.com,55
