Contributor,May 2016
intel.com,11165
gmail.com,6259
redhat.com,4419
linaro.org,2745
amd.com,2690
linux-foundation.org,2684
kernel.org,2179
google.com,1919
imgtec.com,1747
chromium.org,1577
suse.com,1315
ibm.com,1314
arndb.de,1183
oracle.com,1173
free-electrons.com,1153
arm.com,1035
zeniv.linux.org.uk,982
ti.com,918
samsung.com,841
davemloft.net,831
mellanox.com,633
nvidia.com,588
huawei.com,565
riseup.net,550
codeaurora.org,519
suse.de,503
collabora.com,492
suse.cz,490
socionext.com,445
glider.be,442
chris-wilson.co.uk,436
rock-chips.com,435
chelsio.com,431
hovoldconsulting.com,420
ffwll.ch,403
igalia.com,393
lst.de,390
osg.samsung.com,384
whitecape.org,378
nxp.com,374
vmware.com,353
qlogic.com,350
synopsys.com,342
freedesktop.org,325
sang-engineering.com,310
techsingularity.net,290
herbertland.com,290
gelma.net,280
alum.mit.edu,273
linutronix.de,271
strlen.de,270
broadcom.com,270
pengutronix.de,267
fb.com,247
savoirfairelinux.com,242
lge.com,240
gmx.de,233
iki.fi,232
narfation.org,222
linux-m68k.org,211
sgi.com,210
lip6.fr,203
infradead.org,202
denx.de,201
hpe.com,200
anholt.net,197
visionengravers.com,190
ezchip.com,190
canonical.com,186
sandisk.com,180
opensource.wolfsonmicro.com,180
lab.ntt.co.jp,180
qti.qualcomm.com,177
xilinx.com,175
ens.fr,175
microchip.com,172
poochiereds.net,170
mirantis.com,170
cavium.com,170
ozlabs.ru,156
mediatek.com,154
sakamocchi.jp,150
bjorling.me,150
qca.qualcomm.com,144
iogearbox.net,142
tronnes.org,140
primarydata.com,140
marvell.com,137
metanate.com,133
cumulusnetworks.com,131
linux-mips.org,130
basnieuwenhuizen.nl,130
atmel.com,129
googlemail.com,124
virtuozzo.com,122
sciencehorizons.net,120
baylibre.com,120
netfilter.org,110
mansr.com,110
sntech.de,108
linuxfoundation.org,105
lemote.com,101
unisys.com,100
lunn.ch,100
axentia.se,100
windriver.com,98
goodmis.org,93
citrix.com,93
163.com,93
codeblueprint.co.uk,91
cogentembedded.com,90
cmss.chinamobile.com,90
apm.com,90
acm.org,90
tieto.com,87
free.fr,87
fromorbit.com,82
sigmadesigns.com,80
ragnatech.se,80
perches.com,80
mojatatu.com,80
nuvoton.com,74
diasemi.com,72
renesas.com,71
ieee.org,71
axis.com,71
ravnborg.org,70
gmx.com,70
ericsson.com,70
wunner.de,68
collabora.co.uk,67
vanguardiasur.com.ar,63
mleia.com,63
karolherbst.de,61
ellerman.id.au,61
rasmusvillemoes.dk,60
invoxia.com,60
interlog.com,60
hale.at,60
samba.org,54
realtek.com,54
parrot.com,51
w1.fi,50
open-mesh.com,50
mvista.com,50
linux-iscsi.org,50
jms.id.au,50
ingics.com,50
gentoo.org,50
cnexlabs.com,50
bitplanet.net,50
6wind.com,50
proto-chromeos-trusty.c.chromeos-bot.internal,49
ite.com.tw,48
agner.ch,47
gondor.apana.org.au,45
siemens.com,44
cn.fujitsu.com,43
unstable.cc,41
hotmail.com,41
atomide.com,41
verge.net.au,40
twibright.com,40
treewalker.org,40
toradex.com,40
mni.thm.de,40
list.ru,40
lechnology.com,40
hisilicon.com,40
duempel.org,40
au1.ibm.com,40
arm.linux.org.uk,40
I-love.SAKURA.ne.jp,40
freescale.com,37
ubuntu.com,35
konsulko.com,35
engestrom.ch,35
das-labor.org,35
debian.org,34
coreboot.org,34
metafoo.de,33
roeck-us.net,32
i2se.com,32
codethink.co.uk,32
akamai.com,32
xmission.com,31
stgolabs.net,31
strongswan.org,30
ssi.samsung.com,30
sonymobile.com,30
ozlabs.org,30
ovn.org,30
ocedo.com,30
ni.com,30
nbd.name,30
mikebwilliams.com,30
men.de,30
lwn.net,30
linux.com,30
lightnvm.io,30
leaflabs.com,30
jusst.de,30
iscas.ac.cn,30
gouders.net,30
elettra.eu,30
csie.org,30
caviumnetworks.com,30
users.sourceforge.net,26
rutgers.edu,25
web.de,23
members.leeds.ac.uk,23
quantatw.com,22
c0d3.blue,22
tuxdriver.com,21
st.com,21
mork.no,21
lynxeye.de,21
live.com,21
fau.de,21
xes-inc.com,20
tkos.co.il,20
the-dreams.de,20
solarflare.com,20
semihalf.com,20
russell.cc,20
queasysnail.net,20
plaes.org,20
phrozen.org,20
nod.at,20
netapp.com,20
neomailbox.ch,20
microsoft.com,20
jikos.cz,20
holtmann.org,20
hitachi.com,20
hauke-m.de,20
h3c.com,20
garmin.com,20
foxmail.com,20
ettus.com,20
distroguy.com,20
cmpxchg.org,20
chronox.de,20
canb.auug.org.au,20
bmw-carit.de,20
bingham.xyz,20
barix.com,20
altlinux.org,20
KARO-electronics.de,20
HansenPartnership.com,20
gmx.net,19
fedoraproject.org,19
wizery.com,18
ideasonboard.com,18
cisco.com,18
android.com,18
gmx.at,16
bwidawsk.net,15
gateworks.com,14
hughsie.com,13
emindsoft.com.cn,13
xs4all.nl,12
raptorengineeringinc.com,12
paulk.fr,12
openmailbox.org,12
compulab.co.il,12
asus.com,12
rowland.harvard.edu,11
rempel-privat.de,11
mentor.com,11
meduna.org,11
kernelspring.com,11
grimberg.me,11
g0hl1n.net,11
docker.com,11
de.bosch.com,11
candelatech.com,11
aurel32.net,11
amazon.com,11
zte.com.cn,10
zadarastorage.com,10
yandex-team.ru,10
xyratex.com,10
walsh.ws,10
vt.edu,10
veribox.net,10
umail.furryterror.org,10
tycoint.com,10
tiscali.nl,10
timesys.com,10
thejh.net,10
tdt.de,10
stressinduktion.org,10
sr71.net,10
spreadtrum.com,10
skyboo.net,10
simonwunderlich.de,10
schneidersoft.net,10
schinagl.nl,10
renenyffenegger.ch,10
rad-ic.com,10
qq.com,10
projectara.com,10
posteo.de,10
polilinux.com.br,10
phytec.de,10
petroskoutoupis.com,10
outlook.com,10
odyssee-systemes.fr,10
nh6z.net,10
navaltechitalia.it,10
natalenko.name,10
monkey.org,10
mm-sol.com,10
mattleach.net,10
math.uni-bielefeld.de,10
martin.sperl.org,10
mail.muni.cz,10
lzu.edu.cn,10
lwfinger.net,10
libc.org,10
lab126.com,10
koalo.de,10
kleine-koenig.org,10
jp.fujitsu.com,10
itdev.co.uk,10
ispras.ru,10
insyde.com,10
idt.com,10
hurleysoftware.com,10
horizon.com,10
hgst.com,10
hartkopp.net,10
goldelico.com,10
gemalto.com,10
gdsys.cc,10
fujixerox.co.jp,10
fire.lp0.eu,10
fastmail.com,10
erig.me,10
endlessm.com,10
emutex.com,10
durdom.com,10
dtdream.com,10
digikod.net,10
diamand.org,10
desy.de,10
datto.com,10
datacom.ind.br,10
csclub.uwaterloo.ca,10
cs.msu.su,10
computerlinguist.org,10
bzatek.net,10
buserror.net,10
bobcopeland.com,10
bell.net,10
baslerweb.com,10
arista.com,10
ao2.it,10
angband.pl,10
alliedtelesis.co.nz,10
aim.com,10
ah.jp.nec.com,10
Netapp.com,10
C:/Program,10
3v1n0.net,10
126.com,10
nordicsemi.no,9
ochtman.nl,7
nelint.com,7
kernel.crashing.org,7
dell.com,7
vidarholen.net,6
tribudubois.net,6
m4x.org,6
jsg.id.au,6
crashcourse.ca,6
braap.org,6
analogixsemi.com,6
weilnetz.de,5
narod.ru,5
lacklustre.net,5
kitware.com,5
jotron.com,5
jlekstrand.net,5
ipxe.org,5
hp.com,5
gmail.com],5
e-sign.com,5
digitalstrom.com,5
constexpr.org,5
alterapraxis.com,5
aggios.com,5
C:/Program,5
twiddle.net,4
sipsolutions.net,4
georgi-clan.de,4
jidemail.com,3
displaylink.com,3
yandex.ru,2
v3.sk,2
ubnt.com,2
sysam.it,2
sandeen.net,2
provenrun.com,2
openvz.org,2
neuling.org,2
mobileactivedefense.com,2
meklort.com,2
koconnor.net,2
gibson.dropbear.id.au,2
embedded.rocks,2
elecsyscorp.com,2
decadent.org.uk,2
cooldavid.org,2
armills.info,2
williammanley.net,1
vivier.eu,1
tls.msk.ru,1
synaptics.com,1
sylvaingarrigues.com,1
ssi.bg,1
puiterwijk.org,1
profitbricks.com,1
plexistor.com,1
piap.pl,1
opensourceforge.net,1
opensource.se,1
obsidianresearch.com,1
newtec.dk,1
netronome.com,1
mokrynskyi.com,1
mielczarek.org,1
majess.pl,1
lxorguk.ukuu.org.uk,1
localhost.(none),1
kamp.de,1
ikarustech.com,1
hadess.net,1
gdsys.de,1
deshawresearch.com,1
cloudera.com,1
chown.ath.cx,1
bsch.com.au,1
bl4ckb0x.de,1
biessmann.org,1
analog.com,1
aleksander.es,1
adirat.com,1
ZenIV.linux.org.uk,1
