Contributor,September 2016
intel.com,8864
gmail.com,8597
redhat.com,4702
linaro.org,3250
amd.com,2644
chromium.org,2180
arm.com,2080
google.com,2030
arndb.de,1663
kernel.org,1410
huawei.com,1389
ibm.com,1245
linux-foundation.org,1236
s-opensource.com,1190
davemloft.net,1190
mellanox.com,1124
samsung.com,805
oracle.com,789
ti.com,759
rock-chips.com,736
canonical.com,732
st.com,700
linutronix.de,694
users.sourceforge.net,680
lip6.fr,670
unisys.com,640
osg.samsung.com,580
nxp.com,577
baylibre.com,560
lst.de,531
fb.com,502
free-electrons.com,484
zeniv.linux.org.uk,482
codeaurora.org,482
pengutronix.de,476
suse.com,471
primarydata.com,465
nvidia.com,460
imgtec.com,458
marvell.com,440
chris-wilson.co.uk,392
renesas.com,384
roeck-us.net,382
cogentembedded.com,370
broadcom.com,361
mediatek.com,360
infradead.org,331
socionext.com,309
riseup.net,300
linuxfoundation.org,294
suse.de,292
iki.fi,270
holtmann.org,260
microsemi.com,251
netronome.com,245
atomide.com,241
qti.qualcomm.com,237
ideasonboard.com,230
codecoup.pl,230
csie.org,226
windriver.com,221
chelsio.com,220
vmware.com,216
collabora.com,214
free.fr,211
savoirfairelinux.com,210
microsoft.com,209
linux-m68k.org,200
xilinx.com,199
cn.fujitsu.com,195
mleia.com,193
googlemail.com,191
microchip.com,190
cumulusnetworks.com,190
suse.cz,177
sang-engineering.com,170
ragnatech.se,170
opensource.wolfsonmicro.com,170
k2l.de,170
sakamocchi.jp,162
alum.mit.edu,162
xmission.com,160
mentor.com,160
ellerman.id.au,160
codeblueprint.co.uk,160
apm.com,153
sandisk.com,151
spreadtrum.com,150
c-s.fr,150
denx.de,144
noos.fr,142
wanadoo.fr,140
ffwll.ch,136
netapp.com,131
whitecape.org,130
sgi.com,130
netfilter.org,130
iogearbox.net,130
ingics.com,130
ikuai8.com,130
andree.sk,123
networkplumber.org,120
strlen.de,114
hotmail.com,114
semihalf.com,111
glider.be,111
lwn.net,110
synopsys.com,107
gmx.de,105
gentoo.org,103
virtuozzo.com,100
cisco.com,100
anholt.net,100
kernel.crashing.org,99
android.com,95
qca.qualcomm.com,94
realtek.com,91
wunner.de,90
perches.com,90
bmw-carit.de,90
bingham.xyz,90
axis.com,87
dettori.io,86
cavium.com,86
caviumnetworks.com,83
milecki.pl,82
gondor.apana.org.au,82
xyratex.com,80
skynet.be,80
jms.id.au,80
collabora.co.uk,80
hpe.com,75
goodmis.org,73
ozlabs.org,71
verge.net.au,70
phrozen.org,70
m4x.org,70
lentin.co.uk,70
gelma.net,70
folklore1984.net,70
flawful.org,70
aj.id.au,70
aosc.xyz,63
nordicsemi.no,62
openvz.org,61
opensource.altera.com,60
mungewell.org,60
mojatatu.com,60
endlessm.com,60
