Contributor,June 2018
intel.com,5668
gmail.com,4007
redhat.com,2628
chromium.org,2597
google.com,2326
linux-foundation.org,1875
kernel.org,1564
amd.com,1392
mellanox.com,1362
linaro.org,1167
ibm.com,745
oracle.com,710
arm.com,710
codeaurora.org,622
huawei.com,608
chris-wilson.co.uk,599
nxp.com,564
davemloft.net,561
linutronix.de,549
arndb.de,514
lst.de,504
suse.de,502
canonical.com,378
microsoft.com,359
bootlin.com,332
collabora.com,314
anholt.net,312
socionext.com,293
mediatek.com,265
samsung.com,261
ti.com,250
suse.com,244
glider.be,243
lkamp.de,238
lechnology.com,229
iogearbox.net,223
suse.cz,222
mips.com,220
renesas.com,212
igalia.com,210
fb.com,208
baylibre.com,196
st.com,190
microchip.com,185
broadcom.com,185
linuxfoundation.org,182
noos.fr,178
netronome.com,178
wdc.com,174
itsqueeze.com,167
siol.net,161
free.fr,161
c-s.fr,152
infradead.org,150
nordicsemi.no,147
lixom.net,147
basnieuwenhuizen.nl,143
pengutronix.de,140
riseup.net,135
linux-m68k.org,123
pnwbakers.com,121
efficios.com,119
mit.edu,114
gmx.de,114
hammerspace.com,112
cogentembedded.com,112
embeddedor.com,108
ellerman.id.au,106
kernel.dk,105
alphalink.fr,105
zonque.org,104
cavium.com,100
synopsys.com,99
opensource.cirrus.com,98
kernel.crashing.org,98
xilinx.com,91
sony.com,91
javigon.com,91
aosc.io,91
agner.ch,90
hughsie.com,87
keithp.com,85
themaw.net,84
deif.com,84
amsat.org,83
tamalin.org,77
debian.org,77
gmx.com,76
aheymans.xyz,76
zeniv.linux.org.uk,74
rock-chips.com,74
netfilter.org,73
qti.qualcomm.com,72
virtuozzo.com,70
strlen.de,70
osadl.org,70
jmondi.org,69
jms.id.au,66
w1.fi,64
nbd.name,63
micronovasrl.com,63
omnibond.com,62
whitecape.org,61
secunet.com,60
lab.ntt.co.jp,59
atomide.com,59
sang-engineering.com,58
i2se.com,57
codethink.co.uk,57
ozlabs.org,56
marvell.com,55
amarulasolutions.com,54
mojatatu.com,52
dell.com,52
nvidia.com,51
perches.com,49
narfation.org,49
interlog.com,49
d-silva.org,49
chelsio.com,49
ideasonboard.com,48
cisco.com,46
primarydata.com,45
ispras.ru,44
vaga.pv.it,42
sifive.com,42
nuvoton.com,42
microsemi.com,42
kaod.org,42
grimberg.me,42
goodmis.org,42
crapouillou.net,42
denx.de,41
vmware.com,40
konsulko.com,39
wanadoo.fr,38
ssi.bg,38
users.sourceforge.net,37
microchip.corp-partner.google.com,36
ite.com.tw,36
sakamocchi.jp,35
ragnatech.se,35
nod.at,35
invensense.com,35
infinera.com,35
hohndel.org,35
cnexlabs.com,35
brown.name,35
bp.renesas.com,35
animalcreek.com,35
tkos.co.il,32
lip6.fr,32
cn.fujitsu.com,31
citrix.com,31
I-love.SAKURA.ne.jp,31
ffwll.ch,30
freebsd.org,29
tobin.cc,28
tandemg.com,28
sntech.de,28
raspberrypi.org,28
paulo.ac,28
herbertland.com,28
epam.com,28
devialet.com,28
csie.org,28
cesnet.cz,28
blala.de,28
attalasystems.com,28
andestech.com,28
realtek.com,27
bitland.corp-partner.google.com,26
9elements.com,26
oticon.com,25
marek.ca,25
ilande.co.uk,25
hisilicon.com,25
aleksander.es,25
toke.dk,24
linux.alibaba.com,24
holtmann.org,24
braap.org,24
hpe.com,23
quantatw.com,22
qca.qualcomm.com,22
zx2c4.com,21
verge.net.au,21
sonarnerd.net,21
sipsolutions.net,21
scylladb.com,21
rowland.harvard.edu,21
rockwellcollins.com,21
pmeerw.net,21
opengridcomputing.com,21
networkplumber.org,21
intenta.de,21
h-hofmeier.de,21
compal.corp-partner.google.com,21
CARNet.hr,21
siemens.com,20
opensourcefoundries.com,20
gentoo.org,20
electromag.com.au,20
amazon.com,20
vivier.eu,18
queasysnail.net,18
das-labor.org,18
theobroma-systems.com,17
emlix.com,17
cumulusnetworks.com,17
6wind.com,17
vidarholen.net,16
tencent.com,16
phytec.de,16
gibson.dropbear.id.au,16
codecoup.pl,16
axentia.se,16
toradex.com,15
roeck-us.net,15
quanta.corp-partner.google.com,15
xs4all.nl,14
wunner.de,14
vip.163.com,14
unstable.cc,14
tronnes.org,14
topic.nl,14
synology.com,14
spectrumdigital.se,14
schaufler-ca.com,14
rodin.online,14
rasmusvillemoes.dk,14
quantenna.com,14
paul-moore.com,14
owl.eu.com,14
mobiveil.co.in,14
mess.org,14
lexmark.com,14
lenovo.com,14
joelfernandes.org,14
ingics.com,14
gouders.net,14
googlemail.com,14
gmx.net,14
gigaio.com,14
fishpost.de,14
fi.rohmeurope.com,14
fau.de,14
edited.us,14
candelatech.com,14
cambridgegreys.com,14
cadence.com,14
c0d3.blue,14
bobcopeland.com,14
blackhole.kfki.hu,14
benyossef.com,14
baidu.com,14
alliedtelesis.co.nz,14
aj.id.au,14
georgi.software,12
amd.corp-partner.google.com,12
semipol.de,11
universe-factory.net,10
synaptics.com,10
shmanahar.org,10
profitbricks.com,10
ozlabs.ru,10
mork.no,10
mentor.com,10
linux.com,10
kaiser.cx,10
juliacomputing.com,10
feralinteractive.com,10
antmicro.com,10
scarletltd.com,9
mvista.com,9
hamann.site,9
freedesktop.org,9
umn.edu,8
the-dreams.de,8
neuling.org,8
jp.fujitsu.com,8
ausil.us,8
altlinux.org,8
alien8.de,8
ziswiler.com,7
yandex-team.ru,7
yadro.com,7
xevo.com,7
wifirst.fr,7
voidlinux.eu,7
vitec.com,7
ucw.cz,7
tzimmermann.org,7
twibright.com,7
ts.fujitsu.com,7
trackman.com,7
toxicpanda.com,7
techsingularity.net,7
stgolabs.net,7
spreadtrum.com,7
sigexec.com,7
sandeen.net,7
saltedge.com,7
