Contributor,January 2016
intel.com,9288
gmail.com,4377
linaro.org,2993
redhat.com,2665
linux-foundation.org,2205
kernel.org,2029
google.com,1815
osg.samsung.com,1670
amd.com,1339
chromium.org,1295
samsung.com,977
oracle.com,961
mellanox.com,920
hurleysoftware.com,810
ibm.com,775
163.com,721
telegraphics.com.au,720
suse.com,658
arndb.de,641
davemloft.net,620
huawei.com,595
zeniv.linux.org.uk,590
suse.de,551
hovoldconsulting.com,550
lunn.ch,540
gondor.apana.org.au,530
rock-chips.com,487
alum.mit.edu,475
imgtec.com,462
free-electrons.com,402
infradead.org,375
vmware.com,360
broadcom.com,351
verge.net.au,340
virtuozzo.com,334
collabora.com,315
cmpxchg.org,310
arm.com,305
codeaurora.org,303
renesas.com,290
primarydata.com,290
lst.de,260
rasmusvillemoes.dk,250
lip6.fr,250
nvidia.com,247
hpe.com,245
linutronix.de,242
fb.com,231
iki.fi,230
marvell.com,229
ti.com,218
qti.qualcomm.com,213
chris-wilson.co.uk,213
csie.org,209
freescale.com,207
canonical.com,207
ffwll.ch,203
whitecape.org,197
arm.linux.org.uk,193
opensource.wolfsonmicro.com,190
pengutronix.de,184
openwrt.org,180
karolherbst.de,180
qca.qualcomm.com,179
mediatek.com,177
atmel.com,173
cmss.chinamobile.com,170
cn.fujitsu.com,169
roeck-us.net,161
narfation.org,160
freedesktop.org,155
glider.be,150
bjorling.me,150
socionext.com,145
qlogic.com,140
users.sourceforge.net,133
sandisk.com,130
omnibond.com,130
compulab.co.il,130
nxp.com,129
riseup.net,125
citrix.com,123
sntech.de,122
ideasonboard.com,121
suse.cz,120
nod.at,120
gmx.de,120
realtek.com,116
free.fr,115
microchip.com,112
ezchip.com,111
xilinx.com,98
apm.com,92
atomide.com,91
users.sourceforge.jp,90
sang-engineering.com,90
fire.lp0.eu,90
mansr.com,83
windriver.com,81
tieto.com,80
mm-sol.com,80
baylibre.com,80
linux-m68k.org,71
googlemail.com,71
microsoft.com,70
digikod.net,70
cogentembedded.com,70
konsulko.com,66
owl.jf.intel.com,65
anholt.net,63
strlen.de,61
thejh.net,60
rainbow-software.org,60
netfilter.org,60
linuxfoundation.org,60
linux-iscsi.org,60
lemote.com,60
iogearbox.net,60
fromorbit.com,60
collabora.co.uk,60
quantatw.com,59
synopsys.com,54
goodmis.org,51
raptorengineeringinc.com,50
posteo.de,50
open-mesh.com,50
metanate.com,50
martin.sperl.org,50
lixom.net,50
alterapraxis.com,50
ah.jp.nec.com,50
denx.de,49
mleia.com,45
gentoo.org,45
cisco.com,43
agner.ch,43
w1.fi,42
rab.in,42
nuvoton.com,42
stressinduktion.org,41
metafoo.de,41
linux.com,41
wunner.de,40
wizery.com,40
tomtom.com,40
sakamocchi.jp,40
maciej.szmigiero.name,40
chelsio.com,40
canb.auug.org.au,40
avagotech.com,40
ao2.it,40
animalcreek.com,40
zamaudio.com,38
mc2research.org,35
gibson.dropbear.id.au,33
fedoraproject.org,33
v1ros.org,31
openvz.org,31
lge.com,31
cumulusnetworks.com,31
xs4all.nl,30
variantweb.net,30
trippelsdorf.de,30
teenage.engineering,30
savoirfairelinux.com,30
purestorage.com,30
popple.id.au,30
poochiereds.net,30
pmcs.com,30
perches.com,30
mentor.com,30
lzu.edu.cn,30
kyup.com,30
ingics.com,30
igalia.com,30
goldelico.com,30
endlessm.com,30
ellerman.id.au,30
codeblueprint.co.uk,30
brocade.com,30
amarulasolutions.com,30
alexanderkoch.net,30
HansenPartnership.com,30
1wt.eu,30
linux-mips.org,28
aleksander.es,28
jlekstrand.net,26
openedev.com,25
ite.com.tw,24
lxorguk.ukuu.org.uk,22
zankel.net,20
yasker.org,20
tuxdriver.com,20
timesys.com,20
stgolabs.net,20
sipsolutions.net,20
sigmadesigns.com,20
sgi.com,20
russell.cc,20
phytec.de,20
parkeon.com,20
opensource.se,20
nordicsemi.no,20
netronome.com,20
mit.edu,20
math.uni-bielefeld.de,20
lynxeye.de,20
koconnor.net,20
javigon.com,20
hotmail.com,20
gmx.com,20
fau.de,20
ettus.com,20
ens-lyon.org,20
emc.com,20
elzevir.fr,20
diasemi.com,20
decadent.org.uk,20
cirrus.com,20
ccbib.org,20
axis.com,20
apple.com,20
altlinux.org,20
a1ca3aef-8c08-0410-bb20-df032aa958be,19
siemens.com,16
hp.com,16
vidarholen.net,12
tribudubois.net,11
st.com,11
sonymobile.com,11
silentcreek.de,11
ozlabs.ru,11
openwall.com,11
ni.com,11
mobileactivedefense.com,11
mail.parknet.co.jp,11
jwilk.net,11
aristanetworks.com,11
android.com,11
zte.com.cn,10
yandex-team.ru,10
yahoo.co.uk,10
xdel.ru,10
who-t.net,10
wanadoo.fr,10
visteon.com,10
vanguardiasur.com.ar,10
v3.sk,10
tsoy.me,10
ts.fujitsu.com,10
tremily.us,10
tkos.co.il,10
techsingularity.net,10
synaptics.com,10
southpole.se,10
simonwunderlich.de,10
sigma-chemnitz.de,10
schischi.me,10
sandeen.net,10
samfundet.no,10
rutgers.edu,10
rustcorp.com.au,10
rowland.harvard.edu,10
rempel-privat.de,10
ravellosystems.com,10
raphnet.net,10
projectara.com,10
profitbricks.com,10
plagman.net,10
perception-point.io,10
ovn.org,10
osadl.org,10
omicron.at,10
nwl.cc,10
nokia.com,10
nextfour.com,10
netapp.com,10
neomailbox.ch,10
nebula.com,10
nasa.gov,10
namei.org,10
motorolasolutions.com,10
mojatatu.com,10
mjdsystems.ca,10
mirantis.com,10
mip-labs.com,10
mina86.com,10
manchmal.in-ulm.de,10
maine.edu,10
lwfinger.net,10
linux.it,10
lightnvm.io,10
libc.org,10
leon.nu,10
leemhuis.info,10
leaflabs.com,10
kudzu.us,10
krieglstein.org,10
jp.fujitsu.com,10
itdev.co.uk,10
ispras.ru,10
ilande.co.uk,10
icequake.net,10
i-love.sakura.ne.jp,10
holtmann.org,10
hisilicon.com,10
higgsboson.tk,10
herbertland.com,10
hauke-m.de,10
hardkernel.com,10
