Contributor,May 2019
intel.com,4273
chromium.org,3500
gmail.com,3198
google.com,2627
redhat.com,2007
analog.com,1115
amd.com,963
linux-foundation.org,867
kernel.org,850
linaro.org,829
huawei.com,752
linutronix.de,711
collabora.com,635
nxp.com,568
arm.com,461
mellanox.com,426
baylibre.com,400
ibm.com,399
c-s.fr,349
suse.de,326
mediatek.com,324
codeaurora.org,321
whitecape.org,310
zeniv.linux.org.uk,308
jlekstrand.net,300
davemloft.net,296
bootlin.com,281
oracle.com,276
st.com,271
roeck-us.net,268
lst.de,264
vmware.com,261
renesas.com,254
chris-wilson.co.uk,253
rosenzweig.io,240
nordicsemi.no,231
socionext.com,220
netronome.com,219
canonical.com,214
suse.com,209
metafoo.de,198
gmx.de,196
embeddedor.com,180
fb.com,170
nvidia.com,158
linuxfoundation.org,152
pengutronix.de,148
xs4all.nl,147
ti.com,142
broadcom.com,141
synopsys.com,132
glider.be,112
infradead.org,109
umn.edu,105
arndb.de,105
microsoft.com,104
anholt.net,103
suse.cz,97
amazon.com,96
pnwbakers.com,95
sang-engineering.com,90
gdsys.cc,87
web.de,86
zte.com.cn,85
xmission.com,84
strlen.de,81
true.cz,78
marvell.com,77
realtek.com,76
omnibond.com,73
atomide.com,73
sakamocchi.jp,72
noos.fr,70
virtuozzo.com,69
kernel.dk,66
aquantia.com,66
rowland.harvard.edu,65
iogearbox.net,64
amarulasolutions.com,64
rock-chips.com,63
microchip.com,63
tomli.me,60
netfilter.org,60
geanix.com,60
denx.de,60
konsulko.com,59
kaod.org,58
samsung.com,57
nikanor.nu,57
basnieuwenhuizen.nl,55
azazel.net,54
ingics.com,52
ravnborg.org,51
opensource.cirrus.com,50
itsqueeze.com,50
googlemail.com,50
wdc.com,49
linux.alibaba.com,48
ualberta.ca,45
nokia.com,45
nbd.name,45
lwn.net,45
ellerman.id.au,45
9elements.com,44
bp.renesas.com,42
v3.sk,41
chelsio.com,41
cmpxchg.org,39
wunner.de,36
hughsie.com,36
sifive.com,35
joelfernandes.org,35
stackframe.org,33
narfation.org,33
habana.ai,33
efficios.com,33
d-silva.org,33
I-love.SAKURA.ne.jp,33
163.com,33
oticon.com,32
synaptics.com,31
ragnatech.se,31
kwiboo.se,31
igalia.com,31
lixom.net,30
jinso.co.jp,30
endlessm.com,30
cdspooner.com,30
andestech.com,30
nic.cz,29
impinj.com,29
goodmis.org,29
debian.org,29
w1.fi,28
tronnes.org,28
phrozen.org,28
zoho.com.cn,27
mit.edu,27
quanta.corp-partner.google.com,26
ozlabs.org,25
foundries.io,25
tencent.com,24
nod.at,24
martin.sperl.org,24
maciej.szmigiero.name,24
baidu.com,24
siol.net,23
diasemi.com,23
benyossef.com,23
vidarholen.net,22
lca.pw,22
inthat.cloud,22
holtmann.org,22
xilinx.com,21
mips.com,21
lunn.ch,21
kiener-muenchen.de,21
itdev.co.uk,21
ideasonboard.com,21
gondor.apana.org.au,21
globallogic.com,21
fredlawl.com,21
csie.org,21
centosproject.org,21
brauner.io,21
android.com,21
alliedtelesis.co.nz,21
akamai.com,21
aheymans.xyz,20
toradex.com,19
rasmusvillemoes.dk,19
free.fr,19
arista.com,19
quantatw.com,18
onstation.org,18
jp.fujitsu.com,18
siemens.com,17
nexedi.com,17
linux-m68k.org,17
netapp.com,16
gentoo.org,16
eltan.com,16
dell.com,16
compal.corp-partner.google.com,16
aurel32.net,16
windriver.com,15
wacom.com,15
vestas.com,15
themaw.net,15
sdf.org,15
osadl.org,15
oblong.com,15
metux.net,15
mess.org,15
mentor.com,15
kalray.eu,15
hotmail.com,15
hauke-m.de,15
hadess.net,15
ghiti.fr,15
cadence.com,15
system76.com,14
secunet.com,14
theobroma-systems.com,13
sysam.it,13
queasysnail.net,13
lexmark.com,13
jms.id.au,13
crapouillou.net,13
zonque.org,12
yulong.com,12
toxicpanda.com,12
tambre.ee,12
skyboo.net,12
skidata.com,12
russell.cc,12
probst.it,12
nuvoton.com,12
mathembedded.com,12
lwfinger.net,12
ite.com.tw,12
huaqin.corp-partner.google.com,12
grimberg.me,12
gmx.net,12
esd.eu,12
brown.name,12
bell.net,12
babayev.com,12
axtens.net,12
yandex-team.ru,11
jmondi.org,11
internships.antmicro.com,11
foxmail.com,11
codecoup.pl,11
student.tugraz.at,10
parrot.com,10
nh6z.net,10
metanetworks.com,10
marek.ca,10
intel.corp-partner.google.com,10
hisilicon.com,10
de.bosch.com,10
daqri.com,10
citrix.com,10
usp.br,9
unisoc.com,9
ucw.cz,9
stgolabs.net,9
rwth-aachen.de,9
paulo.ac,9
norrbonn.se,9
lightbitslabs.com,9
kylinos.cn,9
hammerspace.com,9
garyguo.net,9
cloudflare.com,9
beckhoff.com,9
aussec.com,9
aosc.io,9
altlinux.org,9
adacore.com,9
acm.org,9
wistron.corp-partner.google.com,8
pabigot.com,8
megous.com,8
gibson.dropbear.id.au,8
cisco.com,8
asus.corp-partner.google.com,8
