Contributor,February 2017
intel.com,7986
gmail.com,7146
redhat.com,4015
google.com,2787
linaro.org,2237
linux-foundation.org,2051
chris-wilson.co.uk,2019
kernel.org,1841
chromium.org,1653
mellanox.com,1613
ibm.com,1442
oracle.com,1348
suse.com,1346
suse.de,1269
amd.com,1107
huawei.com,1030
arndb.de,971
davemloft.net,961
imgtec.com,853
broadcom.com,770
codeaurora.org,765
samsung.com,677
collabora.com,644
lst.de,632
fb.com,565
arm.com,525
microsoft.com,510
ti.com,490
free-electrons.com,490
cavium.com,470
roeck-us.net,440
canonical.com,434
microsemi.com,432
nvidia.com,418
nxp.com,412
socionext.com,405
st.com,359
sandisk.com,340
pengutronix.de,311
cumulusnetworks.com,302
linux-m68k.org,300
rock-chips.com,277
qca.qualcomm.com,260
chelsio.com,240
mediatek.com,234
suse.cz,220
infradead.org,211
kernel.crashing.org,210
goodmis.org,210
ellerman.id.au,210
strlen.de,204
lwfinger.net,201
baylibre.com,201
primarydata.com,200
netronome.com,200
itsqueeze.com,196
atmel.com,193
osg.samsung.com,182
netfilter.org,171
windriver.com,170
digikod.net,170
wanadoo.fr,160
sang-engineering.com,160
users.sourceforge.net,154
synopsys.com,153
alum.mit.edu,148
telegraphics.com.au,140
skynet.be,140
ovn.org,140
altlinux.org,140
whitecape.org,131
networkplumber.org,130
distanz.ch,130
aquantia.com,130
annapurnalabs.com,130
basnieuwenhuizen.nl,128
anholt.net,127
linutronix.de,123
visionengravers.com,120
lunn.ch,120
gondor.apana.org.au,120
vmware.com,117
ssi.bg,110
solarflare.com,110
milecki.pl,110
mit.edu,107
linuxfoundation.org,106
igalia.com,105
collabora.co.uk,105
realtek.com,102
tronnes.org,100
saunalahti.fi,100
nikanor.nu,100
cs.columbia.edu,100
w1.fi,98
kaod.org,94
ffwll.ch,91
tuffmail.co.uk,90
tobin.cc,90
gmx.de,90
engestrom.ch,85
googlemail.com,84
secunet.com,82
virtuozzo.com,81
decadent.org.uk,81
stgolabs.net,80
nbd.name,80
metafoo.de,80
iogearbox.net,80
iki.fi,80
siemens.com,77
renesas.com,77
linux-iscsi.org,74
ozlabs.org,70
kempniu.pl,70
ideasonboard.com,70
cisco.com,70
aj.id.au,70
cn.fujitsu.com,69
aleksander.es,64
nestwave.com,63
s-opensource.com,61
unisys.com,60
tuxera.com,60
savoirfairelinux.com,60
ranostay.consulting,60
perches.com,60
electromag.com.au,60
aspeedtech.com,60
alliedtelesis.co.nz,60
tieto.com,58
ieee.org,57
citrix.com,56
qti.qualcomm.com,54
gibson.dropbear.id.au,53
au1.ibm.com,53
ni.com,51
techsingularity.net,50
rasmusvillemoes.dk,50
parallels.com,50
onstation.org,50
obsidianresearch.com,50
informatik.uni-hamburg.de,50
ikuai8.com,50
goldelico.com,50
glider.be,50
embeddedor.com,50
csie.org,50
cmpxchg.org,50
quantatw.com,47
yandex-team.ru,41
linux-mips.org,41
yahoo.com,40
xmission.com,40
seagate.com,40
ragnatech.se,40
opensource.wolfsonmicro.com,40
omnibond.com,40
i2se.com,40
exdev.nl,40
cray.com,40
atomide.com,40
marvell.com,33
hpe.com,32
lip6.fr,31
bitwise.fi,31
xs4all.nl,30
vadai.me,30
synology.com,30
sixbynine.org,30
samba.org,30
sakamocchi.jp,30
rwth-aachen.de,30
narfation.org,30
lwn.net,30
lge.com,30
hauke-m.de,30
endlessm.com,30
emutex.com,30
denx.de,30
crowfest.net,30
caviumnetworks.com,30
benyossef.com,30
axtens.net,30
axentia.se,30
aosc.xyz,30
analog.com,30
aheymans.xyz,30
fedoraproject.org,28
twiddle.net,27
gentoo.org,27
dell.com,27
yahoo.com.au,25
free.fr,25
konsulko.com,24
163.com,24
hughsie.com,23
tycho.nsa.gov,21
axis.com,21
ZenIV.linux.org.uk,21
udel.edu,20
tkos.co.il,20
russell.cc,20
rainbow-software.org,20
profitbricks.com,20
phrozen.org,20
perex.cz,20
ozlabs.ru,20
oktetlabs.ru,20
nuvoton.com,20
mojatatu.com,20
mess.org,20
macke.de,20
m4x.org,20
list.ru,20
kaa.org.ua,20
jinso.co.jp,20
it-klinger.de,20
grinn-global.com,20
grimberg.me,20
freescale.com,20
colorfullife.com,20
codethink.co.uk,20
cnexlabs.com,20
canb.auug.org.au,20
c0d3.blue,20
brocade.com,20
am.sony.com,20
alemayhu.com,20
akamai.com,20
I-love.SAKURA.ne.jp,20
HansenPartnership.com,20
gmx.net,18
freedesktop.org,17
feralinteractive.com,16
codecoup.pl,16
synapse.com,15
pnwbakers.com,15
folklore1984.net,15
nordicsemi.no,14
ispras.ru,14
xilinx.com,12
openvz.org,12
zte.com.cn,11
xes-inc.com,11
stevens-zone.net,11
ojab.ru,11
mobile-devices.fr,11
live.jp,11
hitachi.com,11
displaylink.com,11
defutech.de,11
cera.cz,11
amazon.com,11
zx2c4.com,10
zeniv.linux.org.uk,10
youcom.nl,10
yahoo.in,10
yahoo.es,10
weidmueller.com,10
web.de,10
wdc.com,10
walle.cc,10
vdwaa.nl,10
vanguardiasur.com.ar,10
v3.sk,10
universe-factory.net,10
umangis.me,10
uclouvain.be,10
trustica.cz,10
themaw.net,10
the-dreams.de,10
templeofstupid.com,10
tdiedrich.de,10
sysgo.com,10
sysam.it,10
stratus.com,10
sslab.ics.keio.ac.jp,10
southpole.se,10
skidata.com,10
skelett.io,10
sgi.com,10
salscheider-online.de,10
riseup.net,10
raphnet.net,10
qlogic.com,10
protonic.nl,10
prevas.dk,10
posteo.de,10
pixelmunchies.com,10
phoenitydawn.de,10
paul-moore.com,10
paraair.de,10
osadl.org,10
opengridcomputing.com,10
omicronenergy.com,10
nwl.cc,10
nod.at,10
neuling.org,10
netapp.com,10
ncentric.com,10
mvista.com,10
mleia.com,10
microchip.com,10
mev.co.uk,10
