Contributor,January 2018
intel.com,5768
gmail.com,4975
redhat.com,4046
google.com,2305
chromium.org,2276
kernel.org,2232
amd.com,1950
oracle.com,1689
mellanox.com,1654
linaro.org,1504
ibm.com,1339
huawei.com,1300
linux-foundation.org,1169
arm.com,1078
davemloft.net,1008
suse.com,961
codeaurora.org,955
arndb.de,839
netronome.com,778
free-electrons.com,778
vmware.com,665
lst.de,637
linutronix.de,564
linuxfoundation.org,557
canonical.com,546
suse.de,511
wdc.com,490
itsqueeze.com,437
cavium.com,399
broadcom.com,399
pengutronix.de,372
ti.com,368
nxp.com,347
anholt.net,347
realtek.com,342
st.com,335
xmission.com,308
chris-wilson.co.uk,307
users.sourceforge.net,304
iogearbox.net,302
lixom.net,287
basnieuwenhuizen.nl,276
netfilter.org,255
samsung.com,248
microsoft.com,245
fb.com,245
socionext.com,244
microsemi.com,231
chelsio.com,224
amazon.co.uk,206
zeniv.linux.org.uk,204
benyossef.com,203
microchip.com,190
linux-mips.org,189
infradead.org,179
strlen.de,177
igalia.com,177
mediatek.com,165
roeck-us.net,163
nullcore.net,154
gmx.de,152
quantenna.com,147
lip6.fr,147
aquantia.com,147
osg.samsung.com,144
embeddedor.com,141
ellerman.id.au,139
collabora.com,138
kernel.dk,129
nbd.name,127
kernel.crashing.org,126
cnexlabs.com,126
xilinx.com,123
c-s.fr,122
baylibre.com,122
sang-engineering.com,119
solarflare.com,115
telegraphics.com.au,112
ericsson.com,112
mips.com,106
siemens.com,105
renesas.com,105
crapouillou.net,105
goodmis.org,103
wunner.de,101
nvidia.com,101
web.de,94
rock-chips.com,94
nordicsemi.no,94
networkplumber.org,94
glider.be,93
pnwbakers.com,91
cisco.com,91
bgdev.pl,91
whitecape.org,90
codecoup.pl,87
cogentembedded.com,85
lechnology.com,84
virtuozzo.com,73
debian.org,73
primarydata.com,71
s-opensource.com,70
deltatee.com,70
jp.fujitsu.com,69
rwth-aachen.de,66
konsulko.com,66
grimberg.me,66
gentoo.org,60
suse.cz,58
hughsie.com,58
hpe.com,57
wizery.com,56
wanadoo.fr,56
tronnes.org,56
semihalf.com,56
ozlabs.org,56
jms.id.au,56
googlemail.com,56
gdsys.cc,56
amlogic.com,56
qca.qualcomm.com,51
imgtec.com,51
arista.com,50
tobin.cc,49
mojatatu.com,49
lunn.ch,49
linux-m68k.org,49
interlog.com,49
arm.linux.org.uk,49
synopsys.com,48
agner.ch,46
zte.com.cn,42
smile.fr,42
nuvoton.com,42
mnementh.co.uk,42
maximintegrated.com,42
bjorling.me,42
atomide.com,42
marvell.com,41
hotmail.com,41
collabora.co.uk,41
alum.mit.edu,40
ilande.co.uk,39
alibaba-inc.com,39
the-dreams.de,35
sifive.com,35
perches.com,35
mess.org,35
spreadtrum.com,34
feralinteractive.com,34
dell.com,34
aheymans.xyz,34
kaod.org,32
amarulasolutions.com,31
techveda.org,30
unrelenting.technology,29
cn.fujitsu.com,29
aleksander.es,29
tkos.co.il,28
secunet.com,28
queasysnail.net,28
neratec.com,28
lyle.org,28
kb.kras.ru,28
katalix.com,28
hisilicon.com,28
gmx.net,28
gibson.dropbear.id.au,28
compal.corp-partner.google.com,28
axentia.se,28
arcx.com,28
amazon.com,28
aj.id.au,28
CARNet.hr,28
vivier.eu,26
silverbackltd.com,26
ozlabs.ru,26
displaylink.com,26
ni.com,25
mail.ru,25
microchip.corp-partner.google.com,24
android.com,24
amsat.org,24
6wind.com,24
tuxera.com,23
codethink.co.uk,22
alphalink.fr,22
xs4all.nl,21
xes-inc.com,21
uni-rostock.de,21
softnautics.com,21
sandeen.net,21
rasmusvillemoes.dk,21
posteo.de,21
opensource.cirrus.com,21
omnibond.com,21
mleia.com,21
lab.ntt.co.jp,21
kitware.com,21
kaiser.cx,21
i2se.com,21
dominikbrodowski.net,21
distanz.ch,21
didichuxing.com,21
devnulllabs.io,21
coreos.com,21
caviumnetworks.com,21
axis.com,21
analog.com,21
riseup.net,20
neuling.org,20
opengridcomputing.com,19
vidarholen.net,18
maciej.szmigiero.name,18
gondor.apana.org.au,18
aosc.io,18
ispras.ru,17
surrealistic.net,16
oticon.com,16
lge.com,16
armis.com,16
tuxdriver.com,15
sony.com,15
icloud.com,15
dronecode.org.uk,15
boundarydevices.com,15
ziepe.ca,14
vip.163.com,14
v3.sk,14
ucw.cz,14
quantonium.net,14
purestorage.com,14
proxmox.com,14
orcon.net.nz,14
openvz.org,14
lwfinger.net,14
luisgerhorst.de,14
lucaceresoli.net,14
lineageos.org,14
lightbitslabs.com,14
lemote.com,14
it-klinger.de,14
ingics.com,14
ideasonboard.com,14
hxt-semitech.com,14
free.fr,14
fau.de,14
fastmail.com,14
electromag.com.au,14
egil-hjelmeland.no,14
digikod.net,14
dev.mellanox.co.il,14
cypress.com,14
cmss.chinamobile.com,14
citrix.com,14
chronox.de,14
cesnet.cz,14
bp.renesas.com,14
blackhole.kfki.hu,14
beckhoff.com,14
au1.ibm.com,14
andred.net,14
amazon.de,14
theobroma-systems.com,13
quantatw.com,13
ffwll.ch,13
ens-lyon.org,13
andestech.com,13
opensourcefoundries.com,12
jlekstrand.net,12
iki.fi,12
youruncloud.com,11
qnap.com,11
peak-system.com,11
moxa.com,11
grandegger.com,11
gmx.com,11
freedesktop.org,11
flameeyes.eu,11
cumulusnetworks.com,11
tremily.us,10
rowland.harvard.edu,10
platform.sh,10
no-log.org,10
netflix.com,10
ieee.org,10
hartkopp.net,10
efficios.com,10
das-labor.org,10
qti.qualcomm.com,9
erwinrol.com,9
csie.org,9
synaptics.com,8
stgolabs.net,8
linux.alibaba.com,8
fr.zoreil.com,8
angband.pl,8
163.com,8
zytor.com,7
zx2c4.com,7
zhaoxin.com,7
who-t.net,7
verge.net.au,7
vaga.pv.it,7
treewalker.org,7
the-tk.com,7
techsingularity.net,7
techadventures.net,7
szeredi.hu,7
swissphone.de,7
stevens-zone.net,7
spacex.com,7
sjtu.edu.cn,7
siol.net,7
sigmadesigns.com,7
sierrawireless.com,7
shmanahar.org,7
sf-tec.de,7
schaufler-ca.com,7
savoirfairelinux.com,7
samba.org,7
s5r6.in-berlin.de,7
rustcorp.com.au,7
russell.cc,7
rad-ic.com,7
qlogic.com,7
prjkt.io,7
prevas.dk,7
petroskoutoupis.com,7
partner.samsung.com,7
owltronix.com,7
ovn.org,7
outlook.it,7
nokia-sbell.com,7
neclab.eu,7
