Contributor,April 2019
intel.com,4063
chromium.org,3354
gmail.com,3268
google.com,2484
redhat.com,1707
amd.com,1046
linaro.org,955
huawei.com,865
kernel.org,781
suse.com,727
arm.com,693
codeaurora.org,679
bootlin.com,678
mellanox.com,626
ibm.com,593
ti.com,477
oracle.com,473
mediatek.com,441
st.com,418
collabora.com,400
linux-foundation.org,393
suse.de,380
linutronix.de,366
nxp.com,324
davemloft.net,322
baylibre.com,308
anholt.net,289
lixom.net,282
rosenzweig.io,280
chris-wilson.co.uk,278
canonical.com,269
nvidia.com,255
jlekstrand.net,250
acm.org,249
igalia.com,245
infradead.org,240
roeck-us.net,233
fb.com,233
whitecape.org,230
embeddedor.com,228
linux.alibaba.com,222
linuxfoundation.org,217
lst.de,206
netronome.com,200
arndb.de,180
samsung.com,166
ingics.com,162
socionext.com,149
strlen.de,146
umn.edu,141
basnieuwenhuizen.nl,140
denx.de,138
atomide.com,138
nordicsemi.no,127
microchip.com,127
marvell.com,126
hanoverdisplays.com,123
metux.net,120
pengutronix.de,119
renesas.com,118
iogearbox.net,112
vmware.com,108
glider.be,107
w1.fi,103
analog.com,103
toradex.com,98
zte.com.cn,97
benyossef.com,92
gondor.apana.org.au,91
collabora.co.uk,84
mev.co.uk,82
gmx.de,81
broadcom.com,78
kernel.dk,74
noos.fr,70
lunn.ch,70
zeniv.linux.org.uk,67
suse.cz,65
sang-engineering.com,65
opensource.cirrus.com,65
marek.ca,63
lca.pw,60
c-s.fr,60
synopsys.com,57
pnwbakers.com,57
ideasonboard.com,57
ellerman.id.au,57
xilinx.com,55
itsqueeze.com,55
c-sky.com,54
bp.renesas.com,54
quantenna.com,53
googlemail.com,52
v3.sk,51
I-love.SAKURA.ne.jp,50
rock-chips.com,49
goodmis.org,48
endlessm.com,48
csie.org,48
yandex-team.ru,47
microsoft.com,47
konsulko.com,47
altlinux.org,46
quantatw.com,44
tronnes.org,43
megous.com,43
amarulasolutions.com,43
dell.com,42
hisilicon.com,41
nbd.name,40
globallogic.com,40
jmondi.org,39
ffwll.ch,39
crapouillou.net,39
realtek.com,38
xs4all.nl,37
softathome.com,37
quanta.corp-partner.google.com,36
onstation.org,36
linux.fjfi.cvut.cz,36
9elements.com,36
hughsie.com,35
free.fr,35
cumulusnetworks.com,34
gmx.net,33
chelsio.com,33
aleksander.es,33
sigxcpu.org,32
ragnatech.se,32
katsuster.net,32
compal.corp-partner.google.com,32
nuvoton.com,30
jms.id.au,30
it-klinger.de,30
goldelico.com,30
axis.com,30
windriver.com,29
debian.org,29
tomli.me,28
huaqin.corp-partner.google.com,28
aheymans.xyz,28
nokia.com,27
mleia.com,27
martin.sperl.org,27
gmx.com,27
mvista.com,26
yahoo.com,25
rasmusvillemoes.dk,25
jinso.co.jp,25
dektech.com.au,25
aosc.io,25
essensium.com,24
akkea.ca,24
agner.ch,24
ozlabs.ru,23
gibson.dropbear.id.au,23
ualberta.ca,22
camlintechnologies.com,22
163.com,22
wetzel-home.de,21
rowland.harvard.edu,21
kontron.de,21
hotmail.com,21
holtmann.org,21
grimberg.me,21
arrikto.com,21
wdc.com,20
gentoo.org,20
baidu.com,20
alliedtelesis.co.nz,20
techsingularity.net,19
siemens.com,19
netfilter.org,19
hxt-semitech.com,19
verge.net.au,18
siol.net,18
nexedi.com,18
joelfernandes.org,18
i2se.com,18
auristor.com,18
artur-rojek.eu,18
sntech.de,17
silex-india.com,17
mork.no,17
ginzinger.com,17
telegraphics.com.au,16
stackframe.org,16
secunet.com,16
lip6.fr,16
yulong.com,15
vyatta.att-mail.com,15
vt.edu,15
topic.nl,15
surriel.com,15
sifive.com,15
russell.cc,15
nh6z.net,15
mit.edu,15
mips.com,15
metafoo.de,15
ijw.co.nz,15
6wind.com,15
virtuozzo.com,14
theobroma-systems.com,14
sdf.org,14
queasysnail.net,14
kwiboo.se,14
cogentembedded.com,14
citrix.com,14
ucloud.cn,13
toxicpanda.com,13
perches.com,13
osg.samsung.com,13
nokia-bell-labs.com,13
linux-m68k.org,13
cmpxchg.org,13
usp.br,12
synology.com,12
studium.uni-erlangen.de,12
oticon.com,12
osadl.org,12
opensource.se,12
lwfinger.net,12
lab.ntt.co.jp,12
kaod.org,12
jp.fujitsu.com,12
habana.ai,12
ge.com,12
eltan.com,12
elco-automation.de,12
akamai.com,12
aisec.fraunhofer.de,12
vidarholen.net,11
nic.cz,11
ispras.ru,11
de.adit-jv.com,11
web.de,10
tycho.ws,10
tkos.co.il,10
rutgers.edu,10
rockwellcollins.com,10
live.com,10
kragniz.eu,10
innovation.ch,10
imkreisrum.de,10
iki.fi,10
foxmail.com,10
brauner.io,10
vivint.com,9
true.cz,9
stbuehler.de,9
purestorage.com,9
netapp.com,9
milecki.pl,9
mail.ru,9
lenovo.com,9
intel.corp-partner.google.com,9
geanix.com,9
esd.eu,9
efficios.com,9
david-bauer.net,9
cavium.com,9
canb.auug.org.au,9
cadence.com,9
brixandersen.dk,9
br-automation.com,9
aurel32.net,9
att.com,9
FreeBSD.org,9
student.tugraz.at,8
dell.corp-partner.google.com,8
