Contributor,November 2017
intel.com,6523
gmail.com,4586
redhat.com,4230
google.com,3421
chromium.org,2990
amd.com,2040
kernel.org,1970
linux-foundation.org,1882
ibm.com,1219
linaro.org,1170
arm.com,969
oracle.com,955
canonical.com,886
mellanox.com,788
chris-wilson.co.uk,778
huawei.com,757
arndb.de,712
linuxfoundation.org,700
davemloft.net,661
embeddedor.com,529
suse.com,490
lst.de,490
suse.de,464
suse.cz,459
users.sourceforge.net,439
socionext.com,439
benyossef.com,438
microchip.com,415
netronome.com,406
s-opensource.com,373
zeniv.linux.org.uk,307
qca.qualcomm.com,290
anholt.net,279
opensource.se,273
virtuozzo.com,268
nxp.com,266
broadcom.com,250
free-electrons.com,247
codeaurora.org,243
fb.com,241
vmware.com,240
itsqueeze.com,237
renesas.com,227
verge.net.au,210
wdc.com,209
pnwbakers.com,201
st.com,200
collabora.com,200
savoirfairelinux.com,196
bp.renesas.com,196
mips.com,194
nvidia.com,190
mediatek.com,185
whitecape.org,183
primarydata.com,179
samsung.com,173
android.com,172
chelsio.com,171
dell.com,167
igalia.com,149
wanadoo.fr,147
imgtec.com,142
glider.be,140
linutronix.de,139
realtek.com,127
infradead.org,127
ti.com,116
osg.samsung.com,113
hughsie.com,113
cavium.com,111
tobin.cc,108
lunn.ch,105
kernel.dk,105
deltatee.com,105
egil-hjelmeland.no,98
pengutronix.de,95
tronnes.org,94
rock-chips.com,91
xilinx.com,89
gmx.de,87
ellerman.id.au,86
zte.com.cn,85
cogentembedded.com,84
cn.fujitsu.com,78
nexus-software.ie,77
grimberg.me,77
nordicsemi.no,74
sang-engineering.com,70
rasmusvillemoes.dk,70
didichuxing.com,70
ozlabs.org,69
nuvoton.com,68
wunner.de,67
linux-m68k.org,67
alum.mit.edu,67
toxicpanda.com,63
techsingularity.net,63
sifive.com,63
quantenna.com,63
maciej.szmigiero.name,63
linux-iscsi.org,63
gmx.net,63
boundarydevices.com,63
strlen.de,59
electromag.com.au,56
lip6.fr,55
ffwll.ch,55
atomide.com,54
synopsys.com,53
csie.org,50
the-dreams.de,49
perches.com,49
windriver.com,45
opensourcefoundries.com,45
theobroma-systems.com,44
googlemail.com,44
iogearbox.net,43
quantonium.net,42
paul-moore.com,42
networkplumber.org,42
lemote.com,42
lab.ntt.co.jp,42
roeck-us.net,41
alphalink.fr,40
posteo.de,38
mork.no,37
hotmail.com,37
denx.de,37
zx2c4.com,36
ericsson.com,36
stgolabs.net,35
qti.qualcomm.com,35
m3y3r.de,35
impinj.com,35
analog.com,35
amlogic.com,35
alibaba-inc.com,35
lwfinger.net,34
hadess.net,34
konsulko.com,33
gentoo.org,33
microsoft.com,32
baylibre.com,32
apm.com,32
yandex-team.ru,31
h3c.com,31
basnieuwenhuizen.nl,31
armadeus.com,31
verizon.com,30
dronecode.org.uk,30
aosc.io,29
altlinux.org,29
telegraphics.com.au,28
ovn.org,28
mess.org,28
lse.epita.fr,28
ingics.com,28
horus.com,28
akamai.com,28
I-love.SAKURA.ne.jp,28
spreadtrum.com,27
endlessm.com,27
amazon.de,27
openvz.org,26
axis.com,26
rit.edu,25
ispras.ru,25
sondrel.com,24
phrozen.org,24
sysam.it,23
siemens.com,23
netfilter.org,22
kresin.me,22
jp.fujitsu.com,22
jms.id.au,22
cumulusnetworks.com,22
cog.systems,22
arista.com,22
vip.163.com,21
umail.furryterror.org,21
timesys.com,21
saunalahti.fi,21
raspberrypi.org,21
opengridcomputing.com,21
molgen.mpg.de,21
meituan.com,21
linux.com,21
diasemi.com,21
cisco.com,21
agner.ch,21
sony.com,20
silverbackltd.com,20
rowland.harvard.edu,19
goodmis.org,19
collabora.co.uk,19
