Contributor,July 2016
intel.com,8136
redhat.com,5735
gmail.com,4957
amd.com,3314
s-opensource.com,3260
chromium.org,2278
kernel.org,2074
linaro.org,1935
linux-foundation.org,1870
google.com,1658
chris-wilson.co.uk,1239
ibm.com,1209
oracle.com,1176
arndb.de,1131
mellanox.com,1111
linutronix.de,1102
arm.com,1026
nvidia.com,820
davemloft.net,801
free-electrons.com,774
suse.com,755
codeaurora.org,753
cisco.com,700
suse.de,692
trendmicro.com.cn,675
primarydata.com,651
broadcom.com,650
nxp.com,640
collabora.com,634
samsung.com,605
huawei.com,602
imgtec.com,601
gondor.apana.org.au,556
kernel.crashing.org,544
ti.com,497
lst.de,491
rock-chips.com,463
lixom.net,460
techsingularity.net,450
canonical.com,442
windriver.com,408
users.sourceforge.net,394
fb.com,341
anholt.net,323
baylibre.com,320
pengutronix.de,310
mediatek.com,308
au1.ibm.com,280
zeniv.linux.org.uk,277
qlogic.com,260
hovoldconsulting.com,250
csie.org,248
whitecape.org,245
roeck-us.net,240
riseup.net,238
ffwll.ch,225
math.uni-bielefeld.de,210
vmware.com,209
ellerman.id.au,201
marvell.com,194
savoirfairelinux.com,190
virtuozzo.com,181
osg.samsung.com,163
iki.fi,162
sang-engineering.com,160
plumgrid.com,160
lwfinger.net,160
suse.cz,156
xs4all.nl,150
mail.ru,150
synopsys.com,148
hpe.com,145
realtek.com,141
renesas.com,140
xilinx.com,136
w1.fi,135
mit.edu,133
pmeerw.net,130
apm.com,130
linuxfoundation.org,122
iogearbox.net,122
spreadtrum.com,120
bjorling.me,120
nod.at,112
cn.fujitsu.com,111
kleine-koenig.org,110
caviumnetworks.com,110
lge.com,108
cavium.com,102
wanadoo.fr,101
freedesktop.org,101
strlen.de,100
hisilicon.com,100
darmarIT.de,100
cumulusnetworks.com,100
qti.qualcomm.com,96
holtmann.org,95
xmission.com,93
linux-m68k.org,90
ericsson.com,90
chelsio.com,90
igalia.com,88
collabora.co.uk,85
parrot.com,81
phrozen.org,80
open-mesh.com,80
hitachi.com,80
codethink.co.uk,80
c-s.fr,80
infradead.org,73
web.de,72
st.com,70
socionext.com,70
projectara.com,70
narfation.org,70
hauke-m.de,70
grimberg.me,70
folklore1984.net,70
alum.mit.edu,70
samba.org,62
atmel.com,62
lekensteyn.nl,61
googlemail.com,61
cogentembedded.com,61
wsystem.com,60
phytec.de,60
netfilter.org,60
metafoo.de,60
libc.org,60
glider.be,60
tieto.com,54
perches.com,53
hotmail.com,52
agner.ch,52
netronome.com,51
nbd.name,51
wunner.de,50
toradex.com,50
synaptics.com,50
ingics.com,50
gmx.de,50
fromorbit.com,50
atomide.com,50
ao2.it,50
siemens.com,47
sonymobile.com,44
linux-mips.org,44
nuvoton.com,43
metanate.com,42
the-dreams.de,41
lip6.fr,41
cmpxchg.org,41
queasysnail.net,40
posteo.de,40
osadl.org,40
nexvision.fr,40
netup.ru,40
mess.org,40
linux-iscsi.org,40
ksquared.org.uk,40
ispras.ru,40
i2se.com,40
hgst.com,40
candelatech.com,40
ah.jp.nec.com,40
aleksander.es,37
konsulko.com,34
sandisk.com,31
freescale.com,31
decadent.org.uk,31
canb.auug.org.au,31
verge.net.au,30
twiddle.net,30
stratus.com,30
sigmadesigns.com,30
rit.edu,30
prevas.dk,30
mojatatu.com,30
microsoft.com,30
microsemi.com,30
makrotopia.org,30
m.disordat.com,30
lwn.net,30
lemote.com,30
lechnology.com,30
kyup.com,30
ideasonboard.com,30
gelma.net,30
engestrom.ch,30
earth.li,30
diasemi.com,30
axtens.net,30
aosc.xyz,30
altera.com,30
aldebaran.com,30
gmx.net,26
dell.com,25
v3.sk,24
obsidianresearch.com,23
linuxhacker.ru,22
nokia.com,21
mentor.com,21
goodmis.org,21
