Contributor,June 2016
intel.com,10205
gmail.com,4990
redhat.com,3828
linaro.org,3736
ibm.com,3011
google.com,2241
ti.com,1785
chromium.org,1603
amd.com,1556
kernel.org,1401
linux-foundation.org,1250
mellanox.com,1161
davemloft.net,1075
arm.com,982
arndb.de,961
samsung.com,947
huawei.com,883
ffwll.ch,869
free-electrons.com,844
codethink.co.uk,821
nvidia.com,795
infradead.org,747
chris-wilson.co.uk,705
osg.samsung.com,691
glider.be,670
nxp.com,650
oracle.com,622
broadcom.com,614
imgtec.com,569
canonical.com,535
visionengravers.com,511
collabora.co.uk,508
suse.com,507
ideasonboard.com,500
windriver.com,472
suse.de,419
codeaurora.org,418
rock-chips.com,417
synopsys.com,392
lixom.net,390
socionext.com,371
suse.cz,366
pengutronix.de,364
sang-engineering.com,340
mev.co.uk,340
collabora.com,340
baylibre.com,330
linbit.com,290
vmware.com,277
whitecape.org,274
fb.com,261
s-opensource.com,260
qlogic.com,250
primarydata.com,230
caviumnetworks.com,230
atomide.com,230
lst.de,222
mail.ru,220
cumulusnetworks.com,220
cogentembedded.com,220
mediatek.com,210
cisco.com,210
qti.qualcomm.com,207
alum.mit.edu,207
realtek.com,200
renesas.com,192
savoirfairelinux.com,190
opensource.altera.com,190
mirantis.com,190
lunn.ch,190
linuxhacker.ru,190
codeweavers.com,190
agner.ch,190
wunner.de,181
trendmicro.com.cn,180
w1.fi,176
linuxfoundation.org,174
xmission.com,173
unisys.com,170
strlen.de,169
web.de,165
iogearbox.net,161
gmx.de,161
sandisk.com,151
phrozen.org,150
marvell.com,148
gondor.apana.org.au,143
netup.ru,140
gelma.net,140
googlemail.com,135
the-dreams.de,130
linux-m68k.org,130
ingics.com,130
chelsio.com,130
hpe.com,125
denx.de,122
opensource.wolfsonmicro.com,120
oktetlabs.ru,120
hisilicon.com,120
zeniv.linux.org.uk,119
ru.ibm.com,110
goodmis.org,102
freedesktop.org,101
netfilter.org,100
xilinx.com,99
roeck-us.net,91
zytor.com,90
spreadtrum.com,90
narfation.org,90
hovoldconsulting.com,90
acm.org,90
obsidianresearch.com,89
tieto.com,86
opensource.se,80
netronome.com,80
chronox.de,80
c-s.fr,80
qca.qualcomm.com,78
semihalf.com,75
ericsson.com,72
mina86.com,71
hartkopp.net,71
csie.org,71
atmel.com,71
vanguardiasur.com.ar,70
lip6.fr,70
li-pro.net,70
lapa.com.au,70
iki.fi,70
cmss.chinamobile.com,70
igalia.com,66
anholt.net,66
samba.org,65
riseup.net,62
solarflare.com,61
projectara.com,60
paul-moore.com,60
goldelico.com,60
ellerman.id.au,60
diasemi.com,60
bp.renesas.com,60
arm.linux.org.uk,60
163.com,60
wizery.com,57
users.sourceforge.net,53
i2se.com,52
stressinduktion.org,51
nod.at,51
linutronix.de,51
6wind.com,51
rwth-aachen.de,50
posteo.de,50
neomailbox.ch,50
nelint.com,50
mojatatu.com,50
mattleach.net,50
cavium.com,50
apm.com,50
rowland.harvard.edu,45
mit.edu,45
aj.id.au,45
endlessm.com,44
kernel.crashing.org,43
st.com,42
perches.com,41
metafoo.de,41
freescale.com,41
bobcopeland.com,41
verge.net.au,40
unstable.cc,40
sysmikro.com.pl,40
soulik.info,40
seagate.com,40
math.uni-bielefeld.de,40
ens.fr,40
emutex.com,40
c0d3.blue,40
axtens.net,40
openvz.org,36
ispras.ru,34
hotmail.com,34
nuvoton.com,32
secunet.com,31
canb.auug.org.au,31
yandex-team.ru,30
wypas.org,30
tobin.cc,30
tiscali.nl,30
techsingularity.net,30
simonwunderlich.de,30
sgi.com,30
schneidersoft.net,30
queasysnail.net,30
opteya.com,30
nokia.com,30
neuling.org,30
m4x.org,30
konsulko.com,30
kempniu.pl,30
iagoabal.eu,30
herbertland.com,30
fromorbit.com,30
emulex.com,30
au1.ibm.com,30
cn.fujitsu.com,28
mvista.com,26
gmx.net,24
gentoo.org,24
dell.com,24
citrix.com,23
virtuozzo.com,22
quantatw.com,22
das-labor.org,22
decadent.org.uk,21
HansenPartnership.com,21
zilogic.com,20
stgolabs.net,20
sntech.de,20
rutgers.edu,20
ragnatech.se,20
radicati.net,20
prevas.dk,20
pqgruber.com,20
perex.cz,20
ovn.org,20
outlook.com,20
open-mesh.com,20
monkey.org,20
lwn.net,20
lge.com,20
leaflabs.com,20
kudzu.us,20
jp.alps.com,20
foxmail.com,20
fau.de,20
epita.fr,20
electromag.com.au,20
cray.com,20
codezen.org,20
codecoup.pl,20
cmpxchg.org,20
cirrus.com,20
candelatech.com,20
