Contributor,August 2018
intel.com,4766
gmail.com,3980
google.com,2772
chromium.org,2636
redhat.com,2323
linux-foundation.org,1817
amd.com,1734
kernel.org,1323
huawei.com,1214
ibm.com,1189
suse.com,1044
linaro.org,1012
mellanox.com,952
arm.com,902
embeddedor.com,849
oracle.com,807
suse.de,691
codeaurora.org,648
davemloft.net,571
canonical.com,434
arndb.de,428
fb.com,405
infradead.org,403
nxp.com,360
cavium.com,310
collabora.com,307
broadcom.com,287
linutronix.de,278
microsoft.com,266
ellerman.id.au,266
lst.de,263
socionext.com,246
cn.fujitsu.com,243
suse.cz,224
igalia.com,206
virtuozzo.com,198
iogearbox.net,188
renesas.com,184
wdc.com,178
mediatek.com,173
chris-wilson.co.uk,173
zeniv.linux.org.uk,172
microchip.com,172
mips.com,170
gmx.com,163
mojatatu.com,154
itsqueeze.com,152
kernel.dk,147
ti.com,140
synopsys.com,139
goodmis.org,139
sang-engineering.com,138
nordicsemi.no,134
bootlin.com,132
daitauha.fr,131
brauner.io,129
netronome.com,126
anholt.net,120
nod.at,112
bp.renesas.com,109
c-s.fr,105
samsung.com,104
debian.org,104
pnwbakers.com,102
gmx.de,99
sifive.com,96
ispras.ru,96
strlen.de,95
chelsio.com,95
glider.be,94
perches.com,91
lunn.ch,91
hughsie.com,88
pengutronix.de,86
amd.corp-partner.google.com,86
aleksander.es,86
lab.ntt.co.jp,84
alphalink.fr,84
nvidia.com,80
ideasonboard.com,79
vmware.com,78
stgolabs.net,77
noos.fr,70
netapp.com,70
baylibre.com,70
axentia.se,68
linuxfoundation.org,65
dev.carbon-project.org,65
st.com,61
dell.com,61
quanta.corp-partner.google.com,60
whitecape.org,59
themaw.net,56
netfilter.org,56
aheymans.xyz,56
zte.com.cn,55
xilinx.com,55
opensource.cirrus.com,53
basnieuwenhuizen.nl,52
mit.edu,51
analog.com,50
roeck-us.net,49
kernel.crashing.org,49
colorfullife.com,49
ite.com.tw,48
compal.corp-partner.google.com,48
atomide.com,45
agner.ch,45
cisco.com,44
ozlabs.org,42
linux-m68k.org,42
deltatee.com,42
tencent.com,41
rock-chips.com,41
denx.de,41
wavecomp.com,40
sholland.org,39
openmesh.com,39
konsulko.com,39
foundries.io,38
googlemail.com,37
jp.fujitsu.com,36
baidu.com,36
xmission.com,35
synology.com,35
iluvatar.ai,34
ddn.com,34
cmss.chinamobile.com,34
bell.net,33
lixom.net,31
realtek.com,30
crapouillou.net,30
users.sourceforge.jp,28
toxicpanda.com,28
riseup.net,28
linux.alibaba.com,28
i2se.com,28
felixheld.de,28
diehl.com,28
das-labor.org,28
bues.ch,28
benyossef.com,28
android.com,28
allied-telesis.co.jp,28
networkplumber.org,27
axis.com,27
t-chip.com.cn,26
gentoo.org,26
arista.com,26
gmx.at,24
fi.rohmeurope.com,24
cogentembedded.com,23
cea.fr,23
maximintegrated.com,22
deif.com,22
amarulasolutions.com,22
alum.mit.edu,22
163.com,22
the-dreams.de,21
stevens-zone.net,21
queasysnail.net,21
lip6.fr,21
holtmann.org,21
exceet.de,21
dabbelt.com,21
braap.org,21
quantatw.com,20
joelfernandes.org,20
greensocs.com,20
mentor.com,19
datenfreihafen.org,19
onstation.org,18
gondor.apana.org.au,18
9elements.com,18
wunner.de,17
linux.com,17
ZenIV.linux.org.uk,17
I-love.SAKURA.ne.jp,17
tkos.co.il,16
osadl.org,16
lge.com,16
hammerspace.com,16
ffwll.ch,16
windriver.com,15
siol.net,15
siemens.com,15
oticon.com,15
molgen.mpg.de,15
attalasystems.com,15
antmicro.com,15
ah.jp.nec.com,15
zonque.org,14
yandex-team.ru,14
toke.dk,14
telegraphics.com.au,14
sembritzki.me,14
s-opensource.com,14
rasmusvillemoes.dk,14
phrozen.org,14
pdx.edu,14
jcline.org,14
ilande.co.uk,14
foxmail.com,14
corrick.kiwi,14
comfychair.org,14
bernat.im,14
andestech.com,14
altlinux.org,14
solarflare.com,13
diasemi.com,13
ite.corp-partner.google.com,12
gdsys.cc,12
vidarholen.net,11
t-online.hu,11
sigxcpu.org,11
sakamocchi.jp,11
endlessm.com,11
asrmicro.com,11
aosc.io,11
xes-inc.com,10
strongswan.org,10
jmondi.org,10
gouders.net,10
emc.com.tw,10
crashcourse.ca,10
cfl.rr.com,10
aten-itlab.cn,10
aquantia.com,10
amazon.co.uk,10
opensource.se,9
marvell.com,9
jinso.co.jp,9
birdec.tech,9
amlogic.com,9
umn.edu,8
mvista.com,8
hpe.com,8
fe80.eu,8
3mdeb.com,8
126.com,8
zx2c4.com,7
ziepe.ca,7
ysoft.com,7
xxxxxxxxxxxxx,7
xs4all.nl,7
weissschuh.net,7
vt.edu,7
vivier.eu,7
vaolix.com,7
users.sourceforge.net,7
ucw.cz,7
tsoy.me,7
toradex.com,7
tessares.net,7
tardis.ed.ac.uk,7
szeredi.hu,7
systec-electronic.com,7
sysam.it,7
synaptics.com,7
surriel.com,7
squashfs.org.uk,7
secunet.com,7
runbox.com,7
rowland.harvard.edu,7
rjwysocki.net,7
redpinesignals.com,7
quantenna.com,7
progandy.de,7
primarydata.com,7
poorly.run,7
phoronix.com,7
paulo.ac,7
oregontracks.org,7
nokia.com,7
mforney.org,7
mev.co.uk,7
metanetworks.com,7
mesosphere.com,7
mendozajonas.com,7
mailbox.org,7
mail.parknet.co.jp,7
maciej.szmigiero.name,7
lwn.net,7
lisas.de,7
lightnvm.io,7
landley.net,7
kudzu.us,7
korsgaard.com,7
kaod.org,7
kaiser.cx,7
jlsemi.com,7
janustech.com,7
inbox.ru,7
imago-technologies.com,7
gnu.org,7
globallogic.com,7
elisp.net,7
dronecode.org.uk,7
distanz.ch,7
decadent.org.uk,7
dashjr.org,7
cypress.com,7
credativ.de,7
cpan.org,7
compulab.co.il,7
citrix.com,7
cirrus.com,7
chronox.de,7
chenjie6,7
cesnet.cz,7
caviumnetworks.com,7
canb.auug.org.au,7
bitwise.fi,7
anw.at,7
angband.pl,7
amazon.de,7
amazon.com,7
allworx.com,7
akamai.com,7
acceis.fr,7
tuxera.com,6
spreadtrum.com,6
scarletltd.com,6
phytec.de,6
nuvoton.com,6
narfation.org,6
me.com,6
ingics.com,6
free.fr,6
cnexlabs.com,6
c0d3.blue,6
atmel.com,6
1wt.eu,6
v3.sk,5
sony.com,5
qca.qualcomm.com,5
marek.ca,5
mail.ru,5
jms.id.au,5
engestrom.ch,5
endrift.com,5
eggers-club.de,5
dev.mellanox.co.il,5
aurel32.net,5
trendmicro.com.cn,4
schaufler-ca.com,4
protonmail.com,4
proglove.de,4
posteo.de,4
plantronics.com,4
no-log.org,4
nextdimension.cc,4
lechnology.com,4
lano.id.au,4
inf.u-szeged.hu,4
higon.com,4
gmx.net,4
globaledgesoftware.corp-partner.google.com,4
cybernetics.com,4
csie.org,4
chrisn.me.uk,4
brixandersen.dk,4
blackhole.kfki.hu,4
wifirst.fr,3
wanadoo.fr,3
vip.163.com,3
tt-cool.com,3
tribudubois.net,3
tolkien.email,3
tobin.cc,3
softathome.com,3
savoirfairelinux.com,3
sandeen.net,3
qti-qualcomm.corp-partner.google.com,3
python.org,3
purestorage.com,3
profitbricks.com,3
polito.it,3
pegatron.corp-partner.google.com,3
paul-moore.com,3
outlook.it,3
nsn.com,3
nokia-sbell.com,3
nbd.name,3
mykernel.net,3
logitech.com,3
lemote.com,3
kresin.me,3
innovation.ch,3
in.tum.de,3
iki.fi,3
ieee.org,3
hisilicon.com,3
grimberg.me,3
google.com”,3
freebsd.org,3
fitzsim.org,3
fbihome.de,3
displaylink.com,3
cmpxchg.org,3
bobcopeland.com,3
asyring.de,3
amsat.org,3
amperecomputing.com,3
allterco.com,3
w1.fi,2
sysgo.com,2
solid-run.com,2
rt-labs.com,2
reactos.org,2
qti.qualcomm.com,2
ozlabs.ru,2
mozilla.com,2
meltin.net,2
mails.ucas.ac.cn,2
imgtec.com,2
freedesktop.org,2
de.pepperl-fuchs.com,2
curtisswright.com,2
cs.kuleuven.be,2
coreboot.org,2
codecoup.pl,2
ch1p.com,2
asus.com,2
vewd.com,1
users.noreply.github.com,1
teradek.com,1
synaptics.corp-partner.google.com,1
student.tugraz.at,1
semihalf.com,1
sebastianbauer.info,1
sartura.hr,1
ragnatech.se,1
qq.com,1
puri.sm,1
palism.com,1
olimex.com,1
michaelmera.com,1
loongson.cn,1
lekensteyn.nl,1
l4re.org,1
krasimir,1
koconnor.net,1
ispace-inc.com,1
infinera.com,1
impinj.com,1
grinn-global.com,1
globaledgesoft.com,1
fireburn.co.uk,1
fastmail.fm,1
dominion.thruhere.net,1
diac24.net,1
de.bosch.com,1
catie.fr,1
boundarydevices.com,1
asl-control.co.uk,1
