Contributor,November 2018
intel.com,5268
gmail.com,3388
amd.com,3353
chromium.org,2348
google.com,1947
redhat.com,1629
linaro.org,962
huawei.com,698
kernel.org,645
mellanox.com,599
ideasonboard.com,542
collabora.com,523
ibm.com,522
bootlin.com,500
chris-wilson.co.uk,490
codeaurora.org,465
linux-foundation.org,433
suse.de,415
arm.com,405
davemloft.net,400
canonical.com,337
renesas.com,329
mediatek.com,326
suse.com,300
kernel.dk,286
oracle.com,283
nxp.com,267
lst.de,265
netronome.com,263
cisco.com,256
baylibre.com,228
ti.com,211
fb.com,201
pengutronix.de,196
cavium.com,191
virtuozzo.com,189
embeddedor.com,189
anholt.net,171
samsung.com,167
rere.qmqm.pl,156
vmware.com,154
microchip.com,152
broadcom.com,152
nvidia.com,151
suse.cz,130
infradead.org,129
xilinx.com,124
nordicsemi.no,123
linutronix.de,122
noos.fr,120
iki.fi,120
mips.com,118
bp.renesas.com,114
debian.org,109
microsoft.com,108
aquantia.com,108
xs4all.nl,105
ffwll.ch,104
arndb.de,101
googlemail.com,100
socionext.com,95
glider.be,94
web.de,89
linuxfoundation.org,88
igalia.com,88
st.com,87
siol.net,85
goodmis.org,79
quanta.corp-partner.google.com,77
marvell.com,77
sang-engineering.com,74
siemens.com,73
zte.com.cn,72
tronnes.org,72
synopsys.com,71
lip6.fr,71
v3.sk,70
linux-mips.org,70
c-s.fr,69
strlen.de,67
whitecape.org,66
gmx.de,65
xmission.com,64
amarulasolutions.com,63
wizofe.uk,60
itsqueeze.com,59
joelfernandes.org,57
i2se.com,57
aosc.io,57
lixom.net,55
sony.com,54
sntech.de,54
jmondi.org,51
toxicpanda.com,50
narfation.org,48
andestech.com,46
marek.ca,45
esmil.dk,45
lunn.ch,43
hughsie.com,43
cogentembedded.com,43
atomide.com,43
lemote.com,42
denx.de,42
mit.edu,41
konsulko.com,41
163.com,41
wunner.de,40
strongswan.org,40
alum.mit.edu,40
iogearbox.net,38
rock-chips.com,37
pnwbakers.com,37
globallogic.com,37
altlinux.org,37
ellerman.id.au,36
csie.org,36
windriver.com,35
wdc.com,35
axentia.se,35
hisilicon.com,34
compal.corp-partner.google.com,33
asus.corp-partner.google.com,33
eltan.com,32
corrick.kiwi,32
milecki.pl,31
inai.de,30
basnieuwenhuizen.nl,30
hammerspace.com,29
wanadoo.fr,28
amd.corp-partner.google.com,28
zeniv.linux.org.uk,27
vyatta.att-mail.com,27
umn.edu,27
mess.org,27
bq.com,27
aisec.fraunhofer.de,27
w1.fi,26
ossystems.com.br,25
gmx.com,25
cn.fujitsu.com,25
nuvoton.com,24
lekensteyn.nl,24
gluegarage.com,24
chelsio.com,24
analog.com,24
aleksander.es,24
marcellobauer.com,22
maciej.szmigiero.name,22
ispras.ru,22
grimberg.me,22
aurel32.net,22
raspberrypi.org,21
dev.tdt.de,21
cumulusnetworks.com,21
zytor.com,20
wavecomp.com,20
kaod.org,20
das-labor.org,20
cadence.com,20
amazon.com,20
tkos.co.il,19
oticon.com,19
hotmail.com,19
h3c.com,19
sakamocchi.jp,18
opensource.se,18
opensource.cirrus.com,18
mev.co.uk,18
mendozajonas.com,18
gdsys.cc,18
foundries.io,18
dell.com,18
codecoup.pl,18
baidu.com,18
secunet.com,17
jms.id.au,17
gentoo.org,17
blackhole.kfki.hu,17
roeck-us.net,16
queasysnail.net,16
paulk.fr,16
bobcopeland.com,16
6wind.com,16
usp.br,15
martingkelly.com,15
linux-m68k.org,15
katsuster.net,15
citrix.com,15
benyossef.com,15
arista.com,15
agner.ch,15
users.sourceforge.net,14
fedoraproject.org,14
codethink.co.uk,14
cea.fr,14
aheymans.xyz,14
126.com,14
synology.com,13
schinagl.nl,13
riseup.net,13
osadl.org,13
nod.at,13
netfilter.org,13
mok.nu,13
ddn.com,13
stgolabs.net,12
quantenna.com,12
quantatw.com,12
poczta.fm,12
paul-moore.com,12
molgen.mpg.de,12
mbobrowski.org,12
kontron.de,12
freedesktop.org,12
essensium.com,12
cloudflare.com,12
c-sky.com,12
android.com,12
I-love.SAKURA.ne.jp,12
1wt.eu,12
foss.arm.com,11
cnexlabs.com,11
axtens.net,11
axis.com,11
acm.org,11
telegraphics.com.au,10
outlook.com,10
nokia.com,10
micronovasrl.com,10
kdab.com,10
jsg.id.au,10
ingics.com,10
imagination.corp-partner.google.com,10
gmx.net,10
decadent.org.uk,10
bell.net,10
vaga.pv.it,9
tycho.ws,9
toradex.com,9
the-dreams.de,9
tehnerd.com,9
solarflare.com,9
rasmusvillemoes.dk,9
plaes.org,9
onstation.org,9
mxic.com.tw,9
metafoo.de,9
lwfinger.net,9
lemmela.net,9
emutex.com,9
canb.auug.org.au,9
brainfault.org,9
birdec.tech,9
aspeedtech.com,9
vidarholen.net,8
tencent.com,8
mleia.com,8
linux-iscsi.org,8
diasemi.com,8
amazon.de,8
9elements.com,8
wind.enjellic.com,7
westbrook.io,7
sydney.edu.au,7
kemnade.info,7
isi.edu,7
fpond.eu,7
dh-electronics.de,7
crapouillou.net,7
brixandersen.dk,7
astanoev.com,7
applied-asynchrony.com,7
zonque.org,6
verge.net.au,6
umich.edu,6
realtek.com,6
proglove.de,6
perches.com,6
neuling.org,6
netapp.com,6
mojatatu.com,6
magewell.com,6
logilin.fr,6
lge.com,6
ite.com.tw,6
impinj.com,6
georgi.software,6
fi.rohmeurope.com,6
emlid.com,6
digi.com,6
bitland.com.cn,6
babblebit.net,6
attalasystems.com,6
3mdeb.com,6
svenschwermer.de,5
sigxcpu.org,5
rutgers.edu,5
rosenzweig.io,5
pm.me,5
omsquare.com,5
nocrew.org,5
neverware.com,5
metanate.com,5
hboeck.de,5
globaledgesoftware.corp-partner.google.com,5
engestrom.ch,5
cmss.chinamobile.com,5
apple.com,5
zx2c4.com,4
unisoc.com,4
tycho.nsa.gov,4
theobroma-systems.com,4
sifive.com,4
rowland.harvard.edu,4
rit.edu,4
redpinesignals.com,4
