Chromium project contributions from 01/January/2019 to 31/December/2019

Overall
Contributor,January 2019
chromium.org,77334
google.com,16170
igalia.com,3844
microsoft.com,1886
intel.com,811
gmail.com,589
opera.com,569
ca.ibm.com,203
samsung.com,181
tambre.ee,165

Chromium
Contributor,January 2019
chromium.org,70813
google.com,11422
igalia.com,3789
microsoft.com,1563
opera.com,555
intel.com,545
gmail.com,328
samsung.com,173
tambre.ee,158
yandex-team.ru,85
mwiacek.com,83
lge.com,83
navercorp.com,52
arm.com,52
vewd.com,34
fb.com,32
yannic-bonenberger.com,31
sogou-inc.com,30
googlemail.com,22
xiaomi.com,20
amazon.com,14
qt.io,13
vivaldi.com,11
logitech.com,6
inf.u-szeged.hu,6
collabora.com,6
soundtrap.com,4
oliverdunk.com,4
brave.com,4
pengutronix.de,3
mozilla.com,3
cloudmosa.com,3
amd.com,3

Skia
Contributor,January 2019
google.com,4448
chromium.org,497
gmail.com,13
mainframe.co.uk,3

V8
Contributor,January 2019
chromium.org,5547
microsoft.com,282
google.com,249
ca.ibm.com,201
gmail.com,168
arm.com,69
igalia.com,55
intel.com,27
loongson.cn,24
addaleax.net,17
ibm.com,16
fb.com,16
gus.host,14
opera.com,10
samsung.com,8
mips.com,7
qiwi.be,4
netflix.com,4
mmarchini.me,3

WebGL
Contributor,January 2019
gmail.com,64
mozilla.com,18
google.com,17
alum.mit.edu,17
intel.com,11
chromium.org,11
users.noreply.github.com,7
outlook.com,5
microsoft.com,4
greggman.com,3
apple.com,3

WebGPU
Contributor,January 2019
chromium.org,466
intel.com,227
microsoft.com,37
google.com,34
gmail.com,16
tambre.ee,5
