Contributor,August 2016
intel.com,10798
gmail.com,5593
redhat.com,3570
linaro.org,3006
amd.com,2854
chris-wilson.co.uk,2434
chromium.org,2040
renesas.com,2035
google.com,1799
linux-foundation.org,1771
sang-engineering.com,1690
arm.com,1177
oracle.com,1159
ibm.com,1065
mellanox.com,971
ti.com,966
kernel.org,864
davemloft.net,860
s-opensource.com,820
huawei.com,765
nxp.com,748
samsung.com,659
rock-chips.com,626
broadcom.com,561
windriver.com,553
ffwll.ch,545
nvidia.com,451
imgtec.com,448
microchip.com,440
canonical.com,435
osg.samsung.com,422
fb.com,403
users.sourceforge.net,391
cogentembedded.com,390
codeaurora.org,387
arndb.de,372
suse.com,367
free-electrons.com,364
vmware.com,362
pengutronix.de,360
gmx.de,342
anholt.net,341
narfation.org,340
mediatek.com,333
cisco.com,321
suse.de,316
whitecape.org,310
riseup.net,306
zeniv.linux.org.uk,300
cavium.com,290
baylibre.com,286
unisys.com,280
qlogic.com,271
socionext.com,265
strlen.de,250
hovoldconsulting.com,250
infradead.org,243
omnibond.com,240
lwn.net,220
suse.cz,213
primarydata.com,211
microsoft.com,210
alum.mit.edu,201
semihalf.com,190
arm.linux.org.uk,181
spreadtrum.com,180
csie.org,180
lst.de,173
qca.qualcomm.com,158
virtuozzo.com,152
collabora.com,151
opensource.altera.com,141
st.com,140
libc.org,140
deltatee.com,140
holtmann.org,135
lunn.ch,130
iki.fi,130
idt.com,130
grimberg.me,130
collabora.co.uk,130
chelsio.com,130
apm.com,130
synopsys.com,128
xilinx.com,126
xmission.com,120
wanadoo.fr,120
ragnatech.se,120
perches.com,120
netfilter.org,120
lab.ntt.co.jp,120
cumulusnetworks.com,120
cn.fujitsu.com,120
web.de,116
queasysnail.net,114
visionengravers.com,110
shmanahar.org,110
savoirfairelinux.com,110
linux-m68k.org,110
ericsson.com,110
darmarIT.de,110
linuxfoundation.org,103
glider.be,102
free.fr,101
xs4all.nl,100
solarflare.com,100
iogearbox.net,100
felipetonello.com,100
axentia.se,100
ni.com,97
qti.qualcomm.com,90
ikuai8.com,90
nuvoton.com,82
marvell.com,82
sandisk.com,80
sakamocchi.jp,80
linuxhacker.ru,80
herbertland.com,80
bmw-carit.de,80
android.com,75
diasemi.com,74
skynet.be,71
rowland.harvard.edu,71
hotmail.com,71
trendmicro.com.cn,70
milecki.pl,70
lip6.fr,70
ellerman.id.au,70
agner.ch,70
nod.at,62
hughsie.com,62
roeck-us.net,61
opensource.wolfsonmicro.com,61
denx.de,61
universe-factory.net,60
projectara.com,60
opengridcomputing.com,60
mev.co.uk,60
m4x.org,60
lixom.net,60
linutronix.de,60
kernel.crashing.org,60
c0d3.blue,60
nbd.name,54
akamai.com,51
tancheff.com,50
sgi.com,50
nwl.cc,50
lwfinger.net,50
au1.ibm.com,50
aosc.xyz,50
tieto.com,48
noos.fr,48
igalia.com,48
wunner.de,45
engestrom.ch,45
sntech.de,44
atmel.com,44
gmx.net,43
atomide.com,42
mail.ru,41
ispras.ru,41
goldelico.com,41
vt.edu,40
verge.net.au,40
unstable.cc,40
osadl.org,40
kde.org,40
ingics.com,40
i2se.com,40
goodmis.org,40
gateworks.com,40
electromag.com.au,40
digikod.net,40
cray.com,40
c-s.fr,40
KARO-electronics.de,40
sonymobile.com,38
hpe.com,38
ozlabs.org,32
konsulko.com,32
gondor.apana.org.au,32
samba.org,31
nokia.com,31
ideasonboard.com,31
zonque.org,30
wizery.com,30
tkos.co.il,30
stgolabs.net,30
soulik.info,30
sargun.me,30
ovn.org,30
microsemi.com,30
metafoo.de,30
lentin.co.uk,30
lakedaemon.net,30
ite.com.tw,30
haltian.com,30
googlemail.com,30
dev.carbon-project.org,30
brocade.com,30
animalcreek.com,30
andree.sk,30
alien8.de,30
techsingularity.net,23
w1.fi,22
hitachi.com,22
aleksander.es,22
openwrt.org,21
lge.com,21
hisilicon.com,21
emc.com.tw,21
chronox.de,21
altera.com,21
ziu.info,20
yandex-team.ru,20
xyratex.com,20
welchs.me.uk,20
vip.cybercity.dk,20
ucw.cz,20
tuxera.com,20
tul.cz,20
the-dreams.de,20
telegraphics.com.au,20
simonwunderlich.de,20
purestorage.com,20
pmeerw.net,20
phytec.de,20
netronome.com,20
neratec.com,20
mojatatu.com,20
mleia.com,20
men.de,20
llnl.gov,20
linux.ewheeler.net,20
laposte.net,20
keithp.com,20
htc.com,20
gelma.net,20
emc.com,20
crypt.ly,20
codecoup.pl,20
blala.de,20
awful.name,20
advantech.com.tw,20
HansenPartnership.com,20
FreeBSD.org,20
paulk.fr,16
outlook.com,15
nigauri.org,15
zankel.net,14
realtek.com,14
mork.no,14
dettori.io,14
toradex.com,13
koconnor.net,13
raptorengineering.com,12
posteo.de,12
paul-moore.com,12
butterbrot.org,12
bobcopeland.com,12
asus.com,12
adv.bruhnspace.com,12
ssi.bg,11
secunet.com,11
citrix.com,11
canb.auug.org.au,11
axis.com,11
alliedtelesis.co.nz,11
zoho.com,10
zadarastorage.com,10
xes-inc.com,10
weeraman.com,10
weave.works,10
vittgam.net,10
vdwaa.nl,10
vanguardiasur.com.ar,10
vadai.me,10
v3.sk,10
users.sourceforge.jp,10
tronnes.org,10
trabucayre.com,10
timesys.com,10
thegavinli.com,10
synaptics.com,10
sunbase.org,10
stevens-zone.net,10
sssup.it,10
sk.com,10
sipsolutions.net,10
seagate.com,10
sciencehorizons.net,10
rutgers.edu,10
rustcorp.com.au,10
rivetnetworks.com,10
riverbed.com,10
rehivetech.com,10
redflag-linux.com,10
ramses-pyramidenbau.de,10
profitbricks.com,10
parrot.com,10
ozlabs.ru,10
orange.fr,10
oktetlabs.ru,10
obsidianresearch.com,10
nextfour.com,10
netflix.com,10
netapp.com,10
mm-sol.com,10
mkt-sys.de,10
mjao.org,10
messages.microsoft.com,10
linux-mips.org,10
libmpq.org,10
lekensteyn.nl,10
leenox.de,10
lechnology.com,10
kyup.com,10
kylinos.cn,10
kleine-koenig.org,10
kiwitree.net,10
kippendief.biz,10
kdab.com,10
kaiser.cx,10
jcornwall.me,10
intra2net.com,10
hopebaytech.com,10
hgst.com,10
gunibert.de,10
grinn-global.com,10
gpartner-nvidia.com,10
gnome.org,10
gmeil.com,10
fujixerox.co.jp,10
fromorbit.com,10
fireweed.org,10
fau.de,10
exdev.nl,10
etas.com,10
emulex.com,10
emindsoft.com.cn,10
elettra.eu,10
delien.nl,10
deic.uab.cat,10
darmarit.de,10
d-silva.org,10
corp.bluecherry.net,10
codethink.co.uk,10
codemonkey.org.uk,10
chargestorm.se,10
cestona.ro,10
caviumnetworks.com,10
bwidawsk.net,10
bull.net,10
bonstra.fr.eu.org,10
bct-electronic.com,10
astier.eu,10
arcor.de,10
annapurnalabs.com,10
alphalink.fr,10
siemens.com,9
hurleysoftware.com,9
molgen.mpg.de,8
twiddle.net,7
gentoo.org,7
kaod.org,6
dell.com,6
analogixsemi.com,6
alumni.tuwien.ac.at,6
aheymans.xyz,6
mni.thm.de,5
mit.edu,5
jlekstrand.net,5
coreboot.org,5
constexpr.org,5
bitplanet.net,5
avionic-design.de,5
linux-iscsi.org,4
braap.org,4
aerohive.com,4
weilnetz.de,3
vidarholen.net,3
ravellosystems.com,3
m.disordat.com,3
digitalstrom.com,3
decadent.org.uk,3
wacom.co.jp,2
trippers.org,2
sandeen.net,2
raedomain.com,2
quantatw.com,2
nutanix.com,2
mozilla.com,2
metanate.com,2
lemote.com,2
hartkopp.net,2
gibson.dropbear.id.au,2
gdsys.cc,2
freeradius.org,2
freebsd.org,2
felixheld.de,2
fedoraproject.org,2
fe80.eu,2
360.cn,2
xiaomi.com,1
wwwdotorg.org,1
wistron.com,1
webpt.com,1
virtuozzo.mipt.ru,1
upv.es,1
trailtech.net,1
topic.nl,1
stratus.com,1
sony.com,1
sightlogix.com,1
rad-ic.com,1
parallels.com,1
origamienergy.com,1
opera.com,1
openvz.org,1
nordicsemi.no,1
mattleach.net,1
jmp-e.com,1
iot.bzh,1
ioeric,1
ilande.co.uk,1
ieee.org,1
horus.com,1
grandegger.com,1
freedesktop.org,1
ettus.com,1
emutex.com,1
earth.li,1
digi.com,1
dev.mellanox.co.il,1
compal.com,1
cmpxchg.org,1
buserror.net,1
biessmann.org,1
assembler.cz,1
ami.com.tw,1
am.sony.com,1
SonicWALL.com,1
163.com,1
