Contributor,July 2017
gmail.com,7624
intel.com,7342
redhat.com,4114
linux-foundation.org,2862
google.com,2804
amd.com,2538
chromium.org,2384
kernel.org,2172
ibm.com,1578
mellanox.com,1272
s-opensource.com,1191
oracle.com,1121
embeddedor.com,1072
linaro.org,989
davemloft.net,911
arndb.de,857
rock-chips.com,819
arm.com,816
canonical.com,774
chris-wilson.co.uk,772
suse.com,767
nxp.com,683
huawei.com,577
lst.de,542
st.com,523
glider.be,501
pengutronix.de,496
unisys.com,420
fb.com,420
ffwll.ch,414
ti.com,411
cavium.com,402
free-electrons.com,401
broadcom.com,392
networkplumber.org,390
zeniv.linux.org.uk,385
android.com,381
vmware.com,366
socionext.com,364
renesas.com,342
realtek.com,339
samsung.com,324
collabora.com,324
perches.com,280
suse.de,262
tronnes.org,260
imgtec.com,256
cogentembedded.com,252
codeaurora.org,251
whitecape.org,249
mediatek.com,234
lip6.fr,230
netronome.com,220
ideasonboard.com,220
primarydata.com,210
linuxfoundation.org,205
virtuozzo.com,204
suse.cz,192
anholt.net,192
linutronix.de,190
grimberg.me,190
ellerman.id.au,181
sandisk.com,180
strlen.de,171
nikanor.nu,170
cisco.com,170
chelsio.com,160
anw.at,160
gmx.de,159
siemens.com,141
savoirfairelinux.com,140
linux-m68k.org,140
nvidia.com,136
wanadoo.fr,134
alum.mit.edu,131
microsoft.com,130
lwn.net,130
gmx.net,130
baylibre.com,128
collabora.co.uk,122
iogearbox.net,121
jlekstrand.net,116
hotmail.com,113
benyossef.com,111
nod.at,110
xmission.com,103
queasysnail.net,103
infradead.org,102
wdc.com,101
xs4all.nl,100
qti.qualcomm.com,100
microchip.com,100
dowhile0.org,100
deltatee.com,100
bp.renesas.com,97
igalia.com,92
linux-iscsi.org,91
distanz.ch,91
redpinesignals.com,90
hpe.com,90
ah.jp.nec.com,90
qca.qualcomm.com,84
openvz.org,81
mev.co.uk,81
googlemail.com,81
sony.com,80
onstation.org,80
colorfullife.com,80
amarulasolutions.com,79
solarflare.com,71
lunn.ch,70
itsqueeze.com,70
fastquake.com,70
fastmail.com,70
