Contributor,July 2017
axentia.se,70
aosc.io,70
amsat.org,66
roeck-us.net,64
cumulusnetworks.com,62
templeofstupid.com,61
kernel.crashing.org,61
de.adit-jv.com,61
osg.samsung.com,60
moxa.com,60
mojatatu.com,60
m3y3r.de,60
lge.com,60
goodmis.org,60
cmss.chinamobile.com,60
basnieuwenhuizen.nl,60
marvell.com,59
denx.de,59
dell.com,59
holtmann.org,58
xilinx.com,56
nordicsemi.no,56
cn.fujitsu.com,54
samba.org,52
nwl.cc,51
ispras.ru,51
users.sourceforge.net,50
synopsys.com,50
stgolabs.net,50
sigmadesigns.com,50
phrozen.org,50
mnementh.co.uk,50
masarand.com,50
iotwrt.com,50
cmpxchg.org,50
chown.ath.cx,46
twiddle.net,44
gondor.apana.org.au,42
sntech.de,41
konsulko.com,41
iki.fi,41
verge.net.au,40
sang-engineering.com,40
rambler.ru,40
narfation.org,40
mentor.com,40
kernel.dk,40
egil-hjelmeland.no,40
cwphoto.ca,40
craiginches.com,40
canb.auug.org.au,40
atomide.com,40
apm.com,40
theobroma-systems.com,39
aleksander.es,39
secunet.com,38
zte.com.cn,36
linux-mips.org,34
feralinteractive.com,34
das-labor.org,34
hughsie.com,32
diasemi.com,32
zx2c4.com,31
csie.org,31
altlinux.org,31
versatic.net,30
ucw.cz,30
thorsis.com,30
sigma-star.at,30
prevas.dk,30
ozlabs.org,30
oss-tech.org,30
opensource.se,30
nuvoton.com,30
netapp.com,30
lynxeye.de,30
lightnvm.io,30
kpanic.de,30
i2se.com,30
electromag.com.au,30
butterbrot.org,30
bell.net,30
axtens.net,30
atmel.com,30
Unisys.com,30
c-s.fr,25
jp.fujitsu.com,24
netfilter.org,22
gibson.dropbear.id.au,22
aheymans.xyz,22
jms.id.au,21
windriver.com,20
the-dreams.de,20
techveda.org,20
rwth-aachen.de,20
rasmusvillemoes.dk,20
paul-moore.com,20
opensource.wolfsonmicro.com,20
landley.net,20
hisilicon.com,20
goldelico.com,20
fau.de,20
darmarit.de,20
chronox.de,20
boundarydevices.com,20
axis.com,20
au1.ibm.com,20
alliedtelesis.co.nz,20
Netapp.com,20
I-love.SAKURA.ne.jp,20
reactos.org,19
vidarholen.net,18
ilande.co.uk,17
topsolid.com,16
posteo.de,16
gentoo.org,15
bwidawsk.net,15
tieto.com,14
noos.fr,14
kaod.org,13
w1.fi,12
vip.163.com,12
debian.org,12
compal.com,12
arcticsand.com,12
126.com,12
paulk.fr,11
ni.com,11
invisiblethingslab.com,11
freedesktop.org,11
erwinrol.com,11
amazon.com,11
alpha.franken.de,11
youruncloud.com,10
yandex.ru,10
yandex-team.ru,10
yahoo.co.in,10
verizon.com,10
unibas.ch,10
tuxera.com,10
tuxdriver.com,10
topic.nl,10
stefantriller.de,10
spreadtrum.com,10
skynet.be,10
simonwunderlich.de,10
siliconmotion.com,10
seagate.com,10
scssoft.com,10
sakamocchi.jp,10
rybalkin.org,10
rowland.harvard.edu,10
riseup.net,10
realsil.com.cn,10
quantatw.com,10
purestorage.com,10
popple.id.au,10
phytec.de,10
pezley.net,10
mobi-wize.com,10
mit.edu,10
milecki.pl,10
mess.org,10
member.fsf.org,10
mail.ru,10
lwfinger.net,10
linux.com,10
leaflabs.com,10
kde.org,10
kalray.eu,10
jikos.cz,10
it-klinger.de,10
intra2net.com,10
ingics.com,10
improbability.net,10
htc.com,10
heine.so,10
hazent.com,10
greyhouse.net,10
gateworks.com,10
fud.no,10
fossix.org,10
flygoat.com,10
fi.rohmeurope.com,10
ericsson.com,10
epam.com,10
endlessm.com,10
emlix.com,10
didichuxing.com,10
ddn.com,10
dbalan.in,10
corp.bluecherry.net,10
c0d3.blue,10
buserror.net,10
bernat.im,10
babblebit.net,10
auristor.com,10
attalasystems.com,10
asrmicro.com,10
arkver.com,10
analog.com,10
aixah.de,10
airwebreathe.org.uk,10
agner.ch,10
agh.edu.pl,10
ab.jp.nec.com,10
a3f.at,10
ZenIV.linux.org.uk,10
Wolf-Entwicklungen.de,10
Oracle.com,10
6wind.com,10
aurel32.net,9
ac.upc.edu,8
ozlabs.ru,7
coreboot.org,7
citrix.com,7
sixbynine.org,6
nic.cz,6
engestrom.ch,6
yahoo.com.ar,5
tkos.co.il,5
sagemcom.com,5
pnwbakers.com,5
jkqxz.net,5
frickel.club,5
android-x86.org,5
trippelsdorf.de,4
keymile.com,4
ossystems.com.br,3
openwrt.org,3
metanate.com,3
codecoup.pl,3
braap.org,3
KARO-electronics.de,3
/o=Intel/ou=Exchange,3
uqconnect.edu.au,2
peloton-tech.com,2
opteya.com,2
openmesh.com,2
obsidianresearch.com,2
nbd.name,2
mail.ntua.gr,2
kernellabs.com,2
jsg.id.au,2
herbertland.com,2
gmx.com,2
globaledgesoft.com,2
foxmail.com,2
codemonkey.org.uk,2
beckhoff.com,2
adurbin.bld.corp.google.com,2
adaptrum.com,2
acer.com,2
163.com,2
wwwdotorg.org,1
weilnetz.de,1
vt.edu,1
valentinblot.org,1
trendmicro.com.cn,1
toradex.com,1
ssi.bg,1
smile.fr,1
skyportsystems.com,1
sdf.org,1
russell.cc,1
regit.org,1
redmandi.dyndns.org,1
quarkslab.com,1
proxmox.com,1
profitbricks.com,1
ploskey.com,1
outlook.de,1
online.de,1
mvista.com,1
mork.no,1
miraclelinux.com,1
meltin.net,1
maciej.szmigiero.name,1
limesaudio.com,1
intel.corp-partner.google.com,1
heimpold.de,1
fedoraproject.org,1
dolby.com,1
dev.mellanox.co.il,1
decadent.org.uk,1
ddci.com,1
daynix.com,1
codeblueprint.co.uk,1
cloudera.com,1
cera.cz,1
br-automation.com,1
bork.org,1
blackhole.kfki.hu,1
bidouilliste.com,1
arm.linux.org.uk,1
angband.pl,1
addaleax.net,1
