Contributor,October 2015
gmail.com,13490
intel.com,12349
atmel.com,3390
redhat.com,2818
kernel.org,2533
visionengravers.com,2486
linaro.org,2166
arm.com,1968
google.com,1960
ibm.com,1941
amd.com,1923
chromium.org,1817
freescale.com,1615
samsung.com,1594
osg.samsung.com,1582
ti.com,1488
mellanox.com,1452
linux-foundation.org,1298
arndb.de,1210
davemloft.net,1167
oracle.com,950
arm.linux.org.uk,936
codeaurora.org,854
suse.de,828
suse.com,828
cumulusnetworks.com,781
free-electrons.com,738
glider.be,691
holtmann.org,673
vmware.com,658
lst.de,607
pengutronix.de,552
synopsys.com,540
163.com,517
sakamocchi.jp,484
broadcom.com,457
renesas.com,452
lixom.net,440
citrix.com,432
lip6.fr,429
marvell.com,423
mev.co.uk,418
huawei.com,408
fb.com,407
mediatek.com,402
avagotech.com,385
nvidia.com,370
qti.qualcomm.com,368
metafoo.de,358
imgtec.com,358
linuxhacker.ru,352
cn.fujitsu.com,339
iki.fi,330
windriver.com,326
unisys.com,319
primarydata.com,319
cogentembedded.com,314
ericsson.com,308
infradead.org,297
ffwll.ch,292
rock-chips.com,278
igalia.com,261
ingics.com,259
collabora.co.uk,257
anholt.net,249
tul.cz,242
microchip.com,242
xmission.com,232
opensource.wolfsonmicro.com,231
chelsio.com,231
socionext.com,223
omnibond.com,220
nicira.com,220
whitecape.org,215
csie.org,209
qca.qualcomm.com,207
sang-engineering.com,198
linuxfoundation.org,198
diasemi.com,198
chris-wilson.co.uk,198
sonymobile.com,197
debethencourt.com,187
wizery.com,178
mleia.com,178
savoirfairelinux.com,177
wunner.de,165
ideasonboard.com,165
hurleysoftware.com,165
w1.fi,164
baylibre.com,163
openwrt.org,159
mentor.com,155
atomide.com,154
axis.com,149
collabora.com,146
yahoo.com.au,145
opensource.altera.com,145
ellerman.id.au,143
cavium.com,143
hovoldconsulting.com,140
alum.mit.edu,140
canonical.com,139
linutronix.de,134
gmx.de,134
mirantis.com,132
chirality.org.uk,132
QCA.qualcomm.com,132
boundarydevices.com,123
sntech.de,121
qlogic.com,121
plumgrid.com,121
netfilter.org,121
realtek.com,118
virtuozzo.com,117
raptorengineeringinc.com,114
rainbow-software.org,110
iogearbox.net,110
bitplanet.net,105
denx.de,101
stressinduktion.org,100
apm.com,100
yahoo.com,99
rasmusvillemoes.dk,99
ettus.com,99
kmk-computers.de,88
posteo.de,87
goodmis.org,78
tieto.com,77
suse.cz,77
strlen.de,77
stgolabs.net,77
nod.at,77
mit.edu,77
decadent.org.uk,77
secunet.com,68
linux-mips.org,67
wanadoo.fr,66
st.com,66
poochiereds.net,66
martin.sperl.org,66
maplehightech.com,66
ll.mit.edu,66
lab.ntt.co.jp,66
hotmail.com,66
gridpoint.com,66
endlessm.com,66
brimson.com,66
au1.ibm.com,66
freedesktop.org,61
hpe.com,60
xilinx.com,57
agner.ch,57
visteon.com,55
tuxdriver.com,55
roeck-us.net,55
openedev.com,55
jp.fujitsu.com,55
ezchip.com,55
csr.com,55
candelatech.com,55
riseup.net,53
users.sourceforge.net,50
hp.com,49
vanguardiasur.com.ar,45
yandex-team.ru,44
wytron.com.tw,44
twiddle.net,44
the-dreams.de,44
samba.org,44
rempel-privat.de,44
lwfinger.net,44
linux.com,44
linux-powerpc.org,44
i2se.com,44
hisilicon.com,44
fromorbit.com,44
fedoraproject.org,44
elopez.com.ar,44
dev.mellanox.co.il,44
chronox.de,44
ce.jp.nec.com,44
bjorling.me,44
ab.jp.nec.com,44
goldelico.com,42
konsulko.com,41
eu.citrix.com,39
gmx.at,38
semihalf.com,37
v3.sk,36
openvz.org,36
quantatw.com,34
tycho.nsa.gov,33
tkos.co.il,33
sandisk.com,33
prevas.dk,33
ordbogen.com,33
offog.org,33
nokia.com,33
mork.no,33
linux-m68k.org,33
ispras.ru,33
hitachi.com,33
ct.jp.nec.com,33
cisco.com,33
brocade.com,33
opensource.se,31
a1ca3aef-8c08-0410-bb20-df032aa958be,31
ite.com.tw,30
neratec.com,29
debian.org,28
coreboot.org,28
gentoo.org,27
koconnor.net,26
free.fr,25
codecoup.pl,25
basnieuwenhuizen.nl,25
android.com,25
zx2c4.com,24
rowland.harvard.edu,23
keymile.com,23
finsecur.com,23
compulab.co.il,23
weltraumpflege.org,22
verge.net.au,22
topic.nl,22
solarflare.com,22
sigmadesigns.com,22
sequanux.org,22
secretsauce.net,22
seagate.com,22
ru.ibm.com,22
ono.com,22
natisbad.org,22
mansr.com,22
maciej.szmigiero.name,22
lse.epita.fr,22
leenox.de,22
gondor.apana.org.au,22
gmx.com,22
gerhard-bertelsmann.de,22
gatech.edu,22
freebox.fr,22
fastwel.ru,22
familie-kirchhofer.de,22
distanz.ch,22
caviumnetworks.com,22
c-s.fr,22
b1-systems.de,22
altera.com,22
alphalink.fr,22
I-love.SAKURA.ne.jp,22
vidarholen.net,21
szeredi.hu,21
aleksander.es,19
nuvoton.com,18
android-x86.org,18
hughsie.com,16
kernel.crashing.org,14
georgi-clan.de,14
cmu.edu,14
yandex.ru,13
googlemail.com,13
bobcopeland.com,13
flanker017.me,12
efficios.com,12
zerocrates.org,11
xes-inc.com,11
wernerandy.de,11
vontaene.de,11
veo-labs.com,11
valvesoftware.com,11
unitn.it,11
ts.fujitsu.com,11
tronnes.org,11
toradex.com,11
thejh.net,11
techsingularity.net,11
tangramtek.com,11
t2data.com,11
system.is,11
sysclose.org,11
superlative.org,11
stgolabs.ne,11
ssi.samsung.com,11
spectrumdigital.se,11
silentcreek.de,11
sgi.com,11
sectorb.msk.ru,11
scotdoyle.com,11
rsjtdrjgfuzkfg.com,11
realsil.com.cn,11
r00t3d.com,11
plaes.org,11
phytec.de,11
perches.com,11
ozlabs.org,11
ota.si,11
ophrys.net,11
online.de,11
nonadev.net,11
ni.com,11
networkplumber.org,11
netup.ru,11
netapp.com,11
nervanasys.com,11
melexis.com,11
macqel.be,11
m4x.org,11
m.disordat.com,11
lynxeye.de,11
lunn.ch,11
libc.org,11
lge.com,11
lemote.com,11
leiserson.org,11
laposte.net,11
kyup.com,11
jcornwall.me,11
jak-linux.org,11
iu.edu,11
irobot.com,11
inspur.com,11
imap.cc,11
hotmail.de,11
herbertland.com,11
hauke-m.de,11
gruttepier.net,11
gmx.net,11
gibson.dropbear.id.au,11
fr.ibm.com,11
flameeyes.eu,11
fire.lp0.eu,11
fel.cvut.cz,11
emulex.com,11
embedded-bits.co.uk,11
egauge.net,11
duskzone.it,11
devzen.net,11
dev.rtsoft.ru,11
davidrobins.net,11
cypress.com,11
cp.jp.nec.com,11
codethink.co.uk,11
codeblueprint.co.uk,11
ccs.covici.com,11
canb.auug.org.au,11
bull.net,11
bell.net,11
axtens.net,11
atos.net,11
arcor.de,11
ao2.it,11
analog.com,11
amazon.com,11
alliedtelesis.co.nz,11
alien8.de,11
aepfle.de,11
acm.org,11
8bytes.org,11
vivier.eu,10
siemens.com,10
rwth-aachen.de,10
das-labor.org,10
paulk.fr,9
tribudubois.net,8
ubnt.com,7
6wind.com,7
tdiedrich.de,6
osadl.org,6
jsg.id.au,6
felixheld.de,6
fami-braun.de,6
constexpr.org,6
wsystem.com,5
weilnetz.de,5
ubuntu.com,5
mc2research.org,5
libero.it,5
jaist.ac.jp,5
3adev.fr,5
ravellosystems.com,4
math.uni-bielefeld.de,4
kollasch.net,4
wwwdotorg.org,3
web.de,3
zeniv.linux.org.uk,2
xs4all.nl,2
twitter.com,2
timesys.com,2
se-eng.com,2
oxff.net,2
no-log.org,2
nicevt.ru,2
mielczarek.org,2
krellan.net,2
foss.arm.com,2
felyko.com,2
fe80.eu,2
djasper,2
assembler.cz,2
yk.rim.or.jp,1
ultimaker.com,1
tycoint.com,1
twopensource.com,1
tuxfamily.org,1
transmode.se,1
staubli.com,1
spreadtrum.com,1
shutemov.name,1
sandeen.net,1
rustcorp.com.au,1
profitbricks.com,1
parallels.com,1
ozlabs.ru,1
oevsv.at,1
nico,1
mozilla.com,1
meo.ws,1
lunarg.com,1
kcc,1
jklm.no,1
inversepath.com,1
ilande.co.uk,1
ieee.org,1
huaqin.com,1
hostmobility.com,1
gnu.org,1
esat.kuleuven.be,1
emc.com.tw,1
embedded-brains.de,1
dresearch-fe.de,1
dcbcyber.com,1
darbyshire-bryant.me.uk,1
d0k,1
cam.ac.uk,1
calculate.ru,1
aribaud.net,1
ami.com.tw,1
aggios.com,1
