Contributor,January 2015
intel.com,8397
gmail.com,7058
redhat.com,4575
samsung.com,2611
chromium.org,2586
linaro.org,2201
suse.de,1910
free-electrons.com,1821
kernel.org,1695
ibm.com,1653
visionengravers.com,1650
metafoo.de,1463
amd.com,1448
freescale.com,1444
linux-foundation.org,1397
arm.com,1115
nvidia.com,1069
ti.com,1032
lixom.net,1023
oracle.com,1003
google.com,997
davemloft.net,990
spectrumdigital.se,902
qca.qualcomm.com,814
mev.co.uk,770
holtmann.org,745
marvell.com,735
unisys.com,726
tieto.com,702
w1.fi,624
renesas.com,606
codeaurora.org,554
suse.cz,524
ideasonboard.com,474
arndb.de,462
cogentembedded.com,451
xilinx.com,442
atmel.com,441
linutronix.de,434
primarydata.com,429
collabora.co.uk,418
atomide.com,418
huawei.com,410
csie.org,401
chelsio.com,385
wizery.com,367
glider.be,365
rock-chips.com,353
iki.fi,349
broadcom.com,348
windriver.com,341
rorvick.com,341
vmware.com,326
zeniv.linux.org.uk,320
lip6.fr,309
fb.com,308
cn.fujitsu.com,300
igalia.com,280
suse.com,270
canonical.com,265
lst.de,253
pengutronix.de,242
anholt.net,235
citrix.com,234
jp.panasonic.com,233
ens.fr,225
suug.ch,220
mellanox.com,220
kroah.com,220
jlekstrand.net,205
whitecape.org,201
chris-wilson.co.uk,200
hofr.at,199
csr.com,198
avagotech.com,198
qti.qualcomm.com,195
imgtec.com,190
ffwll.ch,190
6wind.com,188
ingics.com,180
roeck-us.net,177
realtek.com,177
cs.technion.ac.il,176
linuxfoundation.org,168
tkos.co.il,165
the-dreams.de,165
st.com,165
nicira.com,165
linux-mips.org,165
linux-m68k.org,165
infradead.org,165
users.sourceforge.net,156
microsoft.com,155
cisco.com,151
googlemail.com,149
mentor.com,145
xsens.com,143
tandemg.com,143
cypress.com,143
sntech.de,137
rasmusvillemoes.dk,132
lwfinger.net,132
ladisch.de,132
emulex.com,132
cumulusnetworks.com,132
codethink.co.uk,132
valeo.com,121
nod.at,121
mediatek.com,121
synopsys.com,113
bobcopeland.com,111
stgolabs.net,110
goodmis.org,110
gondor.apana.org.au,110
goldelico.com,110
ellerman.id.au,110
axentia.se,110
freedesktop.org,102
amacapital.net,100
trendmicro.com.cn,99
samba.org,99
physik.uni-kl.de,99
c-s.fr,99
axis.com,99
apm.com,99
Freescale.com,99
baylibre.com,97
sonymobile.com,91
agner.ch,90
rustcorp.com.au,88
resnulli.us,88
purestorage.com,88
paradise.net.nz,88
opensource.se,88
netfilter.org,88
dev.mellanox.co.il,88
free.fr,78
ucw.cz,77
skynet.be,77
savoirfairelinux.com,77
realsil.com.cn,77
peak-system.com,77
osg.samsung.com,77
meshcoding.com,77
lucaceresoli.net,77
finsecur.com,77
tuxdriver.com,69
strlen.de,68
mm-sol.com,67
hurleysoftware.com,66
hundeboll.net,66
de.bosch.com,66
alterapraxis.com,64
se-eng.com,60
gmx.de,57
gentoo.org,57
web.de,55
rempel-privat.de,55
pwsan.com,55
ni.com,55
lunn.ch,55
lab.ntt.co.jp,55
japko.eu,55
ericsson.com,55
diasemi.com,55
brown.name,55
boundarydevices.com,55
android.com,53
analog.com,47
perches.com,46
smartplayin.com,44
schinagl.nl,44
sang-engineering.com,44
linux-iscsi.org,44
iodev.co.uk,44
gmx.com,44
globallogic.com,44
elettra.eu,44
csclub.uwaterloo.ca,44
cmpxchg.org,44
c0d3.blue,44
arm.linux.org.uk,44
aleksander.es,44
0x4a42.net,44
openwrt.org,43
compulab.co.il,43
raptorengineeringinc.com,40
cworth.org,40
alum.mit.edu,37
xs4all.nl,36
profitbricks.com,34
ispras.ru,34
collabora.com,34
uclinux.org,33
synaptics.com,33
sunrus.com.cn,33
stressinduktion.org,33
simonwunderlich.de,33
semihalf.com,33
schaufler-ca.com,33
ru.ibm.com,33
rowland.harvard.edu,33
rainbow-software.org,33
plexistor.com,33
o2s.ch,33
natisbad.org,33
mortis.eu,33
mkarcher.dialup.fu-berlin.de,33
linux.com,33
lelong.xyz,33
konsulko.com,33
i2se.com,33
grid-net.com,33
fromorbit.com,33
ezchip.com,33
ettus.com,33
caione.org,33
altera.com,33
worldbroken.com,30
kernel.crashing.org,27
emc.com.tw,26
bitplanet.net,26
xes-inc.com,25
au1.ibm.com,25
skyportsystems.com,24
parallels.com,24
a1ca3aef-8c08-0410-bb20-df032aa958be,24
trash.net,23
opensource.wolfsonmicro.com,23
esd.eu,23
wanadoo.fr,22
unitn.it,22
tronnes.org,22
toradex.com,22
topic.nl,22
topbug.net,22
tiscali.nl,22
scotdoyle.com,22
rab.in,22
plumgrid.com,22
opensource.altera.com,22
opengear.com,22
mit.edu,22
meltdown.ru,22
