Contributor,May 2020
chromium.org,3242
google.com,2121
intel.com,772
gmail.com,737
collabora.com,503
redhat.com,398
codeaurora.org,260
linaro.org,234
amd.com,229
suse.de,196
kernel.org,156
anholt.net,146
huawei.com,122
oracle.com,96
semihalf.com,95
arm.com,95
linux-foundation.org,91
mellanox.com,89
ideasonboard.com,89
noos.fr,63
jlekstrand.net,60
renesas.com,56
suse.com,53
canonical.com,51
quanta.corp-partner.google.com,48
mediatek.com,48
wanadoo.fr,47
fudan.edu.cn,45
arndb.de,38
linuxfoundation.org,37
compal.corp-partner.google.com,37
bitland.corp-partner.google.com,37
realtek.com,35
ibm.com,34
virtuozzo.com,33
amd.corp-partner.google.com,32
igalia.com,29
lst.de,26
alphalink.fr,26
nvidia.com,24
ti.com,23
nxp.com,22
engestrom.ch,21
whitecape.org,20
mit.edu,20
broadcom.com,20
schuermann.dev,19
glider.be,19
basnieuwenhuizen.nl,18
marvell.com,17
marek.ca,17
suse.cz,16
samsung.com,16
ravnborg.org,16
gmx.de,16
st.com,15
samsung.corp-partner.google.com,15
rowland.harvard.edu,15
fb.com,15
googlemail.com,14
bp.renesas.com,14
baylibre.com,14
globallogic.com,13
chris-wilson.co.uk,13
cetitec.com,13
aleksander.es,13
tcd.ie,12
puri.sm,12
pengutronix.de,12
imgtec.com,12
holtmann.org,12
zeniv.linux.org.uk,11
socionext.com,11
kalray.eu,11
freedesktop.org,11
footclan.ninja,11
dev.mellanox.co.il,11
cs.washington.edu,11
9elements.com,11
paul-moore.com,10
inria.fr,10
froggi.es,10
chelsio.com,10
aosc.io,10
alum.mit.edu,10
ts.fujitsu.com,9
linutronix.de,9
infradead.org,9
zx2c4.com,8
ott.net,8
orolia.com,8
onstation.org,8
nokia.com,8
intel.corp-partner.google.com,8
cumulusnetworks.com,8
csie.org,8
crapouillou.net,8
xmission.com,7
v3.sk,7
synopsys.com,7
queasysnail.net,7
microsoft.com,7
metafoo.de,7
hardenedlinux.org,7
goodmis.org,7
gmx.com,7
gerhold.net,7
6wind.com,7
zhaoxin.com,6
wdc.com,6
umn.edu,6
sifive.com,6
raspberrypi.com,6
ragnatech.se,6
opensource.cirrus.com,6
mniewoehner.de,6
linux.alibaba.com,6
gentoo.org,6
bootlin.com,6
arista.com,6
ualberta.ca,5
sdf.org,5
osg.samsung.com,5
nod.at,5
linux.microsoft.com,5
kernel.dk,5
keemail.me,5
jmondi.org,5
