Contributor,August 2015
intel.com,9648
gmail.com,6787
redhat.com,5954
linaro.org,3488
amd.com,2701
samsung.com,2581
kernel.org,2227
chromium.org,1827
freescale.com,1632
google.com,1422
nvidia.com,1289
ti.com,1273
codeaurora.org,1226
mellanox.com,1177
linux-foundation.org,1144
osg.samsung.com,1078
davemloft.net,1067
suse.de,1043
oracle.com,1003
ibm.com,983
visionengravers.com,891
arm.com,822
primarydata.com,715
metafoo.de,685
lixom.net,671
arm.linux.org.uk,660
suse.com,618
vmware.com,599
free-electrons.com,589
ingics.com,580
huawei.com,540
cumulusnetworks.com,539
imgtec.com,532
pengutronix.de,509
igalia.com,414
cisco.com,397
collabora.co.uk,396
linuxfoundation.org,385
ffwll.ch,379
linutronix.de,375
gondor.apana.org.au,363
gmx.de,354
synopsys.com,341
roeck-us.net,341
qlogic.com,341
nicira.com,341
nwl.cc,330
glider.be,330
mediatek.com,327
infradead.org,319
denx.de,314
avagotech.com,297
sandisk.com,275
ens.fr,275
savoirfairelinux.com,264
perches.com,264
jp.fujitsu.com,264
marvell.com,263
riseup.net,261
microsoft.com,253
cn.fujitsu.com,248
anholt.net,244
lst.de,242
alum.mit.edu,241
w1.fi,237
socionext.com,234
canonical.com,229
linux-m68k.org,209
csr.com,209
pmcs.com,198
QCA.qualcomm.com,198
tieto.com,192
axtens.net,187
fb.com,179
netfilter.org,176
qca.qualcomm.com,175
rock-chips.com,167
freedesktop.org,166
visteon.com,165
broadcom.com,165
hp.com,157
obsidianresearch.com,154
neomailbox.ch,154
atmel.com,152
sntech.de,151
opensource.wolfsonmicro.com,150
cogentembedded.com,147
xilinx.com,141
qti.qualcomm.com,139
sang-engineering.com,132
narfation.org,132
iki.fi,132
free.fr,132
chelsio.com,132
brown.name,132
suse.cz,125
realtek.com,121
linuxhacker.ru,121
cavium.com,121
wp.pl,110
windriver.com,110
plumgrid.com,110
herbertland.com,110
ezchip.com,110
c-s.fr,110
citrix.com,103
wizery.com,102
openwrt.org,100
netapp.com,99
gnu.org,99
ellerman.id.au,99
eclipso.eu,99
au1.ibm.com,99
sonymobile.com,88
maciej.szmigiero.name,88
lwfinger.net,88
lip6.fr,88
iogearbox.net,88
hardeman.nu,88
axis.com,88
whitecape.org,86
googlemail.com,86
users.sourceforge.net,84
chris-wilson.co.uk,82
mleia.com,78
samba.org,77
mentor.com,77
itdev.co.uk,77
c0d3.blue,77
georgi-clan.de,74
yahoo.com.au,70
xmission.com,66
osadl.org,66
opengridcomputing.com,66
linux-mips.org,66
lab.ntt.co.jp,66
freebox.fr,66
emc.com,66
diasemi.com,66
collabora.com,66
codethink.co.uk,66
MakeLinux.com,66
163.com,66
opensource.altera.com,61
das-labor.org,60
the-dreams.de,57
st.com,56
gmx.com,56
csie.org,56
zeniv.linux.org.uk,55
yandex-team.ru,55
xs4all.nl,55
vanguardiasur.com.ar,55
purestorage.com,55
netup.ru,55
lwn.net,55
lunn.ch,55
esat.kuleuven.be,55
brocade.com,55
apm.com,55
ah.jp.nec.com,55
ite.com.tw,54
hovoldconsulting.com,50
renesas.com,48
coreboot.org,48
rasmusvillemoes.dk,45
strlen.de,44
schischi.me,44
hotmail.com,44
hauke-m.de,44
ericsson.com,44
dius.com.au,44
atomide.com,44
agner.ch,44
ideasonboard.com,41
paulk.fr,37
alterapraxis.com,35
fromorbit.com,34
zx2c4.com,33
tiscali.nl,33
ssi.bg,33
skynet.be,33
semihalf.com,33
sakamocchi.jp,33
rustcorp.com.au,33
rab.in,33
poochiereds.net,33
pid1solutions.com,33
open-mesh.com,33
microchip.com,33
lentin.co.uk,33
kpanic.de,33
hitachi.com,33
gentoo.org,33
ettus.com,33
dev.mellanox.co.il,33
decadent.org.uk,33
koconnor.net,32
konsulko.com,31
sadel.it,28
virtuousgeek.org,27
toradex.com,26
mit.edu,26
holtmann.org,26
aleksander.es,26
pqgruber.com,24
xes-inc.com,23
emc.com.tw,23
topic.nl,22
ssi.samsung.com,22
solarflare.com,22
smart-africa.com,22
simonwunderlich.de,22
sequanux.org,22
rowland.harvard.edu,22
rempel-privat.de,22
randazzo.fr,22
protonic.nl,22
posteo.de,22
mev.co.uk,22
meshcoding.com,22
melexis.com,22
matrox.com,22
m4x.org,22
ll.mit.edu,22
kdab.com,22
jusst.de,22
ispras.ru,22
hurleysoftware.com,22
hellion.org.uk,22
hadess.net,22
hachti.de,22
gmx.at,22
flawful.org,22
fau.de,22
dolka.fr,22
de.bosch.com,22
cmss.chinamobile.com,22
chronox.de,22
canb.auug.org.au,22
boundarydevices.com,22
bernat.im,22
animalcreek.com,22
alphalink.fr,22
akamai.com,22
126.com,22
vidarholen.net,21
a1ca3aef-8c08-0410-bb20-df032aa958be,21
compulab.co.il,18
hughsie.com,17
debian.org,16
secunet.com,13
tycoint.com,12
tribudubois.net,12
nuvoton.com,12
aurel32.net,12
zte.com.cn,11
zankel.net,11
wvnet.at,11
wolfsonmicro.com,11
walle.cc,11
virtuozzo.com,11
verge.net.au,11
valbob.noip.me,11
unisys.com,11
ucw.cz,11
tycho.nsa.gov,11
twiddle.net,11
tuxdriver.com,11
tronnes.org,11
trendmicro.com.cn,11
tpip.net,11
tkos.co.il,11
thejh.net,11
telegraphics.com.au,11
techsingularity.net,11
synaptics.com,11
studium.uni-erlangen.de,11
stdin.nl,11
sipsolutions.net,11
shermdog.com,11
scotdoyle.com,11
schaufler-ca.com,11
samuel.pitoisetœgmail.com,11
rwth-aachen.de,11
rosalab.ru,11
resnulli.us,11
ravnborg.org,11
rainbow-software.org,11
pwsan.com,11
profitbricks.com,11
proclivis.com,11
posteo.net,11
poczta.fm,11
piap.pl,11
parallels.com,11
ozlabs.ru,11
openvz.org,11
nordicsemi.no,11
nod.at,11
ni.com,11
netronome.com,11
nerdbynature.de,11
neratec.com,11
nasa.gov,11
namei.org,11
minoris.se,11
martin.sperl.org,11
maral.me,11
lynxeye.de,11
linux.com,11
linux-vserver.org,11
lge.com,11
kynesim.co.uk,11
kylehuey.com,11
kempniu.pl,11
kapsi.fi,11
k-raum.org,11
jwilk.net,11
iij.ad.jp,11
i2se.com,11
highpoint-tech.com,11
goodmis.org,11
goldelico.com,11
geekosphere.org,11
freifunk-nrw.de,11
fedoraproject.org,11
fairview5.com,11
eukrea.com,11
enight.me,11
elopez.com.ar,11
elisp.net,11
elandsys.com,11
edfritsch.de,11
dosowisko.net,11
distanz.ch,11
debethencourt.com,11
cyphar.com,11
cornell.edu,11
corna.info,11
constexpr.org,11
colorfullife.com,11
clusterhq.com,11
ck-telecom.com,11
chirality.org.uk,11
cfotr.com,11
caviumnetworks.com,11
catern.com,11
cantona.net,11
bmw-carit.de,11
blackhole.kfki.hu,11
bjorling.me,11
bitron.ch,11
baylibre.com,11
basnieuwenhuizen.nl,11
amazon.de,11
amacapital.net,11
adirat.com,11
Freescale.com,11
6wind.com,11
0x539.de,11
unixzen.com,10
ziswiler.com,9
quantatw.com,8
kollasch.net,8
alliedtelesis.co.nz,8
web.de,7
student.tuwien.ac.at,5
sigluy.net,5
notabs.org,5
mozilla.com,5
mni.thm.de,5
ixit.cz,5
hpe.com,5
dev.carbon-project.org,5
android-x86.org,5
ami.com.tw,5
se-eng.com,4
raptorengineeringinc.com,4
interact.nl,4
vivier.eu,3
gateworks.com,3
ausil.us,3
antmicro.com,3
zamaudio.com,2
wwwdotorg.org,2
opello.org,2
embedded.rocks,2
elecsyscorp.com,2
cryptic-dragon.jf.intel.com,2
asus.com,2
andestech.com,2
zonque.org,1
wistron.com,1
virtualopensystems.com,1
users.sourceforge.jp,1
tuxera.com,1
tremily.us,1
tautologica.org,1
spectrumdigital.se,1
seulhee.lee,1
sandeen.net,1
