Contributor,April 2017
intel.com,9627
gmail.com,6700
redhat.com,4672
google.com,3146
amd.com,2524
ibm.com,2379
linaro.org,2009
chromium.org,1931
arm.com,1798
kernel.org,1508
oracle.com,1355
davemloft.net,1242
linux-foundation.org,1241
lst.de,1180
ti.com,1102
mellanox.com,1091
realtek.com,860
cavium.com,840
suse.cz,824
codeaurora.org,804
s-opensource.com,801
nxp.com,763
suse.de,746
canonical.com,730
huawei.com,716
suse.com,702
nvidia.com,661
kernel.crashing.org,653
lixom.net,650
free-electrons.com,650
zeniv.linux.org.uk,606
tobin.cc,600
osg.samsung.com,531
fb.com,521
arndb.de,520
chris-wilson.co.uk,514
users.sourceforge.net,498
goodmis.org,483
baylibre.com,480
mediatek.com,470
samsung.com,457
imgtec.com,441
collabora.com,417
sandisk.com,413
cisco.com,400
broadcom.com,391
whitecape.org,390
rock-chips.com,388
ideasonboard.com,380
sakamocchi.jp,360
st.com,346
pengutronix.de,337
ffwll.ch,332
marvell.com,319
vmware.com,312
renesas.com,310
linutronix.de,302
kempniu.pl,290
Netapp.com,290
itsqueeze.com,284
infradead.org,272
strlen.de,270
distanz.ch,261
unisys.com,260
grimberg.me,260
cumulusnetworks.com,250
synopsys.com,245
lwfinger.net,241
netronome.com,230
ellerman.id.au,230
googlemail.com,222
opensource.wolfsonmicro.com,220
amazon.co.uk,220
igalia.com,205
linuxfoundation.org,199
qti.qualcomm.com,184
primarydata.com,180
atomide.com,180
socionext.com,176
ozlabs.ru,175
secunet.com,174
lightnvm.io,170
ikuai8.com,170
glider.be,170
basnieuwenhuizen.nl,160
alphalink.fr,160
163.com,160
gondor.apana.org.au,158
omnibond.com,151
toxicpanda.com,150
savoirfairelinux.com,150
cn.fujitsu.com,149
microchip.com,144
qca.qualcomm.com,134
hisilicon.com,130
aosc.xyz,123
alum.mit.edu,123
iogearbox.net,120
mentor.com,113
amarulasolutions.com,111
xs4all.nl,110
gmx.net,110
axentia.se,110
microsoft.com,101
perches.com,100
benyossef.com,100
axis.com,100
csie.org,95
wanadoo.fr,94
sang-engineering.com,94
konsulko.com,94
milecki.pl,91
hartkopp.net,90
aj.id.au,90
agner.ch,90
skynet.be,82
aosc.io,81
sony.com,80
mess.org,80
k2l.de,80
holtmann.org,80
linux-m68k.org,74
xmission.com,71
jms.id.au,71
hpe.com,71
tuxera.com,70
posteo.de,70
networkplumber.org,70
linux-mips.org,70
jmondi.org,70
chelsio.com,70
c-s.fr,70
anholt.net,67
denx.de,64
ozlabs.org,61
wdc.com,60
peak-system.com,60
infineon.com,60
ginzinger.com,60
embeddedor.com,60
cogentembedded.com,60
cadence.com,60
ericsson.com,56
yandex.ru,55
nuvoton.com,54
kaod.org,54
codecoup.pl,54
HansenPartnership.com,51
telegraphics.com.au,50
spreadtrum.com,50
netfilter.org,50
mev.co.uk,50
iki.fi,50
gmx.de,50
deltatee.com,50
bytheb.org,50
angband.pl,50
citrix.com,47
tieto.com,42
nordicsemi.no,42
android.com,42
aheymans.xyz,42
zx2c4.com,41
samba.org,41
phrozen.org,41
hughsie.com,41
zall.org,40
windriver.com,40
sigmadesigns.com,40
popple.id.au,40
ovn.org,40
networkimprov.net,40
narfation.org,40
mail.parknet.co.jp,40
lunn.ch,40
kde.org,40
kaiser.cx,40
ispras.ru,40
i2se.com,40
hofr.at,40
heimpold.de,40
endlessm.com,40
diasemi.com,40
dev.rtsoft.ru,40
alliedtelesis.co.nz,40
alemayhu.com,40
atmel.com,39
riseup.net,37
ni.com,33
dev.mellanox.co.il,32
nbd.name,31
altlinux.org,31
uclouvain.be,30
theobroma-systems.com,30
the-dreams.de,30
solarflare.com,30
skidata.com,30
shmanahar.org,30
raspberrypi.org,30
raithlin.com,30
phytec.de,30
mojatatu.com,30
makrotopia.org,30
lwn.net,30
keymile.com,30
frugalware.org,30
fel.cvut.cz,30
deic.uab.cat,30
debian.org,30
cmss.chinamobile.com,30
chronox.de,30
caviumnetworks.com,30
analog.com,30
collabora.co.uk,26
kleine-koenig.org,24
ite.com.tw,24
foxmail.com,24
decadent.org.uk,24
das-labor.org,24
converseincode.com,24
sntech.de,23
gibson.dropbear.id.au,23
I-love.SAKURA.ne.jp,23
virtuozzo.com,21
rwth-aachen.de,21
roeck-us.net,21
metanate.com,21
lip6.fr,21
gateworks.com,21
formelder.dk,21
webczatnet.pl,20
timesys.com,20
semihalf.com,20
ragnatech.se,20
queasysnail.net,20
qnap.com,20
protonic.nl,20
onstation.org,20
obsidianresearch.com,20
nexus-software.ie,20
n621.de,20
lse.epita.fr,20
lechnology.com,20
kuvee.com,20
kresin.me,20
kemnade.info,20
ingics.com,20
ge.com,20
e-labworks.com,20
dmitryfrank.com,20
dbalan.in,20
cs.columbia.edu,20
chargestorm.se,20
chard.org,20
cascardo.eti.br,20
brocade.com,20
arcticsand.com,20
xilinx.com,17
vidarholen.net,17
stressinduktion.org,17
freedesktop.org,17
w1.fi,16
m4x.org,16
au1.ibm.com,16
mit.edu,14
ilande.co.uk,14
aleksander.es,14
openvz.org,13
eik.bme.hu,13
v3.sk,12
trendmicro.com.cn,12
siol.net,12
myspectrum.nl,12
linux-iscsi.org,12
compal.com,12
zte.com.cn,11
xiaomi.com,11
wunner.de,11
tsyrklevich.net,11
maximintegrated.com,11
lemote.com,11
leemhuis.info,11
hauke-m.de,11
freescale.com,11
fbihome.de,11
cs.ucsb.edu,11
boundarydevices.com,11
bernat.im,11
zoho.com,10
xes-inc.com,10
wetterwald.eu,10
vatsul.com,10
vanguardiasur.com.ar,10
unibas.ch,10
umich.edu,10
tycoint.com,10
tul.cz,10
trippelsdorf.de,10
toshiba-tops.co.jp,10
tkos.co.il,10
tirsek.com,10
teknot.us,10
techsingularity.net,10
sunbase.org,10
simonwunderlich.de,10
seagate.com,10
sandeen.net,10
rutgers.edu,10
rere.qmqm.pl,10
rempel-privat.de,10
raptorengineering.com,10
rainbow-software.org,10
purestorage.com,10
proxmox.com,10
povil.us,10
pmeerw.net,10
plaes.org,10
philpotter.co.uk,10
paul-moore.com,10
outlook.com,10
oregonstate.edu,10
opensource.altera.com,10
onet.eu,10
nokia.com,10
nod.at,10
netapp.com,10
mork.no,10
mobica.com,10
mobi-wize.com,10
mixaill.tk,10
mina86.com,10
microsemi.com,10
mendix.com,10
marb.org,10
ltec.ch,10
live.ca,10
linux.com,10
linux-powerpc.org,10
laposte.net,10
laatikko.io,10
kylehuey.com,10
kpanic.de,10
kinvolk.io,10
kicherer.org,10
it-klinger.de,10
id3p.com,10
hp.com,10
hotmail.com,10
hitachi.com,10
hadess.net,10
goldelico.com,10
gentoo.org,10
free.fr,10
fireburn.co.uk,10
exactcode.com,10
dtbo.net,10
digital-domain.net,10
desy.de,10
delvelabs.ca,10
darkmatter.ae,10
cs.stonybrook.edu,10
craiginches.com,10
cnexlabs.com,10
cn.bosch.com,10
centerclick.org,10
c0d3.blue,10
borque.com.ar,10
bluestacks.com,10
blala.de,10
bingham.xyz,10
beget.ru,10
avionic-design.de,10
asyring.de,10
apm.com,10
anw.at,10
amazon.com,10
allworx.com,10
ab.jp.nec.com,10
CARNet.hr,10
toradex.com,9
philjordan.eu,9
dell.com,9
siemens.com,8
nestwave.com,8
asus.com,8
sonymobile.com,6
paulk.fr,6
folklore1984.net,6
feralinteractive.com,6
engestrom.ch,6
displaylink.com,6
synaptics.com,5
otdel-1.org,5
jlekstrand.net,5
frickel.club,5
ens.fr,5
dev.carbon-project.org,5
bwidawsk.net,5
adaptrum.com,5
taobao.com,4
mstarsemi.com,4
limesaudio.com,4
kakaroto.homelinux.net,4
daynix.com,4
weinigel.se,3
polilinux.com.br,3
oblong.com,3
vdwaa.nl,2
ucw.cz,2
tencent.com,2
stgolabs.net,2
quantatw.com,2
nigauri.org,2
molgen.mpg.de,2
mithis.com,2
insomniasec.com,2
heig-vd.ch,2
ericwf,2
corna.info,2
weidahitech.com,1
virtuozzo.mipt.ru,1
vctlabs.com,1
users.noreply.github.com,1
twiddle.net,1
tresorit.com,1
tq-group.com,1
topic.nl,1
thalesgroup.com,1
teenage.engineering,1
t-online.de,1
spectrumdigital.se,1
rowland.harvard.edu,1
rosenzweig.io,1
resilio.com,1
research.iiit.ac.in,1
philkern.de,1
pefoley.com,1
mvista.com,1
mozilla.com,1
