Contributor,October 2018
intel.com,4472
chromium.org,4022
google.com,3471
gmail.com,3138
redhat.com,2264
codeaurora.org,1127
arm.com,1017
amd.com,978
kernel.org,900
linaro.org,800
linuxfoundation.org,780
ibm.com,626
huawei.com,565
davemloft.net,546
mellanox.com,505
oracle.com,485
linux-foundation.org,433
bootlin.com,419
infradead.org,382
nxp.com,329
suse.com,322
lst.de,311
arndb.de,242
collabora.com,240
canonical.com,227
mediatek.com,226
ti.com,221
zeniv.linux.org.uk,211
st.com,211
fb.com,204
c-s.fr,200
embeddedor.com,185
broadcom.com,176
socionext.com,168
suse.de,166
marvell.com,165
chris-wilson.co.uk,145
gmx.de,131
nordicsemi.no,130
netronome.com,127
renesas.com,124
nvidia.com,123
samsung.com,121
wdc.com,119
microsoft.com,118
igalia.com,116
pnwbakers.com,107
pengutronix.de,104
vmware.com,102
roeck-us.net,101
ozlabs.org,101
amazon.com,97
itsqueeze.com,96
iogearbox.net,96
suse.cz,95
synopsys.com,91
sang-engineering.com,91
acm.org,91
anholt.net,90
android.com,89
linux.alibaba.com,88
bp.renesas.com,88
ellerman.id.au,85
linutronix.de,84
kernel.dk,82
quantenna.com,81
virtuozzo.com,74
glider.be,72
c-sky.com,72
microchip.com,70
ffwll.ch,70
cavium.com,66
javigon.com,63
whitecape.org,55
nbd.name,55
umich.edu,54
cogentembedded.com,54
aleksander.es,53
xilinx.com,51
wand.net.nz,51
umn.edu,50
sifive.com,50
atomide.com,50
linux-mips.org,47
sakamocchi.jp,45
debian.org,45
baylibre.com,45
toxicpanda.com,43
noos.fr,42
konsulko.com,42
deltatee.com,42
hpe.com,41
quanta.corp-partner.google.com,40
cn.fujitsu.com,40
telegraphics.com.au,39
kernel.crashing.org,39
gmx.net,39
alum.mit.edu,39
wavecomp.com,38
queasysnail.net,37
jms.id.au,37
v3.sk,36
cmpxchg.org,36
braap.org,36
amd.corp-partner.google.com,36
mips.com,34
ericsson.com,34
compal.corp-partner.google.com,34
lunn.ch,33
hughsie.com,33
ghiti.fr,33
cnexlabs.com,33
163.com,33
phytec.de,32
nocrew.org,32
amsat.org,32
lightnvm.io,30
ite.com.tw,30
dell.com,30
windriver.com,29
ispras.ru,29
goodmis.org,29
rowland.harvard.edu,28
perches.com,28
endlessm.com,28
xmission.com,27
oticon.com,27
nuvoton.com,27
lab.ntt.co.jp,27
denx.de,27
zte.com.cn,26
rock-chips.com,26
das-labor.org,26
zonque.org,25
freedesktop.org,25
narfation.org,24
gmx.com,24
cisco.com,24
chelsio.com,24
bell.net,24
asus.corp-partner.google.com,24
nod.at,23
cumulusnetworks.com,23
sntech.de,22
ozlabs.ru,22
foxmail.com,22
techsingularity.net,21
surriel.com,21
polito.it,21
opensource.cirrus.com,21
jmondi.org,21
iki.fi,21
hisilicon.com,21
foundries.io,21
crapouillou.net,21
basnieuwenhuizen.nl,21
toradex.com,20
mleia.com,20
kdab.com,20
baidu.com,20
axis.com,20
aheymans.xyz,20
andestech.com,19
w1.fi,18
synaptics.com,18
pegatroncorp.com,18
netfilter.org,18
milecki.pl,18
mess.org,18
hammerspace.com,18
9elements.com,18
siemens.com,17
hauke-m.de,17
feralinteractive.com,17
dektech.com.au,17
axentia.se,17
analog.com,17
agner.ch,17
strlen.de,16
mit.edu,16
maximintegrated.com,16
jp.fujitsu.com,16
simonwunderlich.de,15
realtek.com,15
poczta.fm,15
nic.cz,15
grimberg.me,15
engestrom.ch,15
tkos.co.il,14
neuling.org,14
cmss.chinamobile.com,14
tronnes.org,13
osadl.org,13
hotmail.com,13
ucw.cz,12
ragnatech.se,12
omnibond.com,12
kaod.org,12
esmil.dk,12
codecoup.pl,12
brainfault.org,12
bgdev.pl,12
taedcke.com,11
ah.jp.nec.com,11
unisoc.com,10
seitzassoc.com,10
ni.com,10
maciej.szmigiero.name,10
janustech.com,10
globallogic.com,10
codethink.co.uk,10
bootc.net,10
xs4all.nl,9
wizofe.uk,9
vyatta.att-mail.com,9
users.sourceforge.net,9
the-dreams.de,9
rasmusvillemoes.dk,9
networkplumber.org,9
lucaceresoli.net,9
lemote.com,9
jsg.id.au,9
ingics.com,9
hxt-semitech.com,9
gentoo.org,9
dxplore.eu,9
vidarholen.net,8
pdx.edu,8
jlekstrand.net,8
displaylink.com,8
comfychair.org,8
antmicro.com,8
amarulasolutions.com,8
yahoo.ca,7
secunet.com,7
rutgers.edu,7
qti-qualcomm.corp-partner.google.com,7
paul-moore.com,7
opensourcefoundries.com,7
nwl.cc,7
linux-m68k.org,7
lge.com,7
impinj.com,7
igel.co.jp,7
fromorbit.com,7
efficios.com,7
codemonkey.org.uk,7
candelatech.com,7
ysoft.com,6
yahoo.com,6
wunner.de,6
willer.it,6
strongswan.org,6
silex-india.com,6
rockwellcollins.com,6
riseup.net,6
rere.qmqm.pl,6
quantatw.com,6
