Contributor,February 2016
intel.com,15597
gmail.com,10986
redhat.com,3687
linaro.org,3686
amd.com,2537
kernel.org,2506
google.com,2135
atmel.com,1466
linuxhacker.ru,1380
chromium.org,1349
ibm.com,1238
linux-foundation.org,1221
suse.de,1213
arm.com,1211
windriver.com,1206
arndb.de,1173
osg.samsung.com,1147
samsung.com,1071
ti.com,1029
davemloft.net,1013
nvidia.com,941
codeaurora.org,843
oracle.com,757
huawei.com,743
ideasonboard.com,712
free-electrons.com,696
broadcom.com,684
glider.be,660
tieto.com,657
suse.com,607
pengutronix.de,581
mirantis.com,530
renesas.com,520
narfation.org,520
vmware.com,502
mellanox.com,500
socionext.com,470
rock-chips.com,461
avagotech.com,450
lixom.net,421
synopsys.com,404
infradead.org,394
qlogic.com,390
suse.cz,381
microchip.com,364
iki.fi,360
nxp.com,328
imgtec.com,322
alum.mit.edu,321
163.com,307
st.com,305
verge.net.au,290
anholt.net,289
mediatek.com,287
unisys.com,250
ingics.com,250
ffwll.ch,237
linuxfoundation.org,234
cn.fujitsu.com,225
zeniv.linux.org.uk,220
fb.com,220
csie.org,220
wizery.com,214
collabora.com,213
sakamocchi.jp,210
baylibre.com,210
xilinx.com,207
qca.qualcomm.com,204
free.fr,201
apm.com,200
atomide.com,199
omnibond.com,190
hovoldconsulting.com,190
freescale.com,189
microsoft.com,184
metafoo.de,184
kyup.com,180
googlers.com,180
primarydata.com,175
collabora.co.uk,170
cavium.com,170
android.com,170
marvell.com,168
das-labor.org,161
canonical.com,161
savoirfairelinux.com,160
fau.de,160
ericsson.com,160
ens.fr,160
hurleysoftware.com,157
wunner.de,150
axis.com,141
whitecape.org,140
cumulusnetworks.com,140
linutronix.de,135
hpe.com,132
plaes.org,130
openwrt.org,130
mleia.com,130
mev.co.uk,130
linux-mips.org,130
virtuozzo.com,125
gondor.apana.org.au,123
chris-wilson.co.uk,122
lip6.fr,121
rasmusvillemoes.dk,120
martin.sperl.org,120
freedesktop.org,120
cray.com,120
linux.com,116
lst.de,113
linux-m68k.org,112
realtek.com,110
pmcs.com,110
cogentembedded.com,110
cmss.chinamobile.com,110
agner.ch,110
solarflare.com,100
opensource.wolfsonmicro.com,100
lxorguk.ukuu.org.uk,100
denx.de,93
iogearbox.net,92
umich.edu,90
ozlabs.ru,82
linux-iscsi.org,81
visteon.com,80
opensource.altera.com,80
microsemi.com,80
japko.eu,80
boundarydevices.com,80
the-dreams.de,70
obsidianresearch.com,70
kemnade.info,70
cisco.com,70
roeck-us.net,69
lwfinger.net,62
gmx.de,62
dell.com,62
vt.edu,60
strlen.de,60
riseup.net,60
opensource.se,60
lucaceresoli.net,60
chronox.de,60
chelsio.com,60
w1.fi,58
fedoraproject.org,57
xs4all.nl,53
mentor.com,52
rowland.harvard.edu,51
au1.ibm.com,51
vanguardiasur.com.ar,50
sang-engineering.com,50
pid1solutions.com,50
hisilicon.com,50
fire.lp0.eu,50
cmpxchg.org,50
caviumnetworks.com,50
bp.renesas.com,50
igalia.com,47
raptorengineeringinc.com,46
twiddle.net,44
goodmis.org,44
HansenPartnership.com,42
weave.works,40
unstable.cc,40
trendmicro.com.cn,40
sntech.de,40
ni.com,40
mansr.com,40
lab.ntt.co.jp,40
i2se.com,40
elzevir.fr,40
decadent.org.uk,40
cvidal.org,40
cmu.edu,40
brocade.com,40
bmw-carit.de,40
ao2.it,40
alliedtelesis.co.nz,40
wwwdotorg.org,39
nuvoton.com,39
coreboot.org,35
citrix.com,35
konsulko.com,34
reactos.org,33
qti.qualcomm.com,33
eu.citrix.com,31
ubuntu.com,30
tw.promise.com,30
ssi.samsung.com,30
sonymobile.com,30
sai.msu.ru,30
parrot.com,30
ozlabs.org,30
open-mesh.com,30
nod.at,30
neuling.org,30
mobileactivedefense.com,30
m.disordat.com,30
lugatech.com,30
lakedaemon.net,30
ispras.ru,30
ezchip.com,30
endlessm.com,30
einfach.org,30
de.bosch.com,30
bjorling.me,30
arm.linux.org.uk,30
KARO-electronics.de,30
siemens.com,29
gibson.dropbear.id.au,29
mit.edu,28
fami-braun.de,28
hp.com,25
marples.name,24
koconnor.net,24
ite.com.tw,24
elecsyscorp.com,23
tycoint.com,21
sandeen.net,21
rustcorp.com.au,21
pqgruber.com,21
paulk.fr,21
mork.no,21
libc.org,21
lge.com,21
vectorindia.org,20
vanmierlo.com,20
topic.nl,20
techsingularity.net,20
stressinduktion.org,20
sipsolutions.net,20
sequanux.org,20
samba.org,20
russell.cc,20
rainbow-software.org,20
profitbricks.com,20
poochiereds.net,20
nifty.com,20
nexus-software.ie,20
networkplumber.org,20
netline.ch,20
mojatatu.com,20
maciej.szmigiero.name,20
lunn.ch,20
lightnvm.io,20
laposte.net,20
kryo.se,20
e-labworks.com,20
distanz.ch,20
bwalle.de,20
bradfordembedded.com,20
axentia.se,20
alphalink.fr,20
ZenIV.linux.org.uk,20
v3.sk,18
googlemail.com,16
debian.org,16
rutgers.edu,15
openvz.org,15
mjdsystems.ca,15
m4x.org,14
yahoo.com,13
spreadtrum.com,13
compulab.co.il,13
hotmail.com,12
yandex-team.ru,11
quantatw.com,11
nathanrossi.com,11
melfas.com,11
live.com,11
karolherbst.de,11
i-love.sakura.ne.jp,11
