Contributor,April 2016
intel.com,12613
gmail.com,4470
redhat.com,4040
linaro.org,3461
google.com,2325
nvidia.com,1827
kernel.org,1661
ti.com,1514
chromium.org,1438
linux-foundation.org,1391
amd.com,1384
davemloft.net,1301
samsung.com,1156
arm.com,1074
mellanox.com,1046
free-electrons.com,1013
arndb.de,958
chris-wilson.co.uk,937
suse.de,923
visionengravers.com,901
oracle.com,839
ibm.com,750
codeaurora.org,729
glider.be,721
suse.com,716
huawei.com,674
rock-chips.com,647
vmware.com,591
broadcom.com,569
fb.com,566
ideasonboard.com,552
nxp.com,504
osg.samsung.com,444
sntech.de,406
hovoldconsulting.com,400
infradead.org,393
marvell.com,365
strlen.de,361
mirantis.com,350
cisco.com,350
qca.qualcomm.com,341
whitecape.org,317
6wind.com,311
ffwll.ch,310
engestrom.ch,306
canonical.com,298
roeck-us.net,296
baylibre.com,290
pengutronix.de,286
st.com,282
collabora.com,279
openwrt.org,270
qlogic.com,254
verge.net.au,250
basnieuwenhuizen.nl,250
qti.qualcomm.com,249
anholt.net,245
atmel.com,242
telegraphics.com.au,240
savoirfairelinux.com,240
lixom.net,240
collabora.co.uk,240
synopsys.com,238
freedesktop.org,236
the-dreams.de,230
socionext.com,227
netronome.com,220
xilinx.com,216
agner.ch,211
linuxfoundation.org,203
goodmis.org,195
mleia.com,194
mediatek.com,193
linutronix.de,185
free.fr,183
unisys.com,180
lunn.ch,170
axentia.se,170
microsemi.com,160
chelsio.com,160
cavium.com,160
renesas.com,155
tieto.com,153
suse.cz,153
hpe.com,146
alum.mit.edu,142
stressinduktion.org,141
opensource.altera.com,140
bobcopeland.com,140
windriver.com,135
opensource.wolfsonmicro.com,134
poczta.fm,130
lechnology.com,130
KARO-electronics.de,130
denx.de,125
lip6.fr,123
cogentembedded.com,122
martin.sperl.org,120
googlemail.com,120
gmx.de,120
imgtec.com,116
sang-engineering.com,113
iogearbox.net,112
163.com,112
vanguardiasur.com.ar,110
lwfinger.net,110
igalia.com,110
herbertland.com,110
ellerman.id.au,110
ddn.com,110
atomide.com,110
cumulusnetworks.com,102
ericsson.com,101
zeniv.linux.org.uk,100
lst.de,100
gentoo.org,96
sandisk.com,92
ingics.com,92
ssi.samsung.com,90
queasysnail.net,90
netfilter.org,90
boundarydevices.com,90
timesys.com,88
users.sourceforge.net,86
narfation.org,81
goldelico.com,80
cs.technion.ac.il,80
alterapraxis.com,79
metafoo.de,72
jp.fujitsu.com,71
interlog.com,71
stgolabs.net,70
paul-moore.com,70
codeblueprint.co.uk,70
microchip.com,65
raptorengineeringinc.com,64
mit.edu,64
yandex-team.ru,62
wunner.de,62
xyratex.com,60
perches.com,60
nh6z.net,60
hitachi.com,60
hisilicon.com,60
barix.com,60
diasemi.com,58
paulk.fr,57
lge.com,55
ettus.com,54
coreboot.org,52
arm.linux.org.uk,52
virtuozzo.com,50
ragnatech.se,50
omnibond.com,50
hotmail.com,50
caviumnetworks.com,50
blala.de,50
axis.com,50
allworx.com,50
konsulko.com,48
