Contributor,November 2015
intel.com,8217
gmail.com,7084
redhat.com,2960
linux-foundation.org,2716
atmel.com,2332
google.com,1818
linaro.org,1806
chromium.org,1266
ibm.com,1138
huawei.com,1028
amd.com,1019
kernel.org,997
samsung.com,923
arndb.de,881
oracle.com,833
renesas.com,827
hovoldconsulting.com,800
nvidia.com,689
rainbow-software.org,594
arm.com,583
freescale.com,556
163.com,520
imgtec.com,515
broadcom.com,513
codeaurora.org,494
alum.mit.edu,480
osg.samsung.com,467
suse.de,452
davemloft.net,426
rock-chips.com,419
lip6.fr,405
suse.com,395
pmcs.com,385
glider.be,383
vmware.com,365
linbit.com,360
ti.com,342
holtmann.org,341
avagotech.com,308
collabora.com,293
lst.de,275
users.sourceforge.net,254
mellanox.com,250
whitecape.org,249
marvell.com,244
lab.ntt.co.jp,243
verge.net.au,231
raptorengineeringinc.com,230
fb.com,228
mediatek.com,225
pengutronix.de,224
bjorling.me,220
rasmusvillemoes.dk,216
free.fr,211
igalia.com,209
zeniv.linux.org.uk,204
apm.com,202
suse.cz,201
cumulusnetworks.com,198
iogearbox.net,197
openwrt.org,188
virtuozzo.com,187
linux-m68k.org,174
goodmis.org,168
lantiq.com,165
realtek.com,164
qca.qualcomm.com,164
opensource.wolfsonmicro.com,161
linutronix.de,161
tieto.com,160
infradead.org,160
cn.fujitsu.com,159
w1.fi,154
free-electrons.com,151
sang-engineering.com,149
qti.qualcomm.com,149
synopsys.com,147
qlogic.com,139
gmx.de,136
canonical.com,133
techsingularity.net,132
unisys.com,130
hitachi.com,122
nod.at,120
ffwll.ch,119
mleia.com,113
baylibre.com,108
anholt.net,108
denx.de,104
ericsson.com,102
eclipso.eu,99
cogentembedded.com,97
hpe.com,96
hisilicon.com,95
freedesktop.org,95
iki.fi,94
vanguardiasur.com.ar,92
ideasonboard.com,90
cmss.chinamobile.com,90
stressinduktion.org,88
decadent.org.uk,88
st.com,86
mungewell.org,82
wunner.de,81
codecoup.pl,80
users.sourceforge.jp,77
roeck-us.net,77
gentoo.org,74
metafoo.de,72
sntech.de,71
wytron.com.tw,70
coreboot.org,68
ieee.org,67
sequanux.org,66
rab.in,66
poochiereds.net,66
mork.no,66
akamai.com,66
wizery.com,65
hughsie.com,65
socionext.com,64
cisco.com,61
sonymobile.com,60
omnibond.com,60
ingics.com,60
codeblueprint.co.uk,60
chris-wilson.co.uk,57
spectralink.com,55
savoirfairelinux.com,55
distanz.ch,55
ah.jp.nec.com,55
xilinx.com,54
quantatw.com,54
linuxfoundation.org,54
ite.com.tw,54
ellerman.id.au,54
lunn.ch,53
arm.linux.org.uk,52
xs4all.nl,51
nwl.cc,51
yahoo.com,50
mirantis.com,50
posteo.de,45
mansr.com,45
googlemail.com,45
sandisk.com,44
queasysnail.net,44
netfilter.org,44
linux-mips.org,44
hurleysoftware.com,44
hotmail.com,44
primarydata.com,43
brocade.com,43
ZenIV.linux.org.uk,43
sakamocchi.jp,42
strlen.de,41
diasemi.com,41
silentcreek.de,40
opensource.se,40
chirality.org.uk,40
ispras.ru,39
i2se.com,35
axis.com,35
perches.com,34
xiaomi.com,33
sigma-star.at,33
schinagl.nl,33
profitbricks.com,33
nokia.com,33
mentor.com,33
ladisch.de,33
javigon.com,33
i-love.sakura.ne.jp,33
fromorbit.com,33
ce.jp.nec.com,33
blackhole.kfki.hu,33
atomide.com,33
konsulko.com,32
fire.lp0.eu,32
collabora.co.uk,32
s5r6.in-berlin.de,31
lge.com,31
koconnor.net,31
cea.fr,31
web.de,30
visteon.com,30
prevas.dk,30
plaes.org,30
mc2research.org,30
csie.org,30
animalcreek.com,30
altera.com,30
compulab.co.il,29
cmpxchg.org,27
metanate.com,26
yahoo.com.au,25
microsoft.com,24
keymile.com,23
citrix.com,23
yandex-team.ru,22
windriver.com,22
universe-factory.net,22
tum.de,22
ts.fujitsu.com,22
true.cz,22
stgolabs.net,22
ssi.bg,22
samba.org,22
rit.edu,22
neuling.org,22
mvista.com,22
ludd.ltu.se,22
linux.com,22
linux-iscsi.org,22
karolherbst.de,22
interlog.com,22
hartkopp.net,22
felipetonello.com,22
efficios.com,22
edkovsky.org,22
szeredi.hu,21
offog.org,21
networkplumber.org,21
hauke-m.de,21
gdsys.cc,21
fedoraproject.org,21
boombatower.com,21
tdt.de,20
riseup.net,20
nelint.com,20
jp.fujitsu.com,20
iro.umontreal.ca,20
hp.com,20
debethencourt.com,20
cray.com,20
analog.com,20
alphalink.fr,20
mail.parknet.co.jp,15
bitplanet.net,15
openvz.org,14
opensource.altera.com,14
a1ca3aef-8c08-0410-bb20-df032aa958be,14
kamp.de,13
debian.org,13
tycho.nsa.gov,12
tuxdriver.com,12
secunet.com,12
se-eng.com,12
nuvoton.com,12
dell.com,12
canb.auug.org.au,12
zx2c4.com,11
zombino.com,11
zankel.net,11
yandex.ru,11
wanadoo.fr,11
unissoft-nj.com,11
solarflare.com,11
sevenbyte.org,11
rohde-schwarz.com,11
podlesie.net,11
plexistor.com,11
pid1solutions.com,11
parisc-linux.org,11
opengridcomputing.com,11
novalis.org,11
netapp.com,11
nacc,11
mobileactivedefense.com,11
mina86.com,11
micron.com,11
mblankhorst.nl,11
matheina.com,11
martin.sperl.org,11
marirs.net.in,11
manchmal.in-ulm.de,11
lwn.net,11
lwfinger.net,11
lixom.net,11
linux-powerpc.org,11
licor.com,11
libc.org,11
lemote.com,11
labbott.name,11
kudzu.us,11
jcornwall.me,11
inai.de,11
ilande.co.uk,11
hostmobility.com,11
gondor.apana.org.au,11
gmx.com,11
gateworks.com,11
garmin.com,11
fr.zoreil.com,11
ezchip.com,11
ettus.com,11
endocode.com,11
electromag.com.au,11
codyps.com,11
chelsio.com,11
ccbib.org,11
caviumnetworks.com,11
c-s.fr,11
bytheb.org,11
brown.name,11
benjojo.co.uk,11
aurel32.net,11
aristanetworks.com,11
arista.com,11
alliedtelesis.co.nz,11
aleksander.es,11
aksignal.cz,11
Odin.com,11
I-love.SAKURA.ne.jp,11
Dell.com,11
yasker.org,10
xmission.com,10
wolfsonmicro.com,10
vivier.eu,10
visionengravers.com,10
vdwaa.nl,10
trash.net,10
timesys.com,10
teenage.engineering,10
sigmadesigns.com,10
outlook.com,10
osadl.org,10
mveas.com,10
micile.com,10
linuxhacker.ru,10
laposte.net,10
kabsi.at,10
hofr.at,10
hardkernel.com,10
gridpoint.com,10
gmx.at,10
firehol.org,10
deviousops.nl,10
das-labor.org,10
coreos.com,10
bull.net,10
aziraphale.net,10
au1.ibm.com,10
ao2.it,10
amarulasolutions.com,10
adirat.com,10
ab.jp.nec.com,10
ravellosystems.com,9
kollasch.net,8
felixheld.de,8
spaceteq.co.za,7
armitage.org.uk,7
Apache.Org,7
zamaudio.com,6
weilnetz.de,6
siemens.com,6
sartura.hr,6
ossystems.com.br,6
jlekstrand.net,6
georgi-clan.de,6
fairchildsemi.com,6
wolfpond.org,5
sigluy.net,5
sfr.fr,5
majess.pl,5
christian.koenig,5
asus.com,5
aribaud.net,5
apple.com,5
nathanrossi.com,4
gaisler.com,4
elecsyscorp.com,4
csr.com,4
candelatech.com,4
vidarholen.net,3
parallels.com,3
openedev.com,3
bobcopeland.com,3
android.com,3
semihalf.com,2
rempel-privat.de,2
ozlabs.ru,2
no-log.org,2
mtjm.eu,2
lynxeye.de,2
hrz.tu-chemnitz.de,2
fe80.eu,2
djasper,2
blackhole.sk,2
alterapraxis.com,2
1wt.eu,2
wwwdotorg.org,1
tycoint.com,1
twiddle.net,1
toradex.com,1
synaptics.com,1
smarttech.com,1
sipsolutions.net,1
sandeen.net,1
rustcorp.com.au,1
rowland.harvard.edu,1
reactos.org,1
ptsecurity.com,1
powercraft.nl,1
pku.edu.cn,1
pebble.com,1
oevsv.at,1
neratec.com,1
mit.edu,1
mielczarek.org,1
math.uni-bielefeld.de,1
laoqinren.net,1
kirriwa.net,1
jsg.id.au,1
ithaier.com,1
inbox.ru,1
heimpold.de,1
gdsys.de,1
freebsd.org,1
fel.cvut.cz,1
farjump.io,1
f2light.com,1
euryecetelecom.com,1
