Contributor,March 2020
chromium.org,2247
google.com,1371
gmail.com,713
intel.com,620
collabora.com,554
amd.com,328
redhat.com,129
kernel.org,112
jlekstrand.net,109
realtek.com,95
igalia.com,93
ideasonboard.com,93
codeaurora.org,54
riseup.net,53
anholt.net,51
bitland.corp-partner.google.com,50
narfation.org,48
linaro.org,44
huawei.com,41
itsqueeze.com,38
oracle.com,37
suse.de,36
amazon.com,36
nxp.com,35
engestrom.ch,31
quanta.corp-partner.google.com,28
pnwbakers.com,28
ibm.com,28
renesas.com,27
noos.fr,27
web.de,26
canonical.com,25
ragnatech.se,24
suse.com,23
mniewoehner.de,22
compal.corp-partner.google.com,22
arm.com,21
jmondi.org,20
3mdeb.com,20
linuxfoundation.org,19
gmx.de,19
ti.com,18
9elements.com,18
suse.cz,17
intel.corp-partner.google.com,17
denx.de,17
virtuozzo.com,15
mediatek.com,15
marvell.com,15
fb.com,14
wanadoo.fr,12
schuermann.dev,12
pengutronix.de,12
mellanox.com,12
marek.ca,12
globallogic.com,12
cumulusnetworks.com,12
broadcom.com,12
baylibre.com,12
dell.corp-partner.google.com,11
de.adit-jv.com,11
nvidia.com,10
molgen.mpg.de,10
mforney.org,10
linux-foundation.org,10
ite.com.tw,10
freedesktop.org,10
alum.mit.edu,10
secunet.com,9
amd.corp-partner.google.com,9
the-dreams.de,8
socionext.com,8
quantenna.com,8
paul-moore.com,8
linux.alibaba.com,8
holtmann.org,8
goodmis.org,8
es.iitr.ac.in,8
cisco.com,8
zeniv.linux.org.uk,7
siol.net,7
samsung.com,7
opensource.cirrus.com,7
netfilter.org,7
mimoja.de,7
mentor.com,7
lca.pw,7
keemail.me,7
endlessm.com,7
yandex-team.ru,6
vmware.com,6
st.com,6
mork.no,6
microchip.com,6
joelfernandes.org,6
infradead.org,6
c0d3.blue,6
aheymans.xyz,6
zurich.ibm.com,5
solarflare.com,5
linutronix.de,5
danwin1210.me,5
atomide.com,5
ami.corp-partner.google.com,5
xs4all.nl,4
synopsys.com,4
silicom-usa.com,4
samsung.corp-partner.google.com,4
quantatw.com,4
nure.ua,4
nokia.com,4
mvista.com,4
metafoo.de,4
makrotopia.org,4
mail.parknet.co.jp,4
laas.fr,4
kiwitree.net,4
kde.org,4
horus.com,4
gerhold.net,4
geanix.com,4
fortanix.com,4
embeddedor.com,4
eltan.com,4
cyphar.com,4
chris-wilson.co.uk,4
brkho.com,4
basnieuwenhuizen.nl,4
akamai.com,4
wiwynn.com,3
users.sourceforge.net,3
ubuntu.com,3
techsingularity.net,3
sylv.io,3
strlen.de,3
sina.com,3
sang-engineering.com,3
posteo.net,3
oxplot.com,3
onstation.org,3
novotny.cz,3
ni.com,3
neomailbox.ch,3
mit.edu,3
microsoft.com,3
me.com,3
lst.de,3
hanno.de,3
gateworks.com,3
ellerman.id.au,3
cmss.chinamobile.com,3
citrix.com,3
chelsio.com,3
accesio.com,3
wdc.com,2
universe-factory.net,2
triplefau.lt,2
toradex.com,2
thefoundry.co.uk,2
tencent.com,2
sifive.com,2
rere.qmqm.pl,2
puri.sm,2
perches.com,2
openmesh.com,2
open-mesh.com,2
ntdev.microsoft.com,2
nbd.name,2
mattea.info,2
lunn.ch,2
lcfc.corp-partner.google.com,2
labau.com.tw,2
kernel.dk,2
imkreisrum.de,2
gmx.net,2
genesyslogic.com.tw,2
foundry.com,2
ffwll.ch,2
ens-lyon.org,2
emc.com.tw,2
duncanhopkins.me.uk,2
davemloft.net,2
das-labor.org,2
d-silva.org,2
cjr.nz,2
chrisdown.name,2
ch1p.io,2
ch1p.com,2
canb.auug.org.au,2
bootlin.com,2
axtens.net,2
archlinux.org,2
aosc.io,2
alliedtelesis.co.nz,2
zx2c4.com,1
xfbs.net,1
xanderlent.com,1
wunner.de,1
weave.works,1
walle.cc,1
w1.fi,1
ualberta.ca,1
true.cz,1
system76.com,1
synaptics.com,1
speed47.net,1
simonwunderlich.de,1
rock-chips.com,1
perex.cz,1
pegatron.corp-partner.google.com,1
opensynergy.com,1
online.net,1
octaforge.org,1
nuvoton.corp-partner.google.com,1
maximintegrated.com,1
malat.biz,1
mailbox.org,1
linux-m68k.org,1
lightbitslabs.com,1
kresin.me,1
kontron.de,1
kevlo.org,1
kernel.wtf,1
hotmail.com,1
habana.ai,1
grimberg.me,1
ghiti.fr,1
flowbird.group,1
emright.corp-partner.google.com,1
darmstadt.ccc.de,1
cs.uga.edu,1
credativ.de,1
crapouillou.net,1
codecoup.pl,1
celeno.com,1
arndb.de,1
analogixsemi.com,1
analog.com,1
