Contributor,July 2018
gmail.com,6396
intel.com,5565
amd.com,4556
redhat.com,3744
google.com,2800
chromium.org,2332
ibm.com,2286
mellanox.com,2208
linaro.org,2069
arm.com,2022
bootlin.com,1677
huawei.com,1336
kernel.org,1229
codeaurora.org,1168
suse.de,1101
linux-foundation.org,963
canonical.com,928
davemloft.net,918
oracle.com,895
nxp.com,827
baylibre.com,770
lixom.net,714
chris-wilson.co.uk,663
wdc.com,636
arndb.de,544
embeddedor.com,542
collabora.com,517
netronome.com,483
anholt.net,472
lst.de,423
pengutronix.de,418
renesas.com,407
fb.com,391
socionext.com,379
mediatek.com,359
infradead.org,352
vmware.com,333
microchip.com,322
linutronix.de,319
zeniv.linux.org.uk,318
ti.com,309
st.com,309
zonque.org,308
kernel.crashing.org,308
linuxfoundation.org,293
synopsys.com,244
cavium.com,244
glider.be,242
strlen.de,241
agner.ch,237
igalia.com,213
ffwll.ch,212
suse.com,209
cisco.com,207
nvidia.com,191
marvell.com,189
xilinx.com,179
gmx.net,177
broadcom.com,177
networkplumber.org,171
jmondi.org,168
tronnes.org,167
nordicsemi.no,163
wunner.de,157
samsung.com,157
iogearbox.net,144
milecki.pl,142
axentia.se,140
mentor.com,133
chelsio.com,133
joelfernandes.org,129
microsoft.com,127
osadl.org,126
siol.net,125
xmission.com,123
riseup.net,123
mips.com,123
zte.com.cn,119
solarflare.com,119
sang-engineering.com,119
cogentembedded.com,119
bitwise.fi,118
amarulasolutions.com,117
mit.edu,115
cumulusnetworks.com,113
linux-m68k.org,112
atomide.com,112
rock-chips.com,111
tobin.cc,105
lab.ntt.co.jp,105
c-s.fr,105
googlemail.com,99
telegraphics.com.au,98
lunn.ch,91
decadent.org.uk,91
hammerspace.com,90
roeck-us.net,88
ozlabs.ru,86
kvaser.com,84
nbd.name,81
debian.org,81
goodmis.org,80
virtuozzo.com,78
gmx.de,77
ellerman.id.au,77
nokia.com,74
9elements.com,74
toke.dk,73
ideasonboard.com,73
ispras.ru,71
the-dreams.de,70
redpinesignals.com,70
toradex.com,69
queasysnail.net,65
lucaceresoli.net,64
xs4all.nl,63
synaptics.com,63
konsulko.com,63
itdev.co.uk,63
aleksander.es,63
hisilicon.com,60
daitauha.fr,60
amsat.org,60
epam.com,59
users.sourceforge.net,58
gentoo.org,57
basnieuwenhuizen.nl,57
ragnatech.se,56
ericsson.com,56
cera.cz,56
andestech.com,56
suse.cz,53
i2se.com,52
felixheld.de,50
web.de,49
surriel.com,49
kiener-muenchen.de,49
jms.id.au,49
efficios.com,49
d-silva.org,49
aosc.io,49
whitecape.org,48
lechnology.com,48
ite.com.tw,48
das-labor.org,48
codethink.co.uk,47
analog.com,47
tkos.co.il,46
peak-system.com,45
chronox.de,45
csie.org,43
sntech.de,42
opensource.cirrus.com,42
lip6.fr,42
linux.alibaba.com,42
lenovo.com,42
jcline.org,42
grimberg.me,42
aquantia.com,42
alliedtelesis.co.nz,42
realtek.com,41
campus.tu-berlin.de,40
pnwbakers.com,39
posteo.de,38
netfilter.org,37
toxicpanda.com,36
sifive.com,36
paulo.ac,35
mleia.com,35
metafoo.de,35
lineageos.org,35
lightnvm.io,35
hanno.de,35
fau.de,35
crapouillou.net,35
collabora.co.uk,35
cn.fujitsu.com,35
cadence.com,35
bp.renesas.com,35
bgdev.pl,35
benyossef.com,35
bayhubtech.com,35
angband.pl,35
alphalink.fr,35
I-love.SAKURA.ne.jp,35
itsqueeze.com,32
aheymans.xyz,32
molgen.mpg.de,31
dev.mellanox.co.il,31
rutgers.edu,30
noos.fr,30
jlekstrand.net,30
neuling.org,29
antmicro.com,29
tzimmermann.org,28
tuxera.com,28
opensource.se,28
novotny.cz,28
narfation.org,28
gmx.com,28
edited.us,28
ddn.com,28
datenfreihafen.org,28
codewreck.org,28
perches.com,27
mess.org,27
endlessm.com,27
yandex.ru,25
ssi.bg,25
nextdimension.cc,25
lemote.com,25
ni.com,24
maciej.szmigiero.name,24
quantatw.com,23
infinera.com,23
free.fr,23
foxmail.com,23
compal.corp-partner.google.com,22
verge.net.au,21
silex-india.com,21
partner.samsung.com,21
kaod.org,21
it-klinger.de,21
h-hofmeier.de,21
goldelico.com,21
geekplace.eu,21
emtrion.com,21
de.adit-jv.com,21
cybernetics.com,21
boundarydevices.com,21
arista.com,21
amlogic.com,21
imgtec.com,20
denx.de,20
allied-telesis.co.jp,20
rowland.harvard.edu,19
oticon.com,19
iki.fi,19
v3.sk,18
stgolabs.net,18
pados.hu,18
opengridcomputing.com,18
hpe.com,18
dell.com,18
sony.com,17
micronovasrl.com,17
ens-lyon.org,17
axis.com,17
quanta.corp-partner.google.com,16
codecoup.pl,16
qq.com,15
lge.com,15
alien8.de,15
ysoft.com,14
tsunix.de,14
theobroma-systems.com,14
rasmusvillemoes.dk,14
quantenna.com,14
paul-moore.com,14
ozlabs.org,14
outlook.com,14
openwrt.org,14
onstation.org,14
mojatatu.com,14
micron.com,14
metanate.com,14
lwn.net,14
loewensteinmedical.de,14
live.ca,14
linux.com,14
kresin.me,14
kernel.dk,14
interlog.com,14
intenta.de,14
iluvatar.ai,14
hohndel.org,14
gouders.net,14
free-electrons.com,14
fi.rohmeurope.com,14
fastmail.com,14
dominion.thruhere.net,14
digi.com,14
baidu.com,14
areca.com.tw,14
aol.com,14
amazon.co.uk,14
Red54.com,14
vidarholen.net,13
oevsv.at,13
nod.at,13
eik.bme.hu,13
aurel32.net,13
nuvoton.com,12
kaiser.cx,12
gibson.dropbear.id.au,12
ami.corp-partner.google.com,12
universe-factory.net,11
prevas.dk,11
ossystems.com.br,11
mail.parknet.co.jp,11
linbit.com,11
foundries.io,11
fe80.eu,11
emlix.com,11
emc.com.tw,11
163.com,11
wanadoo.fr,10
vivier.eu,10
telemotive.de,10
insomniasec.com,10
hxt-semitech.com,10
dronecode.org.uk,10
displaylink.com,10
bernat.im,10
alum.mit.edu,10
ZenIV.linux.org.uk,10
126.com,10
krauser.org,9
sweptlaser.com,8
s-opensource.com,8
lynxeye.de,8
gondor.apana.org.au,8
datacom.ind.br,8
weave.works,7
wacom.com,7
vt.edu,7
vip.163.com,7
viewizard.com,7
vaga.pv.it,7
ucw.cz,7
ucsc.edu,7
ucr.edu,7
tycho.ws,7
tuxdriver.com,7
tribudubois.net,7
taedcke.com,7
streamunlimited.com,7
spreadtrum.com,7
soulik.info,7
sonymobile.com,7
solid-run.com,7
skyboo.net,7
sigma-chemnitz.de,7
siemens.com,7
shmanahar.org,7
sargun.me,7
sandeen.net,7
ruijie.com.cn,7
purestorage.com,7
public-files.de,7
protonmail.com,7
popple.id.au,7
polito.it,7
piap.pl,7
phytec.de,7
phrozen.org,7
paulk.fr,7
ovn.org,7
oss-tech.org,7
opensourcefoundries.com,7
openmesh.com,7
olimex.com,7
nsn.com,7
nocrew.org,7
monstr.eu,7
microsemi.com,7
markrailton.com,7
makelinux.com,7
ltec.ch,7
linux-mips.org,7
lakedaemon.net,7
kolodziej.it,7
kepstin.ca,7
kde.org,7
jrtc27.com,7
jp.fujitsu.com,7
infodas.de,7
infineon.com,7
impinj.com,7
ieee.org,7
hp.com,7
hotmail.de,7
holtmann.org,7
higon.com,7
heimpold.de,7
hauke-m.de,7
hansmi.ch,7
globallogic.com,7
fds-team.de,7
exceet.de,7
emersion.fr,7
elte.hu,7
elisp.net,7
ele0n.de,7
dtbo.net,7
didichuxing.com,7
diasemi.com,7
dh-electronics.de,7
devialet.com,7
deif.com,7
collogia.de,7
cnexlabs.com,7
cn.bosch.com,7
cmpxchg.org,7
canb.auug.org.au,7
bu.edu,7
bitland.corp-partner.google.com,7
au1.ibm.com,7
atmel.com,7
astrosoft.ru,7
armadeus.com,7
android.com,7
alcatel-sbell.com.cn,7
airtame.com,7
aepfle.de,7
MakeLinux.com,7
1wt.eu,7
vaisala.com,6
ubuntu.com,6
sebastianbauer.info,6
maximintegrated.com,6
linux.org.tw,6
hughsie.com,6
feralinteractive.com,6
analogixsemi.com,6
3mdeb.com,6
unixzen.com,5
raptorengineering.com,5
openbsd.org,5
nyekjaer.dk,5
compulab.co.il,5
besd.de,5
yandex-team.ru,4
silverbackltd.com,4
saltedge.com,4
proglove.de,4
offog.org,4
mvista.com,4
joshuajhill.com,4
inf.u-szeged.hu,4
ilande.co.uk,4
helsinki.fi,4
freedesktop.org,4
eltan.com,4
eggers-club.de,4
coreboot.org,4
allworx.com,4
4ever3.net,4
ziemianowicz.com,3
weilnetz.de,3
voidlinux.eu,3
vitec.com,3
users.noreply.github.com,3
tado.com,3
keithp.com,3
innovation.ch,3
in04.sg,3
easystack.cn,3
concurrent-rt.com,3
clage.de,3
cirrus.com,3
caviumnetworks.com,3
braap.org,3
asus.com,3
amd.corp-partner.google.com,3
ah.jp.nec.com,3
tolkien.email,2
systec-electronic.com,2
softathome.com,2
secunet.com,2
scarletltd.com,2
savoirfairelinux.com,2
nicorikken.eu,2
kylehuey.com,2
kamp.de,2
hug.cx,2
hadess.net,2
freebsd.org,2
digikod.net,2
cesar.org.br,2
arm.linux.org.uk,2
6wind.com,2
xevo.com,1
valvesoftware.com,1
unisoc.com,1
tycho.nsa.gov,1
trimble.com,1
tls.msk.ru,1
the-tk.com,1
telecommunity.com,1
t-online.hu,1
strongswan.org,1
stressinduktion.org,1
sis.corp-partner.google.com,1
sandisk.com,1
resin.io,1
qualcomm.corp-partner.google.com,1
qti.qualcomm.com,1
puri.sm,1
prosauce.org,1
pdx.edu,1
opera.com,1
nwl.cc,1
nic.cz,1
mork.no,1
massaru.org,1
mail.ru,1
loongson.cn,1
logitech.com,1
ledcity.ch,1
koconnor.net,1
janustech.com,1
ispace-inc.com,1
guarana.org,1
gdsys.cc,1
fitzsim.org,1
fengch.me,1
fedoraproject.org,1
elektrobit.com,1
einval.com,1
digitalocean.com,1
de.bosch.com,1
daynix.com,1
cmss.chinamobile.com,1
brixandersen.dk,1
azcomtech.com,1
arcor.de,1
amazon.com,1
aj.id.au,1
adacore.com,1
Arm.com,1
