Contributor,February 2019
intel.com,5501
whitecape.org,3876
gmail.com,3048
chromium.org,2567
google.com,2149
redhat.com,2062
amd.com,1675
linaro.org,1182
mellanox.com,947
arm.com,817
huawei.com,711
kernel.org,690
ibm.com,604
codeaurora.org,503
oracle.com,502
suse.de,496
davemloft.net,430
nxp.com,417
lst.de,376
arndb.de,373
linux-foundation.org,371
bootlin.com,368
embeddedor.com,332
baylibre.com,325
nordicsemi.no,323
nvidia.com,281
collabora.com,280
ti.com,274
canonical.com,271
chris-wilson.co.uk,267
suse.com,249
microchip.com,241
rosenzweig.io,235
linuxfoundation.org,222
mediatek.com,215
renesas.com,203
c-s.fr,203
anholt.net,198
roeck-us.net,190
w1.fi,182
acm.org,179
synopsys.com,176
zte.com.cn,175
st.com,170
samsung.com,165
socionext.com,157
fb.com,149
basnieuwenhuizen.nl,135
marvell.com,133
netronome.com,127
broadcom.com,127
ingics.com,117
xs4all.nl,115
free.fr,112
itsqueeze.com,111
mips.com,110
igalia.com,108
gmx.de,108
csie.org,100
denx.de,99
infradead.org,97
opensource.cirrus.com,94
ffwll.ch,88
wdc.com,87
lwfinger.net,87
nbd.name,86
googlemail.com,85
xilinx.com,84
alum.mit.edu,84
virtuozzo.com,82
linutronix.de,82
pengutronix.de,81
v3.sk,78
hammerspace.com,78
narfation.org,74
debian.org,74
netfilter.org,73
microsoft.com,67
bp.renesas.com,65
hughsie.com,63
mvista.com,61
ideasonboard.com,61
vmware.com,60
gmx.com,60
suse.cz,59
glider.be,59
lunn.ch,58
i2se.com,58
strlen.de,56
hisilicon.com,56
ellerman.id.au,55
sang-engineering.com,54
lab.ntt.co.jp,53
wunner.de,51
umn.edu,51
crapouillou.net,51
osadl.org,50
dell.com,50
chelsio.com,49
onstation.org,48
marek.ca,47
mleia.com,45
noos.fr,44
globallogic.com,43
cogentembedded.com,43
toxicpanda.com,42
sony.com,42
huaqin.corp-partner.google.com,42
konsulko.com,41
jmondi.org,41
zeniv.linux.org.uk,40
xmission.com,40
stgolabs.net,40
ragnatech.se,39
milecki.pl,39
iogearbox.net,39
iki.fi,38
aheymans.xyz,38
quantenna.com,37
riseup.net,36
opengridcomputing.com,36
kaod.org,36
aurel32.net,36
android.com,36
oticon.com,35
cn.fujitsu.com,35
agner.ch,35
who-t.net,34
baidu.com,33
hotmail.com,32
realtek.com,31
gondor.apana.org.au,31
citrix.com,31
I-love.SAKURA.ne.jp,31
tronnes.org,30
kernel.dk,30
pnwbakers.com,28
ispras.ru,28
gmx.net,28
foundries.io,28
linux.alibaba.com,27
kemnade.info,27
analog.com,27
kernel.crashing.org,26
sifive.com,25
lip6.fr,25
hpe.com,25
deltatee.com,25
scratchpost.org,24
redpinesignals.com,24
partner.samsung.com,24
cumulusnetworks.com,24
compal.corp-partner.google.com,24
ucloud.cn,23
ozlabs.ru,23
gentoo.org,23
wavecomp.com,22
unisoc.com,22
secunet.com,22
axis.com,22
ozlabs.org,21
nitk.edu.in,21
linbit.com,21
