Contributor,September 2015
gmail.com,11197
intel.com,9581
redhat.com,3413
linux-foundation.org,2255
linaro.org,2164
chromium.org,1972
kernel.org,1784
google.com,1706
samsung.com,1604
xmission.com,1562
atmel.com,1487
ti.com,1101
amd.com,1019
freescale.com,824
arm.com,788
free-electrons.com,756
ibm.com,738
imgtec.com,727
visionengravers.com,682
debethencourt.com,649
linuxhacker.ru,616
davemloft.net,616
broadcom.com,610
oracle.com,590
arm.linux.org.uk,571
huawei.com,564
pengutronix.de,544
igalia.com,533
perches.com,518
suse.de,490
codeaurora.org,487
arndb.de,451
microchip.com,418
mellanox.com,418
osg.samsung.com,397
vmware.com,396
infradead.org,363
nvidia.com,335
linuxfoundation.org,330
marvell.com,319
linutronix.de,313
suse.com,304
cumulusnetworks.com,297
alum.mit.edu,297
renesas.com,288
whitecape.org,286
lip6.fr,265
ffwll.ch,264
glider.be,257
toradex.com,242
hpe.com,230
hovoldconsulting.com,230
canonical.com,222
suse.cz,220
rab.in,220
goodmis.org,220
sakamocchi.jp,213
freedesktop.org,212
savoirfairelinux.com,211
primarydata.com,209
mev.co.uk,209
free.fr,209
apm.com,209
citrix.com,178
mleia.com,177
opensource.wolfsonmicro.com,176
linux-m68k.org,176
cogentembedded.com,176
163.com,176
mediatek.com,174
hotmail.com,174
gentoo.org,174
ingics.com,166
nokia.com,165
fb.com,165
iogearbox.net,154
w1.fi,148
herbertland.com,143
baylibre.com,142
metafoo.de,133
linux-mips.org,132
roeck-us.net,123
realtek.com,123
rasmusvillemoes.dk,121
parallels.com,121
visteon.com,110
tieto.com,110
openwrt.org,103
collabora.co.uk,103
socionext.com,92
csie.org,89
unisys.com,88
lge.com,88
atomide.com,88
chris-wilson.co.uk,86
kinvolk.io,85
virtuousgeek.org,78
hisilicon.com,78
yandex-team.ru,77
rainbow-software.org,77
nicira.com,77
lst.de,77
linux-iscsi.org,77
cavium.com,77
posteo.de,69
ideasonboard.com,67
denx.de,67
vanguardiasur.com.ar,66
sonymobile.com,66
schinagl.nl,66
mvista.com,66
lwn.net,66
hitachi.com,66
ellerman.id.au,66
csr.com,66
qca.qualcomm.com,65
emc.com.tw,65
math.uni-bielefeld.de,64
cn.fujitsu.com,64
holtmann.org,62
yahoo.com.au,60
qti.qualcomm.com,60
synopsys.com,56
gmx.de,56
wunner.de,55
wizery.com,55
numascale.com,55
lucaceresoli.net,55
lixom.net,55
ieee.org,55
emc.com,55
distanz.ch,55
chelsio.com,55
secunet.com,54
rock-chips.com,51
virtuozzo.com,50
axis.com,49
windriver.com,45
vdwaa.nl,45
users.sourceforge.net,45
efficios.com,45
xilinx.com,44
thejh.net,44
st.com,44
opensource.se,44
netfilter.org,44
hauke-m.de,44
gerhard-bertelsmann.de,44
bobcopeland.com,44
ah.jp.nec.com,44
twiddle.net,41
fe80.eu,39
mentor.com,37
riseup.net,35
lab.ntt.co.jp,35
ispras.ru,35
systec-electronic.com,34
decadent.org.uk,34
aurel32.net,34
verge.net.au,33
tuxdriver.com,33
strlen.de,33
stgolabs.net,33
sgi.com,33
ru.ibm.com,33
openmailbox.org,33
odin.com,33
networkplumber.org,33
mit.edu,33
mirantis.com,33
linux.com,33
leenox.de,33
jp.fujitsu.com,33
iki.fi,33
googlemail.com,33
gondor.apana.org.au,33
gatech.edu,33
ezchip.com,33
diasemi.com,33
cray.com,33
altera.com,33
alliedtelesis.co.nz,33
agner.ch,33
ite.com.tw,30
siemens.com,28
bitplanet.net,26
au1.ibm.com,26
fedoraproject.org,25
nuvoton.com,24
sntech.de,23
openvz.org,23
lunn.ch,23
konsulko.com,23
debian.org,23
yahoo.com,22
xs4all.nl,22
wanadoo.fr,22
ultimaker.com,22
twibright.com,22
toshiba-tops.co.jp,22
sf-tec.de,22
seagate.com,22
qlogic.com,22
plumgrid.com,22
plaes.org,22
openwall.com,22
opengridcomputing.com,22
openedev.com,22
nwl.cc,22
nod.at,22
ni.com,22
martin.sperl.org,22
maciej.szmigiero.name,22
m4x.org,22
i2se.com,22
hp.com,22
goldelico.com,22
gmx.at,22
fr.zoreil.com,22
felipetonello.com,22
endlessm.com,22
elopez.com.ar,22
dave.eu,22
canb.auug.org.au,22
c-s.fr,22
bytheb.org,22
austad.us,22
