Contributor,March 2018
intel.com,8023
gmail.com,5502
redhat.com,3926
amd.com,2790
google.com,2774
chromium.org,2319
kernel.org,2120
linaro.org,1926
mellanox.com,1883
arndb.de,1514
ibm.com,1199
bootlin.com,1176
arm.com,1175
suse.com,1158
davemloft.net,1127
oracle.com,1120
huawei.com,1078
linux-foundation.org,974
codeaurora.org,873
socionext.com,727
nxp.com,724
canonical.com,619
virtuozzo.com,593
cavium.com,549
st.com,543
samsung.com,534
synopsys.com,531
s-opensource.com,518
ti.com,514
suse.de,507
rock-chips.com,476
microchip.com,462
mediatek.com,450
baylibre.com,440
chris-wilson.co.uk,431
lst.de,406
vmware.com,405
infradead.org,388
nvidia.com,374
collabora.com,361
anholt.net,327
glider.be,316
tamalin.org,315
wdc.com,283
linutronix.de,275
netronome.com,273
gmx.net,273
jmondi.org,266
embeddedor.com,262
pengutronix.de,261
nextdimension.cc,259
fb.com,249
users.sourceforge.net,242
itsqueeze.com,229
zeniv.linux.org.uk,225
igalia.com,215
ellerman.id.au,206
chelsio.com,206
gmx.de,205
renesas.com,202
broadcom.com,201
xilinx.com,190
linuxfoundation.org,183
bgdev.pl,182
debian.org,181
networkplumber.org,179
microsoft.com,174
ozlabs.org,168
onstation.org,168
googlemail.com,161
atomide.com,161
strlen.de,157
realtek.com,156
lechnology.com,155
xmission.com,154
sony.com,154
iki.fi,153
cnexlabs.com,147
pnwbakers.com,145
web.de,142
hpe.com,142
csie.org,130
iogearbox.net,129
basnieuwenhuizen.nl,125
cisco.com,121
perches.com,119
mojatatu.com,119
agner.ch,119
cogentembedded.com,116
wanadoo.fr,115
siol.net,115
marvell.com,112
ericsson.com,112
gentoo.org,111
lunn.ch,109
roeck-us.net,108
toradex.com,106
imgtec.com,106
linux-mips.org,105
ispras.ru,101
goodmis.org,98
CARNet.hr,98
axis.com,97
netfilter.org,94
ideasonboard.com,94
opengridcomputing.com,91
ashoka.edu.in,91
collabora.co.uk,88
osg.samsung.com,87
codecoup.pl,87
telegraphics.com.au,85
openwrt.org,84
lightnvm.io,84
nordicsemi.no,82
linux-m68k.org,81
wunner.de,79
hisilicon.com,79
solarflare.com,77
mess.org,77
aosc.io,77
mips.com,76
tencent.com,74
jms.id.au,73
c-s.fr,73
bp.renesas.com,73
whitecape.org,71
lab.ntt.co.jp,66
au1.ibm.com,66
linux.alibaba.com,63
dell.com,63
dominikbrodowski.net,62
cumulusnetworks.com,57
neuling.org,56
axentia.se,56
secunet.com,55
aquantia.com,55
compal.corp-partner.google.com,52
kresin.me,51
cn.fujitsu.com,51
siemens.com,50
mit.edu,49
lkamp.de,49
jp.fujitsu.com,49
ffwll.ch,49
c0d3.blue,49
benyossef.com,49
axtens.net,49
alliedtelesis.co.nz,49
ubuntu.com,48
sifive.com,48
andestech.com,48
konsulko.com,46
zte.com.cn,45
sang-engineering.com,45
mvista.com,44
qti.qualcomm.com,43
ni.com,43
i2se.com,42
endlessm.com,39
suse.cz,38
gondor.apana.org.au,38
diasemi.com,38
analog.com,38
amarulasolutions.com,38
xs4all.nl,35
tycho.nsa.gov,35
topic.nl,35
ozlabs.ru,35
milecki.pl,35
campus.tu-berlin.de,35
posteo.de,33
marel.com,33
denx.de,33
android.com,33
riseup.net,32
rasmusvillemoes.dk,32
amsat.org,32
stgolabs.net,31
primarydata.com,31
microsemi.com,31
tkos.co.il,29
lucaceresoli.net,29
free-electrons.com,29
universe-factory.net,28
tobin.cc,28
