Contributor,December 2017
intel.com,98648
gmail.com,91079
redhat.com,45556
amd.com,42884
google.com,37198
chromium.org,28452
kernel.org,24194
linux-foundation.org,22003
linaro.org,21091
ibm.com,19236
mellanox.com,16009
arm.com,13833
davemloft.net,13255
oracle.com,12746
chris-wilson.co.uk,10928
arndb.de,10374
suse.de,9532
canonical.com,9426
free-electrons.com,8874
ti.com,8523
suse.com,8251
huawei.com,8190
nxp.com,7731
codeaurora.org,7349
cavium.com,7116
lst.de,7115
fb.com,6325
broadcom.com,6134
imgtec.com,5955
rock-chips.com,5724
collabora.com,5694
samsung.com,5550
s-opensource.com,5476
renesas.com,4987
infradead.org,4864
socionext.com,4738
nvidia.com,4659
linutronix.de,4627
pengutronix.de,4248
netronome.com,4234
baylibre.com,4216
users.sourceforge.net,4058
mediatek.com,3899
glider.be,3893
zeniv.linux.org.uk,3830
st.com,3793
suse.cz,3757
embeddedor.com,3533
linuxfoundation.org,3415
realtek.com,3389
vmware.com,3252
ffwll.ch,3211
unisys.com,3117
lixom.net,3087
savoirfairelinux.com,2761
ideasonboard.com,2720
itsqueeze.com,2584
whitecape.org,2582
igalia.com,2547
synopsys.com,2461
lip6.fr,2418
anholt.net,2400
wdc.com,2396
osg.samsung.com,2257
csie.org,2203
sandisk.com,2080
googlemail.com,2079
qca.qualcomm.com,2021
strlen.de,2005
ellerman.id.au,1995
microsoft.com,1956
networkplumber.org,1948
chelsio.com,1754
benyossef.com,1747
wanadoo.fr,1685
gmx.de,1667
atomide.com,1658
tobin.cc,1647
goodmis.org,1642
basnieuwenhuizen.nl,1615
microchip.com,1612
cisco.com,1609
primarydata.com,1575
roeck-us.net,1574
gmx.net,1572
iogearbox.net,1523
kernel.crashing.org,1518
marvell.com,1510
cumulusnetworks.com,1484
tronnes.org,1478
collabora.co.uk,1377
grimberg.me,1336
cogentembedded.com,1323
sakamocchi.jp,1283
ozlabs.org,1276
cn.fujitsu.com,1274
bp.renesas.com,1268
mess.org,1263
microsemi.com,1191
linux-m68k.org,1169
perches.com,1163
sang-engineering.com,1146
android.com,1136
distanz.ch,1099
verge.net.au,1091
qti.qualcomm.com,1084
hisilicon.com,1035
xilinx.com,1033
virtuozzo.com,1003
milecki.pl,970
c-s.fr,917
lunn.ch,914
i2se.com,913
alum.mit.edu,913
kempniu.pl,907
aosc.io,907
pnwbakers.com,832
lwfinger.net,790
windriver.com,781
hpe.com,780
axentia.se,761
kernel.dk,757
mev.co.uk,753
solarflare.com,738
163.com,734
hughsie.com,732
konsulko.com,723
xs4all.nl,714
aosc.xyz,700
opensource.wolfsonmicro.com,697
secunet.com,661
kaod.org,657
sntech.de,653
denx.de,652
the-dreams.de,651
siemens.com,646
dell.com,644
hotmail.com,642
iki.fi,640
w1.fi,639
ericsson.com,639
netfilter.org,614
stgolabs.net,589
amarulasolutions.com,581
apm.com,577
lightnvm.io,571
lge.com,569
axis.com,569
aleksander.es,569
bgdev.pl,567
nordicsemi.no,561
sony.com,560
Netapp.com,549
alliedtelesis.co.nz,542
lechnology.com,533
ragnatech.se,531
deltatee.com,531
quantenna.com,517
gondor.apana.org.au,508
linux-iscsi.org,507
phrozen.org,506
alphalink.fr,503
tuxera.com,501
xmission.com,499
aj.id.au,499
endlessm.com,498
opensource.se,494
zx2c4.com,474
linux-mips.org,472
atmel.com,465
jms.id.au,459
gentoo.org,454
aquantia.com,453
wunner.de,449
narfation.org,448
holtmann.org,448
ozlabs.ru,442
ispras.ru,438
lwn.net,432
rowland.harvard.edu,430
cnexlabs.com,421
ni.com,420
theobroma-systems.com,418
rwth-aachen.de,418
onstation.org,418
mvista.com,418
agner.ch,415
skynet.be,414
mit.edu,414
nuvoton.com,412
amazon.com,406
mentor.com,404
telegraphics.com.au,403
nikanor.nu,402
mojatatu.com,398
metanate.com,398
ovn.org,389
aheymans.xyz,385
quantatw.com,383
cmss.chinamobile.com,379
toxicpanda.com,364
m3y3r.de,364
spreadtrum.com,358
decadent.org.uk,357
mips.com,353
cmpxchg.org,353
crowfest.net,350
twiddle.net,346
queasysnail.net,334
altlinux.org,325
hardeman.nu,318
codecoup.pl,317
jmondi.org,313
electromag.com.au,312
ikuai8.com,311
yandex-team.ru,308
jlekstrand.net,308
caviumnetworks.com,303
digikod.net,300
debian.org,300
lse.epita.fr,298
gibson.dropbear.id.au,297
zte.com.cn,296
sixbynine.org,286
metafoo.de,280
egil-hjelmeland.no,278
citrix.com,278
networkimprov.net,276
6wind.com,268
omnibond.com,265
boundarydevices.com,264
m4x.org,262
didichuxing.com,261
matheina.com,260
chronox.de,260
dowhile0.org,258
rere.qmqm.pl,257
free.fr,257
