Contributor,December 2018
intel.com,64718
gmail.com,55977
redhat.com,34542
google.com,31787
chromium.org,30568
amd.com,29198
linaro.org,15973
kernel.org,15320
mellanox.com,14610
ibm.com,14115
linux-foundation.org,13337
arm.com,11408
huawei.com,10739
oracle.com,9666
codeaurora.org,9484
davemloft.net,8312
suse.com,7739
bootlin.com,7334
nxp.com,6217
canonical.com,6211
suse.de,6105
arndb.de,5982
renesas.com,4837
chris-wilson.co.uk,4815
lst.de,4688
ti.com,4296
collabora.com,4049
fb.com,3596
microchip.com,3569
socionext.com,3530
netronome.com,3508
st.com,3427
linuxfoundation.org,3426
linutronix.de,3271
infradead.org,3120
vmware.com,3116
samsung.com,3092
cavium.com,3080
embeddedor.com,3044
mediatek.com,3019
baylibre.com,2947
anholt.net,2915
broadcom.com,2650
wdc.com,2564
pengutronix.de,2549
microsoft.com,2454
lixom.net,2388
ideasonboard.com,2350
glider.be,2290
igalia.com,2191
virtuozzo.com,2186
zeniv.linux.org.uk,2026
synopsys.com,1905
itsqueeze.com,1894
nvidia.com,1868
iogearbox.net,1784
s-opensource.com,1630
strlen.de,1516
rock-chips.com,1471
nordicsemi.no,1437
cisco.com,1425
xilinx.com,1402
suse.cz,1397
ellerman.id.au,1379
kernel.dk,1346
users.sourceforge.net,1319
xmission.com,1309
chelsio.com,1309
gmx.de,1295
bp.renesas.com,1286
pnwbakers.com,1285
sang-engineering.com,1238
cogentembedded.com,1230
goodmis.org,1215
debian.org,1186
mips.com,1166
c-s.fr,1123
dominikbrodowski.net,1119
gmx.net,1111
basnieuwenhuizen.nl,1109
atomide.com,1085
realtek.com,1057
lkamp.de,1057
tamalin.org,1004
free-electrons.com,991
googlemail.com,949
marvell.com,942
ffwll.ch,906
jmondi.org,898
agner.ch,889
noos.fr,888
roeck-us.net,881
andestech.com,873
linux-m68k.org,814
nbd.name,790
cn.fujitsu.com,769
web.de,760
networkplumber.org,757
zonque.org,754
kernel.crashing.org,747
lunn.ch,732
netfilter.org,729
mit.edu,713
lechnology.com,694
mojatatu.com,687
whitecape.org,686
gentoo.org,672
i2se.com,669
amarulasolutions.com,662
axentia.se,655
ragnatech.se,654
wunner.de,653
csie.org,651
toradex.com,649
konsulko.com,631
siol.net,615
ozlabs.org,614
perches.com,609
xs4all.nl,597
zte.com.cn,592
telegraphics.com.au,591
ispras.ru,591
hammerspace.com,569
ericsson.com,567
hughsie.com,563
linux-mips.org,557
opensource.cirrus.com,533
dell.com,527
bgdev.pl,524
gmx.com,522
riseup.net,516
cumulusnetworks.com,512
aosc.io,505
wanadoo.fr,499
iki.fi,489
lab.ntt.co.jp,485
sakamocchi.jp,480
hisilicon.com,476
axis.com,472
primarydata.com,471
linux.alibaba.com,469
benyossef.com,469
nextdimension.cc,468
mess.org,465
lip6.fr,457
verge.net.au,450
microsemi.com,445
jms.id.au,436
sifive.com,433
aquantia.com,433
aheymans.xyz,432
solarflare.com,427
denx.de,426
onstation.org,423
milecki.pl,421
siemens.com,415
sony.com,410
quantenna.com,402
cnexlabs.com,399
w1.fi,394
tobin.cc,393
amazon.co.uk,390
hpe.com,387
alum.mit.edu,386
mvista.com,384
aleksander.es,381
tronnes.org,376
crapouillou.net,374
amlogic.com,374
codecoup.pl,366
alphalink.fr,356
jp.fujitsu.com,352
compal.corp-partner.google.com,350
the-dreams.de,349
osg.samsung.com,348
narfation.org,339
163.com,336
analog.com,335
quanta.corp-partner.google.com,334
collabora.co.uk,333
amsat.org,331
openmesh.com,330
ozlabs.ru,329
grimberg.me,329
queasysnail.net,326
efficios.com,321
osadl.org,320
windriver.com,318
sntech.de,318
secunet.com,318
I-love.SAKURA.ne.jp,315
imgtec.com,312
codethink.co.uk,311
tkos.co.il,307
mentor.com,307
android.com,304
nuvoton.com,298
stgolabs.net,291
nod.at,291
kaod.org,291
free.fr,291
v3.sk,289
ite.com.tw,283
opengridcomputing.com,274
amd.corp-partner.google.com,273
synaptics.com,271
joelfernandes.org,264
acm.org,259
amazon.com,258
