Contributor,June 2017
intel.com,11314
gmail.com,7997
redhat.com,3901
google.com,3199
ibm.com,2723
chromium.org,2672
amd.com,2616
linaro.org,2320
kernel.org,2118
suse.de,1948
mellanox.com,1621
arm.com,1611
oracle.com,1567
lst.de,1560
linux-foundation.org,1483
cavium.com,1481
davemloft.net,1415
canonical.com,1353
ti.com,1248
free-electrons.com,1236
suse.com,1217
linutronix.de,1143
nxp.com,1125
codeaurora.org,897
lixom.net,870
imgtec.com,825
chris-wilson.co.uk,779
linuxfoundation.org,735
renesas.com,652
arndb.de,637
realtek.com,636
pengutronix.de,634
zeniv.linux.org.uk,626
broadcom.com,602
fb.com,601
netronome.com,580
savoirfairelinux.com,570
st.com,548
gmx.net,462
rock-chips.com,454
socionext.com,441
benyossef.com,441
ideasonboard.com,432
microsemi.com,410
sandisk.com,390
vmware.com,370
huawei.com,365
users.sourceforge.net,352
ffwll.ch,331
chelsio.com,331
googlemail.com,323
samsung.com,298
collabora.com,297
hpe.com,292
atomide.com,291
sakamocchi.jp,280
hisilicon.com,280
ozlabs.org,271
embeddedor.com,270
baylibre.com,270
mediatek.com,251
csie.org,241
suse.cz,238
sang-engineering.com,230
cisco.com,230
cn.fujitsu.com,224
s-opensource.com,221
itsqueeze.com,215
collabora.co.uk,213
infradead.org,212
microchip.com,210
glider.be,210
amazon.com,210
ragnatech.se,200
lightnvm.io,200
grimberg.me,200
anholt.net,195
zx2c4.com,191
hardeman.nu,190
nvidia.com,189
kernel.dk,180
alliedtelesis.co.nz,180
wanadoo.fr,172
siemens.com,170
milecki.pl,160
163.com,158
aosc.io,152
synopsys.com,151
kernellabs.com,150
iki.fi,150
iogearbox.net,142
bp.renesas.com,140
bgdev.pl,140
axentia.se,140
hughsie.com,131
c-s.fr,131
wdc.com,130
igalia.com,122
decadent.org.uk,121
universe-factory.net,120
perches.com,120
goodmis.org,120
animalcreek.com,120
denx.de,117
xilinx.com,113
sony.com,111
verizon.com,110
verge.net.au,110
networkplumber.org,110
llwyncelyn.cymru,110
gmx.de,109
whitecape.org,106
marvell.com,105
endlessm.com,101
distanz.ch,101
konsulko.com,99
qca.qualcomm.com,98
ellerman.id.au,92
sixbynine.org,90
linux-iscsi.org,84
lunn.ch,81
the-dreams.de,80
santannapisa.it,80
mess.org,80
kempniu.pl,80
digikod.net,80
deltatee.com,80
cmss.chinamobile.com,80
6wind.com,80
kaod.org,76
cumulusnetworks.com,71
roeck-us.net,70
raspberrypi.org,70
fau.de,70
dowhile0.org,70
twiddle.net,69
basnieuwenhuizen.nl,68
nordicsemi.no,65
microsoft.com,61
strlen.de,60
pitt.edu,60
networkimprov.net,60
lemote.com,60
kernel.crashing.org,60
jmondi.org,60
i2se.com,60
arista.com,60
angband.pl,60
agner.ch,60
ZenIV.linux.org.uk,60
dell.com,58
hotmail.com,54
secunet.com,53
das-labor.org,52
russell.cc,51
aosc.xyz,51
xs4all.nl,50
wsystem.com,50
tul.cz,50
mvista.com,50
metzlerbros.de,50
lwn.net,50
candelatech.com,50
apm.com,50
qti.qualcomm.com,49
lynxeye.de,46
theobroma-systems.com,42
aheymans.xyz,42
ginzinger.com,41
vip.163.com,40
phrozen.org,40
k2l.de,40
invensense.com,40
goldelico.com,40
electromag.com.au,40
diasemi.com,40
coreboot.org,40
comcast.net,40
canb.auug.org.au,40
anw.at,40
alcatel-sbell.com.cn,40
engestrom.ch,38
osg.samsung.com,37
feralinteractive.com,35
primarydata.com,33
aurel32.net,33
virtuozzo.com,32
rwth-aachen.de,32
citrix.com,32
alum.mit.edu,32
rowland.harvard.edu,31
m4x.org,31
toxicpanda.com,30
solarflare.com,30
rere.qmqm.pl,30
paul-moore.com,30
opensource.wolfsonmicro.com,30
obsidianresearch.com,30
nuvoton.com,30
neuling.org,30
kdab.com,30
fossix.org,30
esh.hu,30
cogentembedded.com,30
chronox.de,30
caviumnetworks.com,30
axis.com,30
puri.sm,29
holtmann.org,29
debian.org,28
gibson.dropbear.id.au,27
amsat.org,27
amarulasolutions.com,27
ni.com,25
sntech.de,22
free.fr,22
skynet.be,21
mork.no,21
ingics.com,21
web.de,20
uc.cl,20
tuxera.com,20
tkos.co.il,20
templeofstupid.com,20
techveda.org,20
stgolabs.net,20
simonwunderlich.de,20
schaufler-ca.com,20
sargun.me,20
ranostay.consulting,20
popple.id.au,20
phenome.org,20
openvz.org,20
openmesh.com,20
noos.fr,20
narfation.org,20
mit.edu,20
mev.co.uk,20
mentor.com,20
lse.epita.fr,20
liljenzin.se,20
lge.com,20
kernkonzept.com,20
jms.id.au,20
ge.com,20
corp.bluecherry.net,20
aj.id.au,20
acm.org,20
jp.fujitsu.com,19
ite.com.tw,18
vivier.eu,17
aleksander.es,16
yandex.ru,15
wizery.com,14
sigma-star.at,14
sholland.org,14
yandex-team.ru,13
ispras.ru,13
braap.org,13
xmission.com,12
wunner.de,12
lip6.fr,12
windriver.com,11
naver.com,11
linuxhacker.ru,11
linux.com,11
limesaudio.com,11
jrtc27.com,11
hale.at,11
hadess.net,11
e2big.org,11
dev.mellanox.co.il,11
zoho.com,10
wedev4u.fr,10
varoa.net,10
unstable.cc,10
unitn.it,10
ucw.cz,10
ualberta.ca,10
tamalin.org,10
synaptics.com,10
student.kit.edu,10
soulik.info,10
skidata.com,10
sigmadesigns.com,10
semihalf.com,10
samba.org,10
sai.msu.ru,10
rutgers.edu,10
rsyncme.org,10
rockwellcollins.com,10
redpinesignals.com,10
rambler.ru,10
rainbow-software.org,10
queasysnail.net,10
qsx.re,10
purestorage.com,10
posteo.de,10
pmeerw.net,10
phoenitydawn.de,10
peak-system.com,10
partner.samsung.com,10
ozlabs.ru,10
osadl.org,10
opensource.se,10
nokia.com,10
netfilter.org,10
mojatatu.com,10
mnementh.co.uk,10
mendozajonas.com,10
mendix.com,10
matrox.com,10
martlubbers.net,10
maciej.szmigiero.name,10
linux-m68k.org,10
lechnology.com,10
kwiboo.se,10
kuvee.com,10
korsgaard.com,10
kevlo.org,10
kde.org,10
kaa.org.ua,10
jp.alps.com,10
jnosh.com,10
jlekstrand.net,10
izt-labs.de,10
hello-penguin.com,10
hartkopp.net,10
hackers.mu,10
gondor.apana.org.au,10
ghiti.fr,10
frugalware.org,10
foxmail.com,10
evidence.eu.com,10
erig.me,10
epam.com,10
edu.ece.fr,10
dominikbrodowski.net,10
docker.com,10
digi.com,10
didichuxing.com,10
de.adit-jv.com,10
dbalan.in,10
dabbelt.com,10
cyrius.com,10
codesnake.com,10
caione.org,10
buserror.net,10
btinternet.com,10
bowerswilkins.com,10
bork.org,10
bernat.im,10
benjamin.pe,10
beck-ipc.com,10
azazel.net,10
axtens.net,10
asmedia.com.tw,10
asilaycomputing.com,10
arw.name,10
anmolsarma.in,10
andred.net,10
altlinux.org,10
alpha.franken.de,10
alibaba-inc.com,10
Oracle.com,10
I-love.SAKURA.ne.jp,10
CARNet.hr,10
vidarholen.net,9
smile.fr,8
heig-vd.ch,8
greensocs.com,7
tencent.com,6
molgen.mpg.de,6
kitware.com,6
compal.com,6
codecoup.pl,6
br-automation.com,6
KARO-electronics.de,6
mgraefe.de,5
linux-mips.org,5
htc.com,5
gentoo.org,5
freedesktop.org,5
dynardo.de,5
chown.ath.cx,5
bwidawsk.net,5
android-x86.org,5
siol.net,4
phytec.de,4
nutanix.com,4
corna.info,4
compulab.co.il,4
