Contributor,April 2018
gmail.com,6078
intel.com,4804
redhat.com,2867
google.com,2814
amd.com,2082
chromium.org,2065
linux-foundation.org,1802
ibm.com,1760
kernel.org,875
linaro.org,824
dominikbrodowski.net,812
oracle.com,766
mellanox.com,733
codeaurora.org,700
suse.com,620
davemloft.net,591
s-opensource.com,575
suse.de,573
lkamp.de,553
arm.com,496
microchip.com,469
canonical.com,466
tamalin.org,462
bootlin.com,443
huawei.com,426
fb.com,390
arndb.de,356
nxp.com,355
xmission.com,315
glider.be,296
st.com,290
ti.com,271
mediatek.com,271
bp.renesas.com,266
socionext.com,259
chris-wilson.co.uk,244
collabora.com,239
microsoft.com,238
broadcom.com,237
ragnatech.se,231
sang-engineering.com,224
pnwbakers.com,219
infradead.org,218
nbd.name,211
igalia.com,208
mvista.com,207
renesas.com,199
linutronix.de,198
samsung.com,196
netronome.com,192
goodmis.org,190
embeddedor.com,185
gmx.de,182
primarydata.com,180
rock-chips.com,166
tobin.cc,161
googlemail.com,158
anholt.net,155
suse.cz,152
gentoo.org,151
zeniv.linux.org.uk,144
itsqueeze.com,144
i2se.com,134
cavium.com,133
mit.edu,125
xilinx.com,124
baylibre.com,121
andestech.com,119
basnieuwenhuizen.nl,117
pengutronix.de,113
axis.com,112
strlen.de,111
linuxfoundation.org,109
linux-m68k.org,108
vmware.com,106
mess.org,97
ideasonboard.com,97
cisco.com,95
lunn.ch,94
tehnerd.com,91
ffwll.ch,91
axentia.se,91
zonque.org,84
icloud.com,84
telegraphics.com.au,80
synopsys.com,79
marvell.com,78
onstation.org,77
ellerman.id.au,77
agner.ch,77
zte.com.cn,74
iogearbox.net,73
I-love.SAKURA.ne.jp,73
mips.com,72
alphalink.fr,71
ericsson.com,70
users.sourceforge.net,68
nvidia.com,68
cn.fujitsu.com,67
wanadoo.fr,66
realtek.com,65
solarflare.com,63
redpinesignals.com,63
gmx.net,63
gmx.com,63
amarulasolutions.com,63
konsulko.com,62
wdc.com,60
free-electrons.com,60
linux.alibaba.com,59
verge.net.au,56
sifive.com,56
chrisn.me.uk,56
bgdev.pl,56
mojatatu.com,55
hisilicon.com,54
virtuozzo.com,53
denx.de,53
nordicsemi.no,52
networkplumber.org,52
163.com,51
omnibond.com,49
mkarcher.dialup.fu-berlin.de,49
lst.de,49
jmondi.org,49
invensense.com,49
aosc.io,49
analog.com,49
raspberrypi.org,46
dell.com,46
ozlabs.org,45
csie.org,45
atomide.com,45
vivier.eu,44
vanguardiasur.com.ar,44
osg.samsung.com,43
openvz.org,43
