Contributor,April 2018
stgolabs.net,42
perches.com,42
opensource.cirrus.com,42
h3c.com,42
diasemi.com,42
codethink.co.uk,42
xs4all.nl,41
roeck-us.net,41
debian.org,41
campus.tu-berlin.de,40
amd.corp-partner.google.com,40
kernel.dk,38
nuvoton.com,37
cogentembedded.com,37
codecoup.pl,37
sholland.org,36
holtmann.org,36
cumulusnetworks.com,36
synaptics.com,35
netfilter.org,35
lge.com,35
foxmail.com,35
fami-braun.de,35
amazon.de,35
nod.at,33
tencent.com,31
noos.fr,30
alum.mit.edu,30
savoirfairelinux.com,28
sakamocchi.jp,28
robertabel.eu,28
milecki.pl,28
lwn.net,28
freescale.com,28
deif.com,28
chelsio.com,28
w1.fi,26
secunet.com,26
zhaoxin.com,25
fireburn.co.uk,25
lab.ntt.co.jp,24
siemens.com,23
ni.com,23
imgtec.com,23
purestorage.com,22
ilande.co.uk,22
aheymans.xyz,22
seagate.com,21
queasysnail.net,21
popple.id.au,21
nikanor.nu,21
navercorp.com,21
narfation.org,21
megous.com,21
gibson.dropbear.id.au,21
epam.com,21
elektrobit.com,21
compal.corp-partner.google.com,21
CARNet.hr,21
hpe.com,20
9elements.com,20
ite.com.tw,18
jms.id.au,17
deltatee.com,17
c-s.fr,17
yandex-team.ru,16
whitecape.org,16
hughsie.com,16
hotmail.com,16
citrix.com,16
mentor.com,15
lucaceresoli.net,15
kaod.org,15
gdsys.cc,15
zx2c4.com,14
xevo.com,14
transmode.se,14
the-dreams.de,14
spreadtrum.com,14
scarletltd.com,14
sandeen.net,14
richtek.com,14
orange.com,14
nokia.com,14
microsemi.com,14
luxul.com,14
lse.epita.fr,14
linux-mips.org,14
libc.org,14
kaa.org.ua,14
hxt-semitech.com,14
godking.net,14
fredlawl.com,14
dk-develop.de,14
brown.name,14
baidu.com,14
aurel32.net,14
aquantia.com,14
amazon.co.uk,14
altlinux.org,14
alliedtelesis.co.nz,14
ah.jp.nec.com,14
qti.qualcomm.com,13
eu.citrix.com,13
opensourcefoundries.com,12
ispras.ru,12
iki.fi,12
free.fr,12
android.com,12
6wind.com,12
yahoo.com,11
v3.sk,11
toke.dk,11
themaw.net,11
teldat.com,11
rainbow-software.org,11
quantenna.com,11
proxmox.com,11
neuling.org,11
caviumnetworks.com,11
actia.fr,11
techsingularity.net,10
stratus.com,10
quora.org,10
molgen.mpg.de,10
lechnology.com,10
kernel.crashing.org,10
invisiblethingslab.com,10
daedalean.ai,10
blackhole.kfki.hu,10
HansenPartnership.com,10
FreeBSD.org,10
vidarholen.net,9
tuxera.com,9
rowland.harvard.edu,9
tycho.nsa.gov,8
sysgo.com,8
sandisk.com,8
rjwysocki.net,8
puri.sm,8
prevas.dk,8
phytec.de,8
nexus-software.ie,8
impinj.com,8
hauke-m.de,8
collabora.co.uk,8
candelatech.com,8
apm.com,8
yahoo.co.in,7
web.de,7
vyatta.att-mail.com,7
vip.163.com,7
ubuntu.com,7
tycho.ws,7
topic.nl,7
theobroma-systems.com,7
ssi.bg,7
spiers.me,7
simonwunderlich.de,7
sigmadesigns.com,7
sigexec.com,7
sfritsch.de,7
seppia.net,7
sargun.me,7
rwth-aachen.de,7
riseup.net,7
rasmusvillemoes.dk,7
qt.io,7
prodrive-technologies.com,7
polymtl.ca,7
poczta.fm,7
philpotter.co.uk,7
pascalroeleven.nl,7
orcon.net.nz,7
opensource.se,7
openbsd.org,7
omprussia.ru,7
nwl.cc,7
nextdimension.cc,7
neverware.com,7
moxa.com,7
mork.no,7
metanate.com,7
mendozajonas.com,7
malygin.me,7
lyle.org,7
ltec.ch,7
linux.com,7
lightnvm.io,7
lemote.com,7
iotwrt.com,7
interlog.com,7
infinera.com,7
in.bosch.com,7
hp.com,7
guarana.org,7
gondor.apana.org.au,7
gliwa.com,7
freedesktop.org,7
efficios.com,7
easystack.cn,7
dtsystems.be,7
distanz.ch,7
dektech.com.au,7
darkstar.site,7
cybozu.co.jp,7
collinswebsite.com,7
coding4coffee.org,7
cnexlabs.com,7
cmpxchg.org,7
chronox.de,7
cera.cz,7
castello.eng.br,7
canb.auug.org.au,7
c0d3.blue,7
brickedbrain.com,7
brainfault.org,7
bitmer.com,7
bewilderbeest.net,7
bernat.im,7
benyossef.com,7
babblebit.net,7
apache.org,7
anw.at,7
amlogic.com,7
8bytes.org,7
wizzup.org,6
silvair.com,6
keithp.com,6
analogixsemi.com,6
alibaba-inc.com,6
rutgers.edu,5
qca.qualcomm.com,5
mansr.com,5
dronecode.org.uk,5
bananium.fr,5
sanchezortega.es,4
redlab-i.ru,4
quantatw.com,4
quanta.corp-partner.google.com,4
qualcomm.corp-partner.google.com,4
qti-qualcomm.corp-partner.google.com,4
podlesie.net,4
national.shitposting.agency,4
mobile-devices.fr,4
mhtx.net,4
makrotopia.org,4
jp.fujitsu.com,4
felipetonello.com,4
esrlabs.com,4
de.adit-jv.com,4
das-labor.org,4
corna.info,4
asrmicro.com,4
anongoth.pl,4
amsat.org,4
ziepe.ca,3
xes-inc.com,3
who-t.net,3
uni-rostock.de,3
strongswan.org,3
spacex.com,3
sony.com,3
smile.fr,3
skyportsystems.com,3
siol.net,3
outlook.com,3
marcan.st,3
maciej.szmigiero.name,3
m4x.org,3
kemnade.info,3
jp.alps.com,3
grimberg.me,3
globaledgesoft.com,3
friiks.de,3
endlessm.com,3
eik.bme.hu,3
ece.ufl.edu,3
digikod.net,3
chochol.info,3
brixandersen.dk,3
thorsis.com,2
teotl.mtv.corp.google.com,2
synack.me,2
starry.com,2
reconfigure.io,2
oticon.com,2
offog.org,2
nicorikken.eu,2
marcellobauer.com,2
jsg.id.au,2
intel.corp-partner.google.com,2
georgi.software,2
fel.cvut.cz,2
fe80.eu,2
emc.com.tw,2
dyne.org,2
darkboxed.org,2
cs.kuleuven.be,2
corrick.kiwi,2
blueri.se,2
armadeus.com,2
antmicro.com,2
alto.eu.org,2
Apache.Org,2
wypas.org,1
very.puzzling.org,1
tuxdriver.com,1
tls.msk.ru,1
tintri.com,1
synaptics.corp-partner.google.com,1
stressinduktion.org,1
stimio.fr,1
solid-run.com,1
smithii.com,1
ruiu,1
qq.com,1
puiterwijk.org,1
profitbricks.com,1
phi.nz,1
phenome.org,1
ozlabs.ru,1
osadl.org,1
olimex.com,1
northern.tech,1
nordicsemi.com,1
nic.cz,1
mails.ucas.ac.cn,1
mail.mcgill.ca,1
kitsu.me,1
kdab.com,1
joshtriplett.org,1
johnthomson.fastmail.com.au,1
jkqxz.net,1
iptronix.com,1
grinn-global.com,1
gnome.org,1
ge.com,1
dowhile0.org,1
de.bosch.com,1
comcast.net,1
cmss.chinamobile.com,1
braap.org,1
beagleboard.org,1
asus.com,1
alpha.franken.de,1
alexfh,1
aleksander.es,1
