Contributor,December 2019
intel.com,48269
chromium.org,41053
gmail.com,38387
google.com,29245
redhat.com,20147
amd.com,18182
collabora.com,10230
kernel.org,10123
linaro.org,9752
huawei.com,8889
linux-foundation.org,6724
mellanox.com,6440
arm.com,6357
ibm.com,5817
whitecape.org,5700
nxp.com,4730
suse.de,4443
codeaurora.org,4410
oracle.com,3875
mediatek.com,3860
renesas.com,3413
suse.com,3375
davemloft.net,3225
bootlin.com,3212
chris-wilson.co.uk,3176
linutronix.de,2997
baylibre.com,2913
ti.com,2732
canonical.com,2717
nordicsemi.no,2551
linuxfoundation.org,2516
lst.de,2507
arndb.de,2497
st.com,2266
nvidia.com,2264
igalia.com,2059
anholt.net,1934
socionext.com,1922
embeddedor.com,1887
pengutronix.de,1740
jlekstrand.net,1721
fb.com,1718
analog.com,1612
netronome.com,1551
microchip.com,1392
synopsys.com,1358
infradead.org,1309
microsoft.com,1262
glider.be,1247
basnieuwenhuizen.nl,1245
broadcom.com,1211
vmware.com,1203
rosenzweig.io,1180
marvell.com,1162
marek.ca,1152
samsung.com,1132
c-s.fr,1121
realtek.com,1113
xs4all.nl,1070
ideasonboard.com,1064
pnwbakers.com,1053
acm.org,1040
gmx.de,1022
itsqueeze.com,992
ffwll.ch,963
roeck-us.net,932
umn.edu,908
suse.cz,886
lixom.net,848
zte.com.cn,841
denx.de,840
zeniv.linux.org.uk,833
sang-engineering.com,820
atomide.com,779
sakamocchi.jp,751
xilinx.com,745
linux.alibaba.com,728
strlen.de,709
noos.fr,706
ingics.com,702
bp.renesas.com,693
kernel.dk,647
aleksander.es,642
rock-chips.com,629
aheymans.xyz,628
wdc.com,623
hughsie.com,622
konsulko.com,615
googlemail.com,611
hammerspace.com,610
virtuozzo.com,583
iogearbox.net,569
w1.fi,566
opensource.cirrus.com,558
kaod.org,533
ravnborg.org,503
hisilicon.com,479
globallogic.com,474
lca.pw,468
nbd.name,457
crapouillou.net,443
quanta.corp-partner.google.com,437
netfilter.org,433
amarulasolutions.com,433
toxicpanda.com,430
intel.corp-partner.google.com,429
v3.sk,410
quantatw.com,410
dell.com,408
amazon.com,406
riseup.net,404
csie.org,402
sifive.com,401
chelsio.com,400
bitland.corp-partner.google.com,379
ellerman.id.au,378
toradex.com,374
mips.com,366
debian.org,350
cs.uga.edu,345
9elements.com,344
free.fr,337
ualberta.ca,336
schuermann.dev,316
163.com,316
tronnes.org,311
gmx.net,311
wanadoo.fr,310
lunn.ch,298
ragnatech.se,297
rowland.harvard.edu,294
lwfinger.net,289
wavecomp.com,288
telegraphics.com.au,288
mit.edu,276
metux.net,273
linux.com,272
yandex-team.ru,261
compal.corp-partner.google.com,260
citrix.com,259
I-love.SAKURA.ne.jp,258
rasmusvillemoes.dk,255
jmondi.org,255
endlessm.com,254
alum.mit.edu,254
goodmis.org,253
windriver.com,252
jms.id.au,243
gondor.apana.org.au,238
metafoo.de,235
cumulusnetworks.com,235
codethink.co.uk,229
android.com,229
wunner.de,228
onstation.org,227
sigxcpu.org,223
oticon.com,218
azazel.net,212
aquantia.com,212
web.de,211
c-sky.com,208
narfation.org,207
cavium.com,201
gentoo.org,200
deltatee.com,200
tencent.com,199
eltan.com,198
siol.net,196
baidu.com,193
xmission.com,191
phytec.de,190
brauner.io,189
ozlabs.ru,188
perches.com,185
nuvoton.com,185
mentor.com,185
foundries.io,185
habana.ai,184
secunet.com,180
benyossef.com,180
unisoc.com,178
sony.com,178
nokia.com,178
arista.com,178
siemens.com,176
ucloud.cn,172
vidarholen.net,171
ispras.ru,168
grimberg.me,168
lwn.net,164
pabigot.com,163
aosc.io,163
altlinux.org,163
huaqin.corp-partner.google.com,161
gmx.com,159
alliedtelesis.co.nz,159
agner.ch,159
microsemi.com,158
axis.com,158
aj.id.au,158
stackframe.org,157
cmpxchg.org,157
mvista.com,156
vt.edu,155
hotmail.com,155
ite.com.tw,153
ozlabs.org,151
mev.co.uk,151
users.sourceforge.net,150
quantenna.com,150
synaptics.com,149
linux-m68k.org,149
kernel.crashing.org,148
cogentembedded.com,147
joelfernandes.org,146
nic.cz,145
goldelico.com,145
sedsystems.ca,144
lip6.fr,144
kwiboo.se,143
silvair.com,141
raspberrypi.org,141
mess.org,140
verge.net.au,139
cadence.com,137
dektech.com.au,136
holtmann.org,135
phrozen.org,134
cisco.com,133
sntech.de,132
iki.fi,132
coreboot.org,132
stgolabs.net,130
geanix.com,128
megous.com,126
aurel32.net,126
yahoo.com,125
prevas.dk,125
hpe.com,125
cn.fujitsu.com,125
diasemi.com,124
nikanor.nu,123
hanoverdisplays.com,123
gerhold.net,123
cmss.chinamobile.com,120
tomli.me,119
imkreisrum.de,117
akamai.com,116
mleia.com,114
i2se.com,114
6wind.com,111
techsingularity.net,109
tkos.co.il,108
gdsys.cc,106
osadl.org,105
katsuster.net,104
theobroma-systems.com,103
partner.samsung.com,103
gibson.dropbear.id.au,103
kemnade.info,102
amazon.de,102
freedesktop.org,101
silabs.com,100
milecki.pl,100
collabora.co.uk,100
andestech.com,100
codecoup.pl,99
lab.ntt.co.jp,98
canb.auug.org.au,98
nod.at,97
campus.tu-berlin.de,95
flygoat.com,94
true.cz,93
rere.qmqm.pl,93
student.tugraz.at,90
mail.ru,90
hauke-m.de,89
efficios.com,88
omnibond.com,87
fi.rohmeurope.com,84
dxplore.eu,84
lucaceresoli.net,83
amsat.org,83
ghiti.fr,82
dev.mellanox.co.il,82
solarflare.com,81
kontron.de,80
ilande.co.uk,80
vestas.com,79
the-dreams.de,78
yulong.com,77
impinj.com,77
vaga.pv.it,76
mansr.com,76
cloudflare.com,76
mojatatu.com,75
martin.sperl.org,75
pensando.io,74
mork.no,74
kylinos.cn,74
fau.de,74
d-silva.org,74
protonmail.com,73
nh6z.net,73
jinso.co.jp,73
arrikto.com,73
netapp.com,72
decadent.org.uk,72
softathome.com,70
ucr.edu,68
themaw.net,67
mniewoehner.de,67
axtens.net,67
yadro.com,66
schaufler-ca.com,66
primarydata.com,66
zonque.org,65
wacom.com,65
who-t.net,64
akkea.ca,63
kleine-koenig.org,62
amd.corp-partner.google.com,62
sina.com,61
sdf.org,61
3mdeb.com,61
queasysnail.net,60
maximintegrated.com,60
mathembedded.com,60
amlogic.com,60
126.com,60
system.gserviceaccount.com,59
hadess.net,59
cea.fr,58
unrelenting.technology,57
nexedi.com,57
silex-india.com,56
it-klinger.de,56
axentia.se,56
puri.sm,55
posteo.de,55
linux.org.tw,55
hxt-semitech.com,55
ginzinger.com,55
armadeus.com,55
zoho.com.cn,54
tycho.ws,54
samsung.corp-partner.google.com,54
opensource.se,54
etsukata.com,54
camlintechnologies.com,54
c0d3.blue,54
victronenergy.com,53
pegatron.corp-partner.google.com,53
molgen.mpg.de,53
arcor.de,53
mok.nu,52
live.ca,52
cypress.com,52
auristor.com,52
lemote.com,51
jp.fujitsu.com,50
daqri.com,50
braap.org,50
zx2c4.com,49
zoho.com,49
ni.com,49
foxmail.com,49
sholland.org,48
antmicro.com,48
tycho.nsa.gov,47
stephanos.io,47
outlook.com,47
felixheld.de,47
das-labor.org,47
brown.name,47
asus.corp-partner.google.com,47
vdorst.com,46
synology.com,46
sjtu.edu.cn,46
opengridcomputing.com,46
unikie.com,45
areca.com.tw,45
wetzel-home.de,44
ossystems.com.br,44
lightbitslabs.com,44
essensium.com,44
de.adit-jv.com,44
wistron.corp-partner.google.com,43
