Contributor,October 2016
gmail.com,9387
intel.com,9082
redhat.com,3758
linux-foundation.org,2666
google.com,2520
amd.com,2481
chromium.org,1785
linaro.org,1675
s-opensource.com,1580
kernel.org,1413
chris-wilson.co.uk,1303
oracle.com,1232
huawei.com,1129
mellanox.com,1066
collabora.com,976
ibm.com,960
imgtec.com,935
arm.com,870
davemloft.net,840
osg.samsung.com,744
nxp.com,602
free-electrons.com,583
arndb.de,582
suse.com,556
suse.cz,434
mediatek.com,421
windriver.com,397
suse.de,397
lst.de,390
samsung.com,381
baylibre.com,352
st.com,351
metafoo.de,350
vmware.com,344
canonical.com,335
rock-chips.com,331
ens.fr,313
zeniv.linux.org.uk,302
ti.com,301
renesas.com,300
anholt.net,261
perches.com,260
pengutronix.de,256
synopsys.com,248
socionext.com,246
qca.qualcomm.com,242
codeaurora.org,214
free.fr,213
narfation.org,201
lip6.fr,190
cumulusnetworks.com,190
cavium.com,190
opensource.wolfsonmicro.com,182
fb.com,182
whitecape.org,181
ideasonboard.com,180
linuxfoundation.org,178
caviumnetworks.com,173
onstation.org,160
broadcom.com,158
citrix.com,142
linux-m68k.org,141
lixom.net,140
ffwll.ch,131
ellerman.id.au,131
noos.fr,130
lwn.net,130
k2l.de,130
users.sourceforge.net,129
linutronix.de,126
das-labor.org,125
iki.fi,122
denx.de,121
opensource.altera.com,120
infradead.org,120
hpe.com,120
distanz.ch,120
nod.at,113
samba.org,111
ni.com,110
gmx.de,110
alum.mit.edu,108
quantatw.com,101
codecoup.pl,101
realtek.com,100
ingics.com,100
bull.net,100
atmel.com,96
microsoft.com,90
c0d3.blue,90
agner.ch,90
qti.qualcomm.com,86
igalia.com,85
glider.be,82
wanadoo.fr,81
tieto.com,81
mentor.com,80
aleksander.es,72
i2se.com,71
sony.com,70
libc.org,70
lge.com,70
lakedaemon.net,70
jp.fujitsu.com,70
htc.com,70
fami-braun.de,68
csie.org,68
collabora.co.uk,61
apm.com,61
spreadtrum.com,60
lunn.ch,60
iogearbox.net,60
