Contributor,September 2018
gmail.com,3076
intel.com,2887
chromium.org,2415
google.com,2157
redhat.com,1931
amd.com,1131
linaro.org,974
huawei.com,971
mellanox.com,691
arm.com,649
ibm.com,604
vmware.com,599
kernel.org,598
linux-foundation.org,547
davemloft.net,477
ideasonboard.com,453
linuxfoundation.org,412
nxp.com,400
toradex.com,390
bootlin.com,389
codeaurora.org,378
oracle.com,360
renesas.com,336
microchip.com,333
suse.de,313
canonical.com,309
infradead.org,287
cavium.com,277
ti.com,242
suse.com,228
bp.renesas.com,226
xmission.com,213
chris-wilson.co.uk,193
mediatek.com,186
baylibre.com,177
collabora.com,168
lst.de,162
linutronix.de,159
xilinx.com,158
pengutronix.de,153
arndb.de,149
fb.com,147
embeddedor.com,144
samsung.com,132
lixom.net,132
microsoft.com,129
nordicsemi.no,124
andestech.com,119
itsqueeze.com,114
pnwbakers.com,112
goldelico.com,108
socionext.com,101
glider.be,99
igalia.com,97
strlen.de,95
cisco.com,95
sakamocchi.jp,94
gmx.de,87
dell.com,83
windriver.com,78
synopsys.com,78
st.com,78
narfation.org,75
basnieuwenhuizen.nl,74
atomide.com,73
broadcom.com,71
sntech.de,70
lunn.ch,69
kiener-muenchen.de,66
cogentembedded.com,66
networkplumber.org,65
mentor.com,65
anholt.net,63
mit.edu,62
roeck-us.net,61
hughsie.com,60
googlemail.com,60
kernel.dk,59
ispras.ru,59
sang-engineering.com,58
gmx.net,58
nvidia.com,57
cumulusnetworks.com,57
netronome.com,54
csie.org,54
amarulasolutions.com,53
amazon.com,52
agner.ch,52
xs4all.nl,51
debian.org,50
suse.cz,48
hygon.cn,48
cmss.chinamobile.com,48
virtuozzo.com,47
mips.com,47
hauke-m.de,46
rere.qmqm.pl,45
zeniv.linux.org.uk,43
osadl.org,43
crapouillou.net,43
noos.fr,42
gmx.com,42
aosc.io,42
ffwll.ch,41
quanta.corp-partner.google.com,40
wunner.de,39
mvista.com,39
aleksander.es,39
v3.sk,38
goodmis.org,38
queasysnail.net,37
marvell.com,37
nod.at,36
hug.cx,36
globallogic.com,36
chelsio.com,35
konsulko.com,34
jmondi.org,34
gentoo.org,34
acm.org,34
ericsson.com,33
telegraphics.com.au,31
neuling.org,31
i2se.com,31
brauner.io,31
pegatroncorp.com,30
ite.com.tw,30
gdsys.cc,30
axis.com,30
analog.com,30
wdc.com,29
perches.com,29
rowland.harvard.edu,28
tronnes.org,27
opensource.cirrus.com,27
hpe.com,27
zte.com.cn,25
toxicpanda.com,25
synaptics.com,25
opengridcomputing.com,25
kemnade.info,25
sony.com,24
realtek.com,24
linux.com,24
lab.ntt.co.jp,24
fi.rohmeurope.com,24
axentia.se,24
android.com,24
web.de,23
nbd.name,23
linux-m68k.org,23
iogearbox.net,23
dev.mellanox.co.il,23
rock-chips.com,22
denx.de,22
alliedtelesis.co.nz,22
1wt.eu,22
strongswan.org,21
micronovasrl.com,21
lucaceresoli.net,21
lechnology.com,21
cea.fr,21
arista.com,21
aquantia.com,21
netfilter.org,20
cn.fujitsu.com,20
amd.corp-partner.google.com,20
oticon.com,19
lekensteyn.nl,19
jms.id.au,19
free.fr,19
codethink.co.uk,19
wavecomp.com,18
sysam.it,18
infinera.com,18
ettus.com,18
c-s.fr,18
armadeus.com,18
126.com,18
toke.dk,17
decadent.org.uk,17
ddn.com,17
codecoup.pl,17
netapp.com,16
aheymans.xyz,16
yandex-team.ru,15
siemens.com,15
opensource.se,15
joelfernandes.org,15
diasemi.com,15
braap.org,15
bayhubtech.com,15
quantatw.com,14
ozlabs.ru,14
neomailbox.ch,14
free-electrons.com,14
codewreck.org,14
ah.jp.nec.com,14
3mdeb.com,14
semihalf.com,13
secunet.com,13
samba.org,13
ossystems.com.br,13
lwfinger.net,13
ellerman.id.au,13
bitland.corp-partner.google.com,13
amazon.de,13
tencent.com,12
synology.com,12
rohde-schwarz.com,12
onstation.org,12
nuvoton.com,12
lemote.com,12
ite.corp-partner.google.com,12
gmx.at,12
cadence.com,12
akkea.ca,12
163.com,12
nasa.gov,11
metafoo.de,11
hotmail.fr,11
grimberg.me,11
biglakesoftware.com,11
ubuntu.com,10
tkos.co.il,10
rutgers.edu,10
poczta.fm,10
mork.no,10
maciej.szmigiero.name,10
i-love.sakura.ne.jp,10
efficios.com,10
dektech.com.au,10
dei.uc.pt,10
de.adit-jv.com,10
coreboot.org,10
compal.corp-partner.google.com,10
b-c-s.de,10
altlinux.org,10
alphalink.fr,10
vidarholen.net,9
tobin.cc,9
the-dreams.de,9
sweptlaser.com,9
raspberrypi.org,9
nic.cz,9
mleia.com,9
katsuster.net,9
kaod.org,9
ilande.co.uk,9
iki.fi,9
freedesktop.org,9
fpond.eu,9
cs.msu.ru,9
benyossef.com,9
baidu.com,9
aurel32.net,9
amlogic.com,9
alum.mit.edu,9
tycho.nsa.gov,8
phytec.de,8
nokia.com,8
mojatatu.com,8
endlessm.com,8
I-love.SAKURA.ne.jp,8
zendesk.com,7
who-t.net,7
ucw.cz,7
tuxera.com,7
sd.ai,7
sautereau.fr,7
sandeen.net,7
pobox.com,7
lge.com,7
kdab.com,7
jlekstrand.net,7
invisiblethingslab.com,7
hxt-semitech.com,7
hotmail.de,7
hisilicon.com,7
geo.uzh.ch,7
fbihome.de,7
cmpxchg.org,7
