Contributor,December 2016
intel.com,132560
gmail.com,82184
redhat.com,50382
linaro.org,31966
amd.com,26230
google.com,25045
linux-foundation.org,23034
kernel.org,21925
chromium.org,21593
ibm.com,16625
arm.com,13610
mellanox.com,11982
arndb.de,11942
oracle.com,11826
davemloft.net,11548
ti.com,11110
chris-wilson.co.uk,10514
samsung.com,9995
huawei.com,9818
suse.de,8822
osg.samsung.com,8309
nvidia.com,8155
s-opensource.com,8100
suse.com,8065
codeaurora.org,7669
free-electrons.com,7660
nxp.com,6438
broadcom.com,6356
imgtec.com,6309
rock-chips.com,6246
linutronix.de,5189
collabora.com,5119
renesas.com,4929
zeniv.linux.org.uk,4701
canonical.com,4562
ffwll.ch,4513
windriver.com,4468
fb.com,4332
infradead.org,4269
vmware.com,4212
glider.be,4039
lst.de,4017
pengutronix.de,3937
synopsys.com,3876
baylibre.com,3805
suse.cz,3797
socionext.com,3590
sang-engineering.com,3296
ideasonboard.com,3055
primarydata.com,2988
mediatek.com,2940
atmel.com,2912
whitecape.org,2795
lixom.net,2733
visionengravers.com,2712
alum.mit.edu,2668
users.sourceforge.net,2606
hovoldconsulting.com,2590
st.com,2506
unisys.com,2370
marvell.com,2353
qlogic.com,2297
anholt.net,2256
cisco.com,2210
linuxhacker.ru,2182
lip6.fr,2130
cogentembedded.com,2094
qca.qualcomm.com,2058
cavium.com,2038
linuxfoundation.org,1970
strlen.de,1896
qti.qualcomm.com,1890
roeck-us.net,1889
gmx.de,1888
gondor.apana.org.au,1877
iki.fi,1867
verge.net.au,1850
csie.org,1847
163.com,1841
riseup.net,1818
narfation.org,1792
tieto.com,1782
collabora.co.uk,1767
chelsio.com,1762
savoirfairelinux.com,1747
sandisk.com,1703
lunn.ch,1672
igalia.com,1633
cumulusnetworks.com,1619
xilinx.com,1609
opensource.wolfsonmicro.com,1570
hpe.com,1543
microchip.com,1536
atomide.com,1484
virtuozzo.com,1477
iogearbox.net,1471
microsoft.com,1460
free.fr,1419
ellerman.id.au,1393
mirantis.com,1366
ens.fr,1317
hurleysoftware.com,1275
freedesktop.org,1268
linux-m68k.org,1237
ingics.com,1232
telegraphics.com.au,1190
agner.ch,1184
denx.de,1167
cn.fujitsu.com,1159
googlemail.com,1157
caviumnetworks.com,1156
apm.com,1148
netfilter.org,1124
metafoo.de,1085
codethink.co.uk,1083
opensource.altera.com,1075
perches.com,1074
realtek.com,1059
goodmis.org,1046
netronome.com,1017
trendmicro.com.cn,1016
mleia.com,1010
ericsson.com,998
arm.linux.org.uk,972
omnibond.com,960
w1.fi,958
wunner.de,936
sntech.de,936
sakamocchi.jp,914
nod.at,913
cmss.chinamobile.com,900
lge.com,886
freescale.com,878
techsingularity.net,874
kernel.crashing.org,835
hisilicon.com,791
lwfinger.net,785
cmpxchg.org,769
wanadoo.fr,763
herbertland.com,730
c-s.fr,730
axis.com,723
openwrt.org,719
microsemi.com,715
lwn.net,710
spreadtrum.com,687
axentia.se,681
onstation.org,670
xmission.com,668
xs4all.nl,667
ragnatech.se,640
android.com,636
semihalf.com,632
mev.co.uk,624
rasmusvillemoes.dk,616
holtmann.org,615
mit.edu,589
wizery.com,586
the-dreams.de,586
6wind.com,577
citrix.com,576
au1.ibm.com,574
web.de,570
i2se.com,568
bjorling.me,561
mentor.com,552
avagotech.com,551
gelma.net,550
basnieuwenhuizen.nl,546
ovn.org,531
engestrom.ch,524
linux-mips.org,519
sgi.com,516
nuvoton.com,514
fromorbit.com,503
samba.org,497
quantatw.com,488
hotmail.com,486
codecoup.pl,486
solarflare.com,481
das-labor.org,475
diasemi.com,468
martin.sperl.org,463
lechnology.com,461
idt.com,460
mail.ru,451
queasysnail.net,450
KARO-electronics.de,450
konsulko.com,445
ni.com,435
ozlabs.ru,430
linux-iscsi.org,423
ozlabs.org,415
codeblueprint.co.uk,413
gentoo.org,410
ikuai8.com,400
libc.org,391
phrozen.org,390
ispras.ru,389
obsidianresearch.com,384
math.uni-bielefeld.de,381
noos.fr,368
vanguardiasur.com.ar,365
karolherbst.de,362
open-mesh.com,361
ezchip.com,361
metanate.com,354
stgolabs.net,351
lab.ntt.co.jp,351
chronox.de,351
cray.com,350
nbd.name,349
parrot.com,344
opengridcomputing.com,340
mojatatu.com,333
goldelico.com,332
distanz.ch,330
dell.com,327
grimberg.me,321
skynet.be,318
HansenPartnership.com,318
kyup.com,313
bmw-carit.de,310
hughsie.com,308
milecki.pl,303
k2l.de,300
sonymobile.com,296
fau.de,291
linbit.com,290
lightnvm.io,290
kempniu.pl,290
darmarIT.de,290
mansr.com,285
bobcopeland.com,285
aleksander.es,282
m4x.org,280
fedoraproject.org,279
posteo.de,274
boundarydevices.com,274
stressinduktion.org,271
mess.org,271
paul-moore.com,264
poochiereds.net,261
pmeerw.net,260
rowland.harvard.edu,257
toradex.com,255
paulk.fr,255
phytec.de,254
akamai.com,254
projectara.com,250
aj.id.au,249
c0d3.blue,243
hitachi.com,242
seagate.com,240
networkplumber.org,240
maciej.szmigiero.name,240
linux.com,239
gmx.net,236
endlessm.com,235
lemote.com,232
timesys.com,231
tronnes.org,230
sigmadesigns.com,230
ddn.com,230
acm.org,230
I-love.SAKURA.ne.jp,230
raptorengineeringinc.com,227
yandex-team.ru,226
openvz.org,225
jp.fujitsu.com,225
gmx.com,224
netup.ru,220
blackhole.kfki.hu,220
ite.com.tw,216
alphalink.fr,216
folklore1984.net,215
synaptics.com,214
siemens.com,212
unstable.cc,211
stefanchrist.eu,210
googlers.com,210
digikod.net,210
canb.auug.org.au,208
mina86.com,203
vadai.me,202
tkos.co.il,201
kleine-koenig.org,200
coreboot.org,200
alterapraxis.com,198
secunet.com,195
russell.cc,194
opensource.se,192
netapp.com,191
gibson.dropbear.id.au,191
xyratex.com,190
sandeen.net,190
plaes.org,190
codeweavers.com,190
barix.com,190
