Contributor,May 2018
intel.com,6432
gmail.com,6316
redhat.com,4311
amd.com,3444
google.com,3150
chromium.org,2473
linaro.org,2303
ibm.com,1837
kernel.org,1791
oracle.com,1361
mellanox.com,1344
suse.com,1251
lst.de,1204
huawei.com,1041
codeaurora.org,1035
bootlin.com,1010
arm.com,974
linux-foundation.org,932
davemloft.net,931
canonical.com,868
ti.com,849
nxp.com,845
st.com,722
lixom.net,707
samsung.com,688
fb.com,633
microchip.com,593
suse.de,571
chris-wilson.co.uk,562
cavium.com,552
netronome.com,532
renesas.com,454
linutronix.de,453
zeniv.linux.org.uk,442
mediatek.com,423
socionext.com,419
ideasonboard.com,390
glider.be,366
nvidia.com,353
arndb.de,348
cogentembedded.com,324
linuxfoundation.org,323
synopsys.com,315
iogearbox.net,315
collabora.com,304
chelsio.com,302
s-opensource.com,290
baylibre.com,284
broadcom.com,274
kernel.dk,272
debian.org,272
ellerman.id.au,263
rock-chips.com,258
openmesh.com,258
noos.fr,256
microsoft.com,256
gmx.net,244
infradead.org,239
igalia.com,239
lkamp.de,210
strlen.de,205
users.sourceforge.net,184
sakamocchi.jp,184
ragnatech.se,182
sang-engineering.com,179
cisco.com,179
amarulasolutions.com,168
pengutronix.de,165
nextdimension.cc,161
amlogic.com,161
linux-m68k.org,158
goodmis.org,153
atomide.com,152
anholt.net,151
realtek.com,142
andestech.com,142
xilinx.com,141
vmware.com,141
zonque.org,140
hisilicon.com,139
verge.net.au,126
basnieuwenhuizen.nl,125
googlemail.com,121
wdc.com,120
wanadoo.fr,120
onstation.org,119
collabora.co.uk,116
cn.fujitsu.com,115
nordicsemi.no,113
networkplumber.org,113
suse.cz,110
embeddedor.com,110
axentia.se,108
ffwll.ch,106
milecki.pl,105
mess.org,105
I-love.SAKURA.ne.jp,102
marvell.com,101
csie.org,99
the-dreams.de,98
synaptics.com,98
mips.com,93
i2se.com,93
linux.alibaba.com,91
whitecape.org,87
ispras.ru,86
rutgers.edu,85
opengridcomputing.com,84
web.de,82
denx.de,82
ozlabs.org,80
stgolabs.net,78
vanguardiasur.com.ar,77
lucaceresoli.net,77
goldelico.com,77
jp.fujitsu.com,74
c-s.fr,73
aosc.io,73
perches.com,71
lechnology.com,70
hughsie.com,70
gentoo.org,70
crapouillou.net,70
siemens.com,68
umn.edu,67
riseup.net,67
itsqueeze.com,67
tamalin.org,66
konsulko.com,66
brown.name,66
roeck-us.net,65
raspberrypi.org,63
quantenna.com,63
bgdev.pl,63
nbd.name,61
opensourcefoundries.com,60
agner.ch,59
xmission.com,56
lip6.fr,56
epam.com,56
akamai.com,56
xs4all.nl,55
gmx.de,55
mit.edu,54
rowland.harvard.edu,53
mojatatu.com,52
dell.com,52
synology.com,51
codethink.co.uk,50
alliedtelesis.co.nz,50
savoirfairelinux.com,49
netfilter.org,49
jmondi.org,49
bp.renesas.com,49
neuling.org,48
microchip.corp-partner.google.com,48
holtmann.org,48
kernel.crashing.org,46
sandeen.net,44
lge.com,42
ddn.com,42
cumulusnetworks.com,42
bonstra.fr.eu.org,42
benyossef.com,42
allied-telesis.co.jp,42
aheymans.xyz,42
w1.fi,40
secunet.com,40
lab.ntt.co.jp,39
wolfssl.com,38
ssi.bg,38
redpinesignals.com,38
citrix.com,38
sony.com,37
kaod.org,36
xevo.com,35
telegraphics.com.au,35
rainbow-software.org,35
me.com,35
lunn.ch,35
gmx.com,35
compal.corp-partner.google.com,35
dev.mellanox.co.il,34
virtuozzo.com,31
wunner.de,30
windriver.com,30
9elements.com,30
ozlabs.ru,29
braap.org,29
zhaoxin.com,28
sntech.de,28
opensource.se,28
nic.cz,28
mentor.com,28
kylinos.cn,28
invensense.com,28
b-ad.ch,28
sifive.com,27
opensource.cirrus.com,27
freedesktop.org,27
elektrobit.com,27
codecoup.pl,27
pnwbakers.com,25
osg.samsung.com,25
nuvoton.com,25
tycho.ws,24
tencent.com,22
vivier.eu,21
toke.dk,21
spreadtrum.com,21
prevas.dk,21
neomailbox.ch,21
mvista.com,21
megous.com,21
lwn.net,21
in04.sg,21
imgtec.com,21
hmh.eng.br,21
hammerspace.com,21
ens-lyon.org,21
endlessm.com,21
diasemi.com,21
cern.ch,21
castello.eng.br,21
analog.com,21
vidarholen.net,20
das-labor.org,20
rwth-aachen.de,19
mork.no,19
ubuntu.com,18
toradex.com,18
ni.com,18
microsemi.com,18
lounge.org,18
linux-mips.org,18
ite.com.tw,18
c0d3.blue,18
alum.mit.edu,18
163.com,18
techsingularity.net,17
phytec.de,17
florentflament.com,17
decadent.org.uk,17
caviumnetworks.com,17
arista.com,17
theobroma-systems.com,16
quantatw.com,16
narfation.org,16
iki.fi,16
axis.com,16
quanta.corp-partner.google.com,15
moxa.com,15
hpe.com,15
aurel32.net,15
xes-inc.com,14
v3.sk,14
threespeedlogic.com,14
shmanahar.org,14
rasmusvillemoes.dk,14
puri.sm,14
profitbricks.com,14
pdx.edu,14
openvz.org,14
nokia.com,14
nexus-software.ie,14
juzza.co.uk,14
godking.net,14
fi.rohmeurope.com,14
electromag.com.au,14
decompile.me.uk,14
auristor.com,14
atmel.com,14
aquantia.com,14
anw.at,14
hotmail.com,13
universe-factory.net,12
qtux.eu,12
online.net,12
free.fr,12
vittgam.net,11
taglang.io,11
metanate.com,11
lwfinger.net,11
libc.org,11
kvaser.com,11
kresin.me,11
hxt-semitech.com,11
fedux.com.ar,11
emlix.com,11
elte.hu,11
dk-develop.de,11
waymo.com,10
tomt.net,10
solarflare.com,10
nutanix.com,10
nuetzel-hh.de,10
micronovasrl.com,10
interlog.com,10
dominikbrodowski.net,10
blade-group.com,10
amd.corp-partner.google.com,10
1wt.eu,10
icloud.com,9
gibson.dropbear.id.au,9
ah.jp.nec.com,9
zx2c4.com,8
vaisala.com,8
transmode.se,8
metafoo.de,8
ge.com,8
amsat.org,8
amacapital.net,8
ZenIV.linux.org.uk,8
zte.com.cn,7
ziemianowicz.com,7
yandex.ru,7
yandex-team.ru,7
yahoo.co.in,7
xiaomi.com,7
wifirst.fr,7
wand.net.nz,7
vaga.pv.it,7
users.noreply.github.com,7
tuxera.com,7
trendmicro.com.cn,7
tqs.de,7
topic.nl,7
tobin.cc,7
szeredi.hu,7
system76.com,7
student.tugraz.at,7
sra-tohoku.co.jp,7
silicom-usa.com,7
realsil.com.cn,7
ravnborg.org,7
rainerkeller.de,7
qnap.com,7
primarydata.com,7
posteo.de,7
plantronics.com,7
phrozen.org,7
olimex.com,7
nwl.cc,7
mobiveil.co.in,7
mleia.com,7
mel.vin,7
meituan.com,7
math.uni-bielefeld.de,7
licor.com,7
lenovo.com,7
lano.id.au,7
kontron.com,7
kiener-muenchen.de,7
kernellabs.com,7
joshuajhill.com,7
joelfernandes.org,7
jms.id.au,7
jklm.no,7
inventec.com,7
inria.fr,7
in.bosch.com,7
ieee.org,7
horus.com,7
hohndel.org,7
hofr.at,7
hofmannsweb.com,7
h3c.com,7
goode.io,7
geekplace.eu,7
gdsys.cc,7
fuzziesquirrel.com,7
freescale.com,7
florz.de,7
feralinteractive.com,7
fedoraproject.org,7
fastwel.ru,7
exablue.com,7
evidence.eu.com,7
ericsson.com,7
dev.carbon-project.org,7
de.adit-jv.com,7
cirrus.com,7
canb.auug.org.au,7
bork.org,7
bobcopeland.com,7
bitdefender.com,7
bernat.im,7
au1.ibm.com,7
amazon.com,7
allworx.com,7
airmail.cc,7
advantech.com.tw,7
4sigma.it,7
popple.id.au,6
inf.u-szeged.hu,6
frickel.club,6
aggios.com,6
sub.red,5
rosenzweig.io,5
oticon.com,5
intel.corp-partner.google.com,5
bowerswilkins.com,5
aleksander.es,5
tvc.id.au,4
scarletltd.com,4
rjwysocki.net,4
queasysnail.net,4
purestorage.com,4
pobox.com,4
phenome.org,4
objecthunter.net,4
nocrew.org,4
neverware.com,4
molgen.mpg.de,4
logitech.com,4
linux.ee,4
katalix.com,4
kalray.eu,4
jcline.org,4
infinera.com,4
gondor.apana.org.au,4
efficios.com,4
deif.com,4
dei.uc.pt,4
corna.info,4
collinswebsite.com,4
chronox.de,4
btinternet.com,4
beckhoff.com,4
Oracle.COM,4
8bytes.org,4
ziswiler.com,3
sigmadesigns.com,3
sandisk.com,3
quantonium.net,3
qti-qualcomm.corp-partner.google.com,3
prodrive-technologies.com,3
malygin.me,3
linux-powerpc.org,3
lauterbach.com,3
jakemoroni.com,3
ilande.co.uk,3
gmx.at,3
dd-wrt.com,3
cs.technion.ac.il,3
cesnet.cz,3
cascoda.com,3
ayufan.eu,3
aspeedtech.com,3
antmicro.com,3
android.com,3
alibaba-inc.com,3
adacore.com,3
6wind.com,3
watershedschool.org,2
tu-ilmenau.de,2
sholland.org,2
sanchezortega.es,2
qualcomm.corp-partner.google.com,2
qti.qualcomm.com,2
plumgrid.com,2
nilcons.com,2
lekensteyn.nl,2
jsg.id.au,2
ingics.com,2
hostfission.com,2
globaledgesoft.com,2
dxplore.eu,2
br-automation.com,2
autistici.org,2
aepfle.de,2
3mdeb.com,2
zytor.com,1
wizzup.org,1
walle.cc,1
verizon.com,1
tycho.nsa.gov,1
twitter.com,1
twiddle.net,1
tuxfamily.org,1
trippelsdorf.de,1
trimble.com,1
tls.msk.ru,1
stratus.com,1
shutemov.name,1
rosalab.ru,1
parallels.com,1
osadl.org,1
online.de,1
oevsv.at,1
odin.com,1
numascale.com,1
nod.at,1
nixu.com,1
ncos.nec.co.jp,1
motorola.com,1
marcan.st,1
kemnade.info,1
karolherbst.de,1
iptronix.com,1
hedonline.com,1
globaledgesoftware.corp-partner.google.com,1
fastmail.fm,1
exati.com.br,1
eu.citrix.com,1
eggers-club.de,1
displaylink.com,1
deltatee.com,1
deic.uab.cat,1
codemonkey.org.uk,1
codeblueprint.co.uk,1
cmpxchg.org,1
chochol.info,1
cetitec.com,1
brixandersen.dk,1
braud-santoni.eu,1
bluestacks.com,1
asus.com,1
amazon.de,1
alto.eu.org,1
alien8.de,1
adrian,1
KARO-electronics.de,1
