Contributor,May 2015
intel.com,10210
gmail.com,8440
redhat.com,5052
kernel.org,4514
linaro.org,2602
chromium.org,2224
google.com,1492
suse.de,1457
ibm.com,1430
zeniv.linux.org.uk,1409
linux-foundation.org,1386
arm.com,1384
samsung.com,1335
arndb.de,1277
visionengravers.com,1188
davemloft.net,1100
gondor.apana.org.au,902
glider.be,870
metafoo.de,856
amd.com,849
codeaurora.org,846
oracle.com,825
free-electrons.com,818
osg.samsung.com,814
freescale.com,736
nvidia.com,692
lst.de,661
ti.com,629
linuxhacker.ru,627
linuxfoundation.org,571
iki.fi,541
pengutronix.de,486
lip6.fr,473
suse.com,434
infradead.org,420
atomide.com,407
unisys.com,396
solarflare.com,396
huawei.com,393
realtek.com,385
tieto.com,384
mellanox.com,374
fb.com,364
xilinx.com,340
renesas.com,330
linutronix.de,321
windriver.com,319
broadcom.com,309
goodmis.org,308
mev.co.uk,297
avagotech.com,297
arm.linux.org.uk,297
skynet.be,286
collabora.com,275
alum.mit.edu,265
profitbricks.com,264
cisco.com,264
chelsio.com,264
hp.com,258
osadl.org,242
ingics.com,239
ieee.org,231
hitachi.com,231
riseup.net,230
vmware.com,223
chris-wilson.co.uk,223
canonical.com,220
mediatek.com,214
sandisk.com,209
resnulli.us,209
perches.com,209
kde.org,207
free.fr,201
linux-m68k.org,198
csr.com,198
jlekstrand.net,197
ffwll.ch,194
lucaceresoli.net,187
marvell.com,186
hovoldconsulting.com,180
collabora.co.uk,178
opensource.altera.com,177
ideasonboard.com,177
atmel.com,166
suse.cz,165
devoid-pointer.net,165
strlen.de,154
lunn.ch,154
socionext.com,150
opensource.wolfsonmicro.com,145
plumgrid.com,143
mit.edu,143
iogearbox.net,143
agner.ch,140
ni.com,137
w1.fi,132
ericsson.com,132
cn.fujitsu.com,123
visteon.com,121
sntech.de,121
sakamocchi.jp,121
physik.uni-kl.de,121
microsoft.com,121
mail.ua,121
ellerman.id.au,121
imgtec.com,117
wizery.com,110
openwrt.org,110
netfilter.org,110
herbertland.com,110
emulex.com,110
animalcreek.com,110
6wind.com,110
xmission.com,99
wantstofly.org,99
tkos.co.il,99
suug.ch,99
popple.id.au,99
fr.zoreil.com,99
baylibre.com,99
apm.com,99
ao2.it,99
math.uni-bielefeld.de,90
anholt.net,90
xs4all.nl,89
unitn.it,88
purdue.edu,88
gmx.de,88
QCA.qualcomm.com,88
denx.de,87
synopsys.com,78
schaufler-ca.com,77
ru.ibm.com,77
roeck-us.net,77
netronome.com,77
hauke-m.de,77
ezchip.com,77
codethink.co.uk,77
chronox.de,77
siemens.com,71
tuxdriver.com,66
posteo.de,66
oh.rr.com,66
nod.at,66
mvista.com,66
i2se.com,66
goldelico.com,66
freebox.fr,66
cs.technion.ac.il,66
trendmicro.com.cn,58
ucw.cz,56
zx2c4.com,55
unixzen.com,55
m4x.org,55
globallogic.com,55
fivetechno.de,55
citrix.com,55
axtens.net,55
arrikto.com,55
mentor.com,50
android.com,50
holtmann.org,49
konsulko.com,48
the-dreams.de,47
ens.fr,47
qca.qualcomm.com,46
gentoo.org,46
toradex.com,45
openedev.com,45
a1ca3aef-8c08-0410-bb20-df032aa958be,45
vanguardiasur.com.ar,44
stressinduktion.org,44
stgolabs.net,44
rustcorp.com.au,44
overkiz.com,44
nicira.com,44
narfation.org,44
hurleysoftware.com,44
googlemail.com,44
endlessm.com,44
c0d3.blue,44
butterbrot.org,44
analog.com,44
albanarts.com,44
akamai.com,44
ah.jp.nec.com,44
csie.org,39
igalia.com,38
freedesktop.org,38
gateworks.com,37
rasmusvillemoes.dk,34
samba.org,33
parkeon.com,33
nttcom.co.jp,33
martin.sperl.org,33
maciej.szmigiero.name,33
linux-mips.org,33
lab.ntt.co.jp,33
ifi.uio.no,33
hotmail.com,33
hisilicon.com,33
gmx.net,33
fastmail.fm,33
dabbelt.com,33
cumulusnetworks.com,33
ce.jp.nec.com,33
bobcopeland.com,33
blackhole.kfki.hu,33
alliedtelesis.co.nz,33
Emulex.Com,33
whitecape.org,32
paulk.fr,28
web.de,27
quantatw.com,27
cavium.com,27
qti.qualcomm.com,26
openvz.org,26
coreboot.org,26
parallels.com,25
ijw.co.nz,25
rock-chips.com,24
virtuousgeek.org,23
mail.ru,23
wunner.de,22
sonymobile.com,22
scotdoyle.com,22
savoirfairelinux.com,22
sang-engineering.com,22
samul.kr,22
returnze.ro,22
opengridcomputing.com,22
obsidianresearch.com,22
neomailbox.ch,22
myriabit.com,22
mork.no,22
mleia.com,22
mess.org,22
ll.mit.edu,22
