Contributor,August 2020
chromium.org,2541
google.com,1663
gmail.com,904
intel.com,694
collabora.com,557
codeaurora.org,300
redhat.com,267
kernel.org,172
amd.com,169
huawei.com,157
anholt.net,146
linaro.org,140
engestrom.ch,139
arm.com,128
jlekstrand.net,105
semihalf.com,86
realtek.com,85
oracle.com,83
mediatek.com,79
quanta.corp-partner.google.com,76
marek.ca,76
suse.com,71
microsoft.com,70
canonical.com,59
noos.fr,55
ibm.com,55
mellanox.com,46
igalia.com,40
nxp.com,39
suse.de,37
infradead.org,37
nvidia.com,35
pengutronix.de,34
linuxfoundation.org,34
compal.corp-partner.google.com,33
basnieuwenhuizen.nl,33
ideasonboard.com,31
jmondi.org,30
ragnatech.se,29
toxicpanda.com,28
umn.edu,27
wanadoo.fr,26
renesas.com,25
felixheld.de,25
samsung.com,24
linux.alibaba.com,23
ite.com.tw,22
gmx.de,22
quantatw.com,21
posteo.net,21
fb.com,21
9elements.com,21
ispras.ru,19
linux-foundation.org,18
gerhold.net,18
denx.de,18
chris-wilson.co.uk,18
baylibre.com,18
ti.com,17
telegraphics.com.au,17
sang-engineering.com,17
fudan.edu.cn,17
emc.com.tw,17
broadcom.com,16
amd.corp-partner.google.com,16
marcan.st,15
ellerman.id.au,15
vmware.com,14
marvell.com,14
linutronix.de,14
bytedance.com,13
zju.edu.cn,12
secunet.com,12
live.com,12
globallogic.com,12
cypress.com,12
analog.com,12
uajain.com,11
theobroma-systems.com,11
suse.cz,11
rock-chips.com,11
review.trustedfirmware.org,11
lemote.com,11
cn.fujitsu.com,11
pmoreau.org,10
linux-m68k.org,10
huaqin.corp-partner.google.com,10
gondor.apana.org.au,10
earth.li,10
citrix.com,10
1wt.eu,10
triplefau.lt,9
linux.microsoft.com,9
konsulko.com,9
arndb.de,9
xilinx.com,8
wiwynn.com,8
whitecape.org,8
tessares.net,8
silabs.com,8
loongson.cn,8
goodmis.org,8
crapouillou.net,8
arri.de,8
wunner.de,7
raspberrypi.com,7
pegatron.corp-partner.google.com,7
lst.de,7
jsg.id.au,7
joelfernandes.org,7
freedesktop.org,7
amazon.com,7
retarded.farm,6
hammerspace.com,6
grimberg.me,6
glider.be,6
das-labor.org,6
csgroup.eu,6
bootlin.com,6
bell.net,6
aheymans.xyz,6
zeniv.linux.org.uk,5
synology.com,5
st.com,5
starlab.io,5
stackframe.org,5
sifive.com,5
ozlabs.org,5
octakon.com,5
nsfocus.com,5
mkarcher.dialup.fu-berlin.de,5
l4m1.de,5
kryo.se,5
iscas.ac.cn,5
intel.corp-partner.google.com,5
froggi.es,5
etsukata.com,5
efficios.com,5
cipht.net,5
beagleboard.org,5
arista.com,5
126.com,5
wistron.corp-partner.google.com,4
tencent.com,4
swizzler.org,4
ssi.bg,4
silvair.com,4
secretlab.ca,4
schuermann.dev,4
richtek.com,4
puri.sm,4
overkiz.com,4
opensource.cirrus.com,4
nuvoton.com,4
networkplumber.org,4
lcfc.corp-partner.google.com,4
kernel.dk,4
electromag.com.au,4
displaylink.com,4
csie.org,4
cloudflare.com,4
axis.com,4
aosc.io,4
android.com,4
alliedtelesis.co.nz,4
yadro.com,3
web.de,3
v3.sk,3
users.noreply.gitlab.freedesktop.org,3
ucw.cz,3
ts.fujitsu.com,3
samsung.corp-partner.google.com,3
roeck-us.net,3
nokia.com,3
karsmulder.nl,3
jurassic.park.msu.ru,3
holtmann.org,3
gregariousmammal.com,3
es.iitr.ac.in,3
epam.com,3
embeddedor.com,3
dell.com,3
de.adit-jv.com,3
darkrain42.org,3
coreboot.org,3
br-automation.com,3
benyossef.com,3
wdc.com,2
voleatech.de,2
vivo.com,2
vdorst.com,2
tratt.net,2
surriel.com,2
socionext.com,2
siliconmotions.corp-partner.google.com,2
riseup.net,2
ravnborg.org,2
protonmail.com,2
perches.com,2
pensando.io,2
omnibond.com,2
octaforge.org,2
molgen.mpg.de,2
mleia.com,2
maximintegrated.com,2
linux.com,2
keemail.me,2
kalray.eu,2
itsqueeze.com,2
ite.corp-partner.google.com,2
invensense.com,2
ingics.com,2
imagination.corp-partner.google.com,2
iki.fi,2
husqvarnagroup.com,2
hughsie.com,2
hisilicon.com,2
hauke-m.de,2
googlers.com,2
golovin.in,2
ffwll.ch,2
duvert.net,2
decadent.org.uk,2
codethink.co.uk,2
cmss.chinamobile.com,2
cerno.tech,2
bitland.corp-partner.google.com,2
bayhubtech.com,2
atomide.com,2
archlinux.org,2
amarulasolutions.com,2
akamai.com,2
windriver.com,1
wacom.com,1
vt.edu,1
ubuntu.com,1
ualberta.ca,1
tkos.co.il,1
technexion.com,1
stebler.xyz,1
semihalf.corp-partner.google.com,1
sandeen.net,1
qti.qualcomm.com,1
opensynergy.com,1
neverware.com,1
motorola.com,1
mntre.com,1
mnmoran.org,1
lunn.ch,1
linumiz.com,1
jones.dk,1
irobot.com,1
I-love.SAKURA.ne.jp,1
harmon.hk,1
googlemail.com,1
edef.eu,1
dptechnics.com,1
c-s.fr,1
codelabs.ch,1
cea.fr,1
boichat.ch,1
analogixsemi.com,1
