Contributor,February 2018
intel.com,5416
gmail.com,4412
amd.com,3251
redhat.com,1987
chromium.org,1907
google.com,1861
renesas.com,1842
linux-foundation.org,1240
ibm.com,1181
mellanox.com,952
kernel.org,911
linaro.org,893
arm.com,879
codeaurora.org,802
chris-wilson.co.uk,760
canonical.com,679
virtuozzo.com,669
nxp.com,638
suse.com,636
arndb.de,624
davemloft.net,539
st.com,491
oracle.com,490
bootlin.com,379
microchip.com,371
ti.com,360
users.sourceforge.net,349
huawei.com,344
samsung.com,339
itsqueeze.com,321
vmware.com,303
collabora.com,277
suse.de,269
andestech.com,259
baylibre.com,256
infradead.org,244
cogentembedded.com,235
microsoft.com,227
pengutronix.de,226
fb.com,216
dominikbrodowski.net,211
anholt.net,211
wdc.com,204
verge.net.au,203
broadcom.com,202
socionext.com,189
embeddedor.com,173
jmondi.org,161
iogearbox.net,160
s-opensource.com,155
pnwbakers.com,153
ideasonboard.com,152
suse.cz,150
netronome.com,150
glider.be,150
rock-chips.com,146
igalia.com,144
mojatatu.com,140
web.de,136
realtek.com,136
strlen.de,135
xs4all.nl,133
opensource.cirrus.com,133
cisco.com,131
atomide.com,130
linuxfoundation.org,121
agner.ch,119
amazon.co.uk,116
axis.com,113
perches.com,98
efficios.com,98
sang-engineering.com,91
ericsson.com,91
amazon.de,91
free-electrons.com,86
riseup.net,85
tamalin.org,84
siol.net,84
bp.renesas.com,84
zeniv.linux.org.uk,79
i2se.com,77
dronecode.org.uk,77
csie.org,77
amlogic.com,77
synopsys.com,75
nordicsemi.no,75
debian.org,75
alum.mit.edu,74
mips.com,72
goodmis.org,72
gentoo.org,72
ffwll.ch,72
primarydata.com,71
phytec.de,70
lwn.net,70
lechnology.com,70
bgdev.pl,70
CARNet.hr,70
amsat.org,69
linux-m68k.org,68
windriver.com,66
jms.id.au,66
zte.com.cn,63
tkos.co.il,63
telegraphics.com.au,63
techsingularity.net,63
ni.com,63
linux-mips.org,63
lunn.ch,62
nvidia.com,61
gmx.net,61
konsulko.com,60
theobroma-systems.com,57
lst.de,57
wunner.de,56
sntech.de,56
omnibond.com,56
netfilter.org,56
nbd.name,56
mess.org,56
kernel.dk,56
cavium.com,56
benyossef.com,55
gmx.de,54
linutronix.de,52
dell.com,51
axentia.se,51
googlemail.com,50
ragnatech.se,49
mit.edu,49
kempniu.pl,49
cmss.chinamobile.com,49
whitecape.org,48
jp.fujitsu.com,47
codecoup.pl,47
basnieuwenhuizen.nl,47
partner.samsung.com,46
osg.samsung.com,46
ellerman.id.au,46
cn.fujitsu.com,46
didichuxing.com,43
wanadoo.fr,42
unisys.com,42
the-dreams.de,42
narfation.org,42
maciej.szmigiero.name,42
linux.alibaba.com,42
cesnet.cz,42
android.com,42
xilinx.com,40
tuxera.com,40
iki.fi,40
caviumnetworks.com,40
kaod.org,38
imgtec.com,38
chelsio.com,38
ispras.ru,36
regit.org,35
nccgroup.trust,35
lineageos.org,35
katalix.com,35
gateworks.com,35
epam.com,35
electromag.com.au,35
btinternet.com,35
axtens.net,35
lip6.fr,33
linux.com,33
secunet.com,32
hughsie.com,32
metanate.com,31
collabora.co.uk,31
lwfinger.net,29
wand.net.nz,28
tycho.ws,28
oticon.com,28
denx.de,28
butterbrot.org,28
ozlabs.org,27
microsemi.com,27
mediatek.com,27
w1.fi,26
silverbackltd.com,26
aheymans.xyz,26
rasmusvillemoes.dk,25
cumulusnetworks.com,25
roeck-us.net,24
prevas.dk,24
ozlabs.ru,24
microchip.corp-partner.google.com,24
queasysnail.net,23
icloud.com,23
hotmail.com,23
grimberg.me,22
elektrobit.com,22
apache.org,22
/o=Intel/ou=Exchange,22
universe-factory.net,21
rvc.renesas.com,21
richardman.com,21
quantenna.com,21
neratec.com,21
micronovasrl.com,21
melexis.com,21
lab.ntt.co.jp,21
canb.auug.org.au,21
cambridgegreys.com,21
FreeBSD.org,21
ge.com,19
citrix.com,19
wizery.com,18
online.net,18
hxt-semitech.com,18
cortland.com,18
compal.corp-partner.google.com,18
aosc.io,18
amarulasolutions.com,18
raspberrypi.org,17
hpe.com,17
hauke-m.de,17
alibaba-inc.com,17
opensourcefoundries.com,16
paul-moore.com,15
olimex.com,15
xmission.com,14
virtualopensystems.com,14
vidarholen.net,14
univention.de,14
ucw.cz,14
ubuntu.com,14
tencent.com,14
rowland.harvard.edu,14
openmesh.com,14
namei.org,14
mvista.com,14
milecki.pl,14
jakemoroni.com,14
iro.umontreal.ca,14
ilande.co.uk,14
gdsys.cc,14
epigenesys.com,14
embedded.rocks,14
ccbib.org,14
arista.com,14
KARO-electronics.de,14
quantonium.net,13
marvell.com,13
verizon.com,12
ite.com.tw,12
metafoo.de,11
massaru.org,11
lyle.org,11
ld-didactic.de,11
kaiser.cx,11
fbihome.de,11
decadent.org.uk,11
zonque.org,10
synology.com,10
sfr.fr,10
jkqxz.net,10
it-klinger.de,10
invisiblethingslab.com,10
interlog.com,10
c-s.fr,10
siemens.com,9
quantatw.com,9
hisilicon.com,9
de.pepperl-fuchs.com,9
feralinteractive.com,8
chronox.de,8
baidu.com,8
angband.pl,8
I-love.SAKURA.ne.jp,8
zx2c4.com,7
yahoo.ca,7
wp.pl,7
wedontsleep.org,7
vt.edu,7
virginmedia.com,7
vdwaa.nl,7
umich.edu,7
umail.furryterror.org,7
tvc.id.au,7
toshiba.co.jp,7
toke.dk,7
t-chip.com.cn,7
spacex.com,7
solid-run.com,7
sliepen.org,7
skyportsystems.com,7
skat.systems,7
simonwunderlich.de,7
sigma-chemnitz.de,7
sifive.com,7
sdl.usu.edu,7
sandeen.net,7
rwth-aachen.de,7
rkapl.cz,7
rempel-privat.de,7
realsil.com.cn,7
purestorage.com,7
podlesie.net,7
pobox.com,7
oxapentane.com,7
outlook.com,7
opengridcomputing.com,7
nya.ai,7
nokia.com,7
netapp.com,7
mion.elka.pw.edu.pl,7
megous.com,7
me.com,7
martingkelly.com,7
magewell.com,7
mac.com,7
ltec.ch,7
lkamp.de,7
linux.ee,7
linux-watchdog.org,7
lge.com,7
lemote.com,7
kernkonzept.com,7
kernel.crashing.org,7
kent.edu,7
kemnade.info,7
jsg.id.au,7
jni.nu,7
jlekstrand.net,7
jcline.org,7
inwind.it,7
ingics.com,7
impinj.com,7
iandouglasscott.com,7
